33 frames
21 bones
2.3289 1.8316 40.135
2.3758 1.4214 40.514
2.4031 1.0698 40.545
2.4305 0.7651 40.533
2.4578 0.4448 40.463
2.4852 0.0464 40.088
2.5008 -0.348 39.295
2.5125 -0.684 38.041
2.5321 -0.855 37.201
2.5516 -0.887 37.115
2.5594 -0.902 37.080
2.5594 -0.902 37.076
2.5633 -0.848 37.314
2.5633 -0.645 38.006
2.5477 -0.336 38.787
2.5203 0.1323 39.791
2.4774 0.6206 40.490
2.4422 0.9487 40.635
2.4110 1.2378 40.678
2.3758 1.5777 40.650
2.3250 1.9917 40.428
2.2625 2.3980 39.818
2.2078 2.7613 38.846
2.1649 3.0308 37.885
2.1375 3.2222 37.271
2.1219 3.3277 36.885
2.1180 3.3551 36.779
2.1219 3.3512 36.869
2.1375 3.2808 37.228
2.1688 3.0816 37.834
2.2234 2.7105 38.838
2.2820 2.2418 39.834
2.3289 1.8316 40.135
3.1984 -7.472 94.986
0.7371 -5.421 94.735
7.0050 -0.902 94.441
1.6155 5.8383 94.626
-5.551 -0.255 94.255
-9.267 0.8308 94.206
-10.95 4.0832 93.819
-13.02 5.1911 93.622
-13.98 5.3886 93.584
-13.98 5.0101 93.568
-13.87 3.7980 93.562
-13.52 2.1910 93.633
-12.70 0.7650 93.693
-11.21 -0.754 93.759
-9.267 -2.876 93.928
-6.046 -6.770 94.277
-2.950 -7.977 94.332
-1.071 2.5585 95.019
10.086 -2.048 94.970
3.4332 -13.24 94.784
5.1495 -16.64 94.855
8.8459 -17.71 95.204
11.179 -19.58 95.363
12.681 -20.36 95.526
13.536 -20.14 95.597
13.829 -19.81 95.581
13.725 -19.22 95.668
13.400 -18.17 95.875
12.507 -16.46 95.935
11.037 -14.51 95.515
8.5937 -12.16 95.183
5.7091 -9.557 95.112
3.1984 -7.472 94.986
-44.23 -108.9 -62.35
-36.69 -103.0 -66.93
-29.81 -99.68 -69.77
-23.62 -97.26 -71.90
-18.64 -95.85 -72.82
-14.26 -96.09 -72.52
-12.17 -97.85 -71.86
-14.79 -100.8 -71.28
-17.82 -103.1 -71.17
-18.01 -103.0 -72.17
-18.21 -102.7 -73.41
-18.49 -102.0 -74.47
-17.57 -100.6 -75.54
-15.31 -98.32 -76.62
-14.59 -96.26 -77.24
-15.74 -93.72 -76.22
-17.99 -92.62 -73.60
-21.84 -93.94 -71.06
-28.50 -96.53 -68.09
-36.18 -100.0 -64.68
-44.46 -105.9 -59.28
-52.41 -115.2 -51.42
-58.86 -127.1 -41.26
-62.79 -140.1 -29.59
-64.60 -151.8 -19.11
-65.07 -160.2 -12.16
-65.08 -162.7 -10.81
-65.01 -161.9 -12.20
-64.54 -156.9 -17.56
-62.91 -146.4 -28.05
-58.81 -130.8 -43.10
-51.76 -116.8 -55.79
-44.23 -108.9 -62.35
-8.427 73.704 2.0791
-6.867 60.169 2.7719
-5.266 47.086 2.9196
-3.614 34.629 2.6305
-2.385 25.002 2.1732
-1.578 18.077 1.6898
-1.353 15.901 1.4748
-2.170 22.590 2.0070
-2.986 29.725 2.4650
-3.056 30.327 2.4952
-3.089 30.575 2.5076
-3.094 30.602 2.5089
-2.806 28.120 2.3688
-2.164 22.813 2.0262
-1.848 20.337 1.8449
-1.901 20.799 1.8786
-2.298 24.038 2.1024
-3.275 31.740 2.5858
-5.013 45.179 3.0198
-6.885 60.190 2.8083
-8.837 76.946 1.9720
-10.31 93.470 0.4572
-11.05 106.60 -1.162
-11.37 115.60 -2.269
-11.45 121.09 -2.958
-11.46 123.35 -3.313
-11.46 123.61 -3.389
-11.47 123.11 -3.279
-11.45 120.05 -2.818
-11.32 113.46 -1.981
-10.88 102.62 -0.638
-9.913 88.464 0.9674
-8.427 73.704 2.0791
-15.91 -44.14 -9.731
-15.99 -44.18 -9.858
-15.14 -43.66 -9.837
-12.78 -42.64 -9.768
-10.27 -42.44 -9.688
-8.162 -46.83 -10.32
-6.881 -55.27 -11.61
-6.763 -65.82 -13.08
-6.874 -72.15 -13.93
-6.878 -72.23 -14.00
-6.892 -72.27 -14.02
-6.924 -72.27 -14.03
-6.979 -70.71 -13.95
-7.392 -65.55 -13.72
-8.411 -58.31 -13.45
-11.94 -47.39 -12.47
-14.77 -36.68 -12.65
-14.86 -30.91 -14.16
-14.75 -28.10 -15.03
-14.69 -27.57 -15.26
-14.38 -29.50 -14.73
-13.84 -33.89 -13.51
-13.18 -39.72 -11.81
-12.95 -44.42 -10.41
-13.35 -46.07 -9.950
-13.77 -46.57 -9.816
-14.16 -47.01 -9.709
-14.46 -47.84 -9.545
-14.72 -48.57 -9.451
-15.13 -48.78 -9.442
-15.70 -46.04 -9.488
-15.93 -43.34 -9.506
-15.91 -44.14 -9.731
-18.24 -88.72 -113.1
-20.11 -89.68 -113.8
-24.16 -89.41 -114.6
-29.58 -88.28 -115.5
-36.57 -86.02 -117.0
-45.91 -81.91 -119.8
-55.41 -74.85 -125.0
-63.58 -63.15 -134.5
