193 frames
21 bones
8.2314 -4.078 31.005
8.1650 -4.004 30.853
8.0518 -3.859 30.908
7.8603 -3.625 31.002
7.5674 -3.426 31.158
7.2275 -3.250 31.361
6.8291 -3.063 31.591
6.6142 -2.973 31.716
6.6142 -2.973 31.716
6.2704 -2.645 32.005
6.2470 -2.395 32.103
6.3290 -2.219 32.162
6.4580 -1.977 32.099
6.6337 -1.750 31.869
6.8252 -1.574 31.607
6.9931 -1.434 31.369
7.1220 -1.395 31.240
7.2197 -1.438 31.197
7.3056 -1.516 31.228
7.3447 -1.570 31.267
7.3447 -1.570 31.267
7.5635 -1.820 31.517
7.7041 -2.004 31.697
7.8056 -2.172 31.849
7.9150 -2.355 32.013
8.0010 -2.531 32.170
8.0713 -2.688 32.322
8.1182 -2.844 32.462
8.1533 -3.020 32.615
8.1807 -3.219 32.755
8.2002 -3.457 32.892
8.1963 -3.723 33.002
8.1885 -4.000 33.095
8.1728 -4.285 33.154
8.1455 -4.590 33.197
8.1221 -4.871 33.162
8.1025 -5.106 33.048
8.0869 -5.281 32.857
8.0830 -5.414 32.580
8.0752 -5.414 32.279
8.0674 -5.301 32.013
8.0674 -5.121 31.755
8.0557 -4.879 31.521
8.0478 -4.590 31.334
8.0439 -4.211 31.189
8.0439 -4.000 31.134
8.0439 -4.000 31.134
8.0596 -3.340 31.373
8.0713 -2.957 31.587
8.0752 -2.707 31.822
8.0674 -2.441 32.052
8.0439 -2.219 32.267
8.0049 -2.027 32.482
7.9580 -1.871 32.638
7.9072 -1.715 32.736
7.8642 -1.625 32.775
7.8291 -1.578 32.713
7.7900 -1.516 32.533
7.7549 -1.469 32.298
7.7314 -1.441 32.029
7.7275 -1.418 31.716
7.7275 -1.406 31.544
7.7275 -1.406 31.544
7.8096 -1.734 31.318
7.8721 -2.012 31.330
7.9228 -2.277 31.474
7.9697 -2.539 31.615
7.9736 -2.785 31.791
7.8877 -3.027 31.998
7.7197 -3.250 32.212
7.5244 -3.430 32.416
7.3252 -3.602 32.599
7.1689 -3.809 32.771
7.0322 -4.039 32.892
6.8642 -4.309 32.986
6.8017 -4.563 32.970
6.8564 -4.785 32.841
6.9189 -4.992 32.619
7.0830 -5.152 32.318
7.3330 -5.234 32.009
7.5322 -5.262 31.771
7.7158 -5.207 31.603
7.8486 -4.973 31.572
7.9228 -4.559 31.634
7.9814 -3.957 31.724
7.9971 -3.594 31.787
7.9971 -3.594 31.787
7.5674 -2.742 32.017
7.1377 -2.285 32.170
6.7587 -1.973 32.295
6.4306 -1.598 32.447
6.2353 -1.219 32.595
6.1533 -0.828 32.736
6.0790 -0.461 32.841
5.9892 -0.102 32.951
5.9189 0.1675 32.955
