437 frames
21 bones
3.8485 0.0151 39.396
3.8993 0.0581 39.447
4.0399 0.1714 39.576
4.2001 0.2847 39.721
4.3993 0.4175 39.896
4.6024 0.5347 40.056
4.8056 0.6362 40.181
5.0126 0.7222 40.228
5.2001 0.7612 40.131
5.4267 0.7300 39.760
5.6259 0.6323 39.295
5.7978 0.4956 38.822
5.9540 0.3042 38.353
6.0712 0.1011 38.029
6.1533 -0.133 37.830
6.2353 -0.352 37.756
6.3134 -0.613 37.963
6.3564 -0.961 38.525
6.3759 -1.309 39.010
6.3876 -1.684 39.564
6.3408 -2.031 39.885
6.2744 -2.375 39.939
6.2275 -2.707 39.838
6.1689 -2.961 39.697
6.0790 -3.180 39.549
5.9657 -3.352 39.412
5.8486 -3.520 39.299
5.7040 -3.637 39.228
5.5321 -3.660 39.221
5.3329 -3.672 39.256
5.1103 -3.637 39.291
4.8720 -3.512 39.334
4.6024 -3.289 39.381
4.3212 -3.051 39.357
4.0399 -2.770 39.252
3.7430 -2.426 39.006
3.4227 -2.039 38.623
3.0946 -1.598 38.119
2.7899 -1.152 37.631
2.5086 -0.676 37.060
2.2234 -0.234 36.795
1.9500 0.2143 36.806
1.7898 0.7026 36.931
1.7234 1.1441 37.150
1.5555 1.5308 37.689
1.3914 1.5816 38.185
1.2508 1.4175 38.568
1.1219 1.2534 38.951
1.0711 1.1011 39.189
1.1140 0.6831 39.193
1.2000 0.2261 39.064
1.3289 -0.141 38.814
1.5164 -0.437 38.396
1.6687 -0.652 37.990
1.8211 -0.801 37.533
1.9344 -0.793 37.224
2.0398 -0.707 37.092
2.2352 -0.590 37.138
2.5164 -0.441 37.400
2.7938 -0.301 38.154
3.0711 -0.402 38.974
3.3719 -0.695 39.713
3.6532 -1.102 40.439
3.8758 -1.539 40.951
4.0321 -2.020 41.283
4.1844 -2.570 41.443
4.3524 -3.176 41.494
4.5360 -3.859 41.381
4.7626 -4.590 41.131
5.1063 -5.313 40.615
5.4501 -6.070 39.873
5.7900 -6.914 38.939
6.1611 -7.770 37.908
6.4540 -8.488 37.080
6.7197 -9.180 36.322
6.8252 -9.442 36.045
6.8564 -9.418 36.111
6.8759 -9.301 36.494
6.8291 -9.078 37.252
6.7119 -8.731 38.435
6.5869 -8.375 39.740
6.4814 -8.067 41.033
6.3798 -7.778 42.346
6.2861 -7.528 43.502
6.1962 -7.309 44.564
6.1220 -7.156 45.408
6.0595 -7.055 46.135
6.0165 -7.024 46.576
6.0126 -7.028 46.623
6.0283 -7.067 46.561
6.0634 -7.121 46.377
6.0947 -7.164 46.025
