386 frames
21 bones
7.6260 3.5543 35.166
7.5830 3.1441 35.564
7.4892 2.2496 36.404
7.4306 1.6480 36.908
7.3877 1.1987 37.232
7.3759 0.8550 37.369
7.3994 0.5854 37.349
7.5127 0.4175 37.189
7.7275 0.2964 36.998
8.0557 0.1870 36.740
8.3955 0.1167 36.517
8.7002 0.0893 36.381
8.9971 0.0893 36.283
9.2784 0.0425 36.150
9.5557 -0.051 35.994
9.7979 -0.152 35.826
10.024 -0.258 35.642
10.212 -0.352 35.451
10.348 -0.394 35.271
10.442 -0.324 35.084
10.481 -0.137 34.904
10.454 0.1362 34.716
10.286 0.5151 34.545
10.028 0.9214 34.443
9.6729 1.3745 34.384
9.2119 1.8472 34.447
8.6807 2.3355 34.697
8.0478 2.8472 35.146
7.3720 3.3629 35.611
6.6376 3.8902 36.174
5.8642 4.3785 36.615
5.0673 4.8239 36.900
4.2548 5.2145 37.025
3.4657 5.5426 37.006
2.6883 5.8317 36.920
1.9383 6.0739 36.877
1.2156 6.2966 36.900
0.5203 6.4919 37.052
-0.159 6.6559 37.353
-0.839 6.8200 37.826
-1.421 6.9646 38.310
-1.905 7.0466 38.842
-2.280 6.9880 39.303
-2.546 6.7927 39.385
-2.690 6.5153 39.404
-2.839 6.1677 39.353
-3.026 5.7340 39.037
-3.218 5.1715 38.201
-3.432 4.5973 37.080
-3.690 3.9723 35.568
-3.854 3.4176 34.006
-3.889 2.9293 32.279
-3.850 2.5543 30.794
-3.811 2.3277 30.392
-3.561 2.1011 30.306
-3.202 1.8589 30.357
-2.854 1.6792 30.880
-2.468 1.6050 32.095
-2.046 1.5386 33.252
-1.585 1.5034 34.556
-1.100 1.4722 35.654
-0.577 1.4488 36.521
-0.057 1.4019 37.052
0.3679 1.2691 37.111
0.7078 1.1167 36.896
0.9383 0.9097 36.795
1.0750 0.6401 36.857
1.1336 0.2847 36.951
1.2390 -0.105 37.135
1.3484 -0.520 37.666
1.5047 -0.902 38.002
1.7117 -1.262 38.084
1.9539 -1.500 38.135
2.2117 -1.555 38.080
2.5008 -1.625 37.502
2.8133 -1.621 36.490
3.1414 -1.512 35.174
3.4813 -1.301 33.548
3.8172 -1.039 32.025
4.1571 -0.711 30.380
4.4579 -0.355 29.365
4.7235 -0.047 28.927
4.9579 0.1987 28.779
5.1610 0.4448 28.787
5.3290 0.7183 29.216
5.4501 1.0034 29.908
5.5439 1.2886 30.752
5.5986 1.5777 31.744
5.6376 1.8667 32.595
5.6571 2.1675 33.459
5.6650 2.4058 33.822
5.6689 2.6129 33.838
5.6571 2.8433 33.810
5.6415 3.0386 33.713
5.6298 3.1637 33.255
5.6220 3.2340 32.787
5.6181 3.2769 32.420
5.6103 3.2769 32.154
5.5868 3.2808 32.166
5.5556 3.2926 32.521
5.4892 3.3160 33.009
5.3915 3.3433 33.658
5.2626 3.3746 34.271
5.1454 3.3707 34.349
5.0048 3.3707 34.330
4.8485 3.3707 34.279
4.7001 3.3512 33.845
4.5673 3.2926 32.849
4.4423 3.2027 31.849
4.3173 3.0699 30.611
4.2118 2.9566 29.771
4.1102 2.8277 29.412
4.0399 2.6441 29.337
4.0165 2.4605 29.443
3.9891 2.3160 30.009
3.9696 2.1871 30.666
3.9696 2.0660 31.310
3.9891 1.9488 31.865
4.0282 1.7886 31.966
4.0712 1.6441 31.990
4.1180 1.5933 31.978
4.1766 1.5777 31.630
4.2548 1.5894 30.818
4.3407 1.6636 30.087
4.4266 1.8042 29.294
4.5243 1.9527 28.642
4.6259 2.1050 28.134
4.7352 2.2300 27.837
4.8368 2.2418 27.830
4.9423 2.2574 28.040
5.0556 2.2769 28.525
5.1610 2.2613 29.279
5.2704 2.2027 30.263
5.3837 2.1402 31.197
5.5048 2.0660 32.177
5.6376 1.9800 32.959
5.7822 1.8706 33.529
5.9462 1.7535 33.834
6.1220 1.6675 33.838
6.3134 1.5464 33.447
6.5205 1.3980 32.787
6.7314 1.2378 31.923
6.9580 1.0698 30.908
7.1884 0.8980 30.111
7.4345 0.6675 29.380
7.6689 0.4409 29.142
7.9072 0.2065 29.220
8.1494 -0.086 29.455
8.3877 -0.371 29.888
8.6143 -0.656 30.595
8.8291 -0.937 31.345
9.0283 -1.211 32.060
9.2119 -1.480 32.736
9.3721 -1.746 33.267
9.5166 -2.000 33.697
9.6338 -2.277 33.888
9.7471 -2.566 33.963
9.8135 -2.832 34.021
9.8174 -3.090 34.048
9.8096 -3.363 33.939
9.7979 -3.609 33.892
9.7198 -3.828 33.986
9.5401 -3.992 34.181
9.3369 -4.106 34.443
9.0987 -4.168 34.810
8.8291 -4.149 35.091
8.5557 -4.098 35.240
8.2510 -4.047 35.283
7.9346 -3.988 35.201
7.6221 -3.891 34.627
7.3330 -3.781 33.685
7.0556 -3.676 32.451
6.7978 -3.566 31.017
6.5751 -3.473 29.904
6.3876 -3.375 28.908
6.2158 -3.332 28.537
6.0712 -3.313 28.587
5.9697 -3.254 28.861
5.8759 -3.176 29.361
5.7861 -3.148 30.146
5.7118 -3.137 30.974
5.6415 -3.121 31.771
5.5790 -3.109 32.517
5.5243 -3.098 33.084
5.4735 -3.094 33.521
5.4384 -3.090 33.658
5.4110 -3.090 33.638
5.3876 -3.090 33.564
5.3720 -3.090 33.435
5.3681 -3.094 33.213
5.3642 -3.082 33.099
5.3564 -3.070 33.099
5.3485 -3.066 33.111
5.3446 -3.059 33.146
5.3329 -3.043 33.291
5.3212 -3.020 33.455
5.3134 -2.988 33.631
5.3056 -2.957 33.783
5.3017 -2.953 33.798
5.3017 -2.926 33.693
5.2978 -2.859 33.326
5.3017 -2.805 32.451
5.3212 -2.770 31.119
5.3524 -2.723 30.021
5.3993 -2.672 28.896
5.4267 -2.602 28.435
5.4735 -2.527 28.486
5.5868 -2.453 28.806
5.7196 -2.352 29.412
5.8759 -2.258 30.330
6.0868 -2.160 31.384
6.3486 -2.059 32.486
6.6728 -1.957 33.631
7.0400 -1.855 34.631
7.4619 -1.758 35.549
7.8916 -1.668 36.244
8.3213 -1.574 36.760
8.7354 -1.480 37.017
9.0752 -1.406 37.056
9.3721 -1.309 37.052
9.4815 -1.191 37.037
9.4776 -1.059 37.064
9.3877 -0.906 37.174
9.1963 -0.734 37.318
8.8916 -0.543 37.521
8.5088 -0.332 37.724
8.0713 -0.109 37.970
7.5869 0.1167 38.158
7.1338 0.3237 38.131
6.6767 0.5386 38.045
6.2900 0.7769 37.904
6.0009 0.9956 37.470
5.8134 1.1558 36.611
5.6650 1.3042 35.759
5.5751 1.4331 34.791
5.5087 1.5269 33.888
5.4384 1.5933 33.060
5.3720 1.6245 32.380
5.2782 1.6324 31.982
5.1493 1.6402 31.795
5.0907 1.6441 31.767
5.0829 1.6402 31.943
5.0868 1.6402 32.337
5.1337 1.6402 32.654
5.2431 1.6402 32.982
5.3798 1.6363 33.123
5.5243 1.6324 33.115
5.6728 1.6324 32.978
5.8017 1.6285 32.666
5.9228 1.6245 32.138
5.9853 1.6324 31.642
6.0087 1.6519 31.212
6.0126 1.6792 30.916
6.0048 1.6910 30.908
5.9814 1.7495 31.185
5.9462 1.8472 31.666
5.9111 1.9371 32.298
5.8681 2.0308 33.060
5.8290 2.1519 33.701
5.7822 2.2808 34.341
5.7392 2.3394 34.591
5.6962 2.3980 34.541
5.6454 2.5035 34.326
5.6064 2.5777 33.951
5.5712 2.6324 33.377
5.5400 2.6754 32.787
5.5126 2.7066 32.150
5.4931 2.7261 31.619
5.4931 2.7222 31.525
5.5282 2.7105 31.513
5.6454 2.6871 31.521
5.8564 2.6441 31.884
6.1884 2.5855 32.716
6.5751 2.5152 33.416
7.0322 2.4371 34.150
7.5439 2.3433 34.670
8.0869 2.2339 34.951
8.6611 2.1402 35.068
9.2354 2.0816 35.064
9.8252 1.9878 34.818
10.379 1.9175 34.681
10.895 1.8785 34.724
11.360 1.8316 34.826
11.758 1.7652 35.033
12.087 1.6792 35.463
12.309 1.5425 35.920
12.458 1.3628 36.381
12.501 1.1206 36.767
12.477 0.8355 36.865
12.395 0.5151 36.869
12.251 0.2026 36.724
12.067 -0.121 36.310
11.840 -0.461 35.580
11.598 -0.762 34.845
11.337 -1.047 34.017
11.067 -1.289 33.259
10.794 -1.520 32.513
10.516 -1.695 31.955
10.243 -1.785 31.865
9.9776 -1.867 31.849
9.7471 -1.949 31.853
9.5362 -1.988 32.138
9.3448 -1.953 32.822
9.1768 -1.922 33.443
9.0322 -1.887 34.115
8.9112 -1.840 34.716
8.8018 -1.777 35.310
8.7119 -1.715 35.744
8.6338 -1.695 35.791
8.5674 -1.637 35.752
8.4971 -1.559 35.646
8.4346 -1.504 35.330
8.3760 -1.465 34.881
8.3018 -1.414 34.705
8.2197 -1.383 34.638
8.1260 -1.371 34.627
8.0205 -1.363 34.752
7.8916 -1.352 35.084
7.7431 -1.340 35.427
7.5713 -1.332 35.853
7.3838 -1.289 36.181
7.1884 -1.238 36.373
6.9853 -1.195 36.443
6.7861 -1.160 36.377
6.6103 -1.109 35.877
6.4540 -1.055 35.127
6.3173 -1.012 34.256
6.2001 -0.969 33.263
6.0947 -0.934 32.431
5.9970 -0.906 31.607
5.9618 -0.895 31.291
5.9579 -0.902 31.384
5.9540 -0.918 31.740
5.9657 -0.941 32.283
6.0439 -0.980 33.068
6.1728 -1.023 33.923
6.3212 -1.066 34.799
6.5087 -1.113 35.662
6.7158 -1.152 36.361
6.9541 -1.187 36.986
7.2002 -1.211 37.220
7.4502 -1.227 36.994
7.7002 -1.207 36.459
7.9267 -1.141 36.037
8.1416 -1.027 35.603
8.3291 -0.875 35.408
8.4893 -0.680 35.545
8.6143 -0.430 36.064
8.7236 -0.168 36.838
8.8057 0.1167 38.002
8.8721 0.3940 38.963
8.9268 0.6440 39.576
8.9619 0.8823 39.861
8.9815 1.1362 39.681
8.9737 1.2925 38.385
8.9541 1.3745 36.775
8.9385 1.4409 35.088
8.9151 1.4409 33.502
8.8877 1.3667 32.920
8.8721 1.3120 32.709
8.8682 1.2573 32.689
8.8682 1.1597 33.002
8.8760 1.0386 33.654
8.8916 0.9448 34.095
8.9112 0.8706 34.447
8.9346 0.8081 34.627
8.9619 0.7573 34.697
8.9854 0.7417 34.720
9.0049 0.7378 34.709
9.0244 0.7261 34.611
9.0322 0.7144 34.509
9.0362 0.7065 34.439
9.0362 0.7065 34.381
9.0362 0.7065 34.349
9.0362 0.7065 34.338
9.0362 0.7105 34.334
9.0362 0.7144 34.334
9.0362 0.7183 34.334
9.0362 0.7261 34.334
9.0322 0.7300 34.334
9.0322 0.7378 34.334
9.0283 0.7456 34.334
9.0244 0.7534 34.338
9.0205 0.7651 34.341
9.0166 0.7769 34.353
7.6260 3.5543 35.166
-2.701 -11.37 94.222
-1.567 -11.13 93.333
0.5892 -10.18 91.877
1.6184 -9.003 91.587
2.1518 -7.686 90.955
2.2301 -6.359 90.218
2.0011 -4.960 89.940
1.4647 -3.611 90.240
0.6878 -2.624 90.845
-0.622 -1.664 92.062
-1.254 -1.242 92.684
-1.077 -1.379 93.202
-0.709 -1.730 94.321
-0.486 -2.114 95.063
-0.292 -2.569 95.603
-0.141 -2.969 96.012
-0.051 -3.337 96.383
-0.025 -3.595 96.612
-0.025 -3.628 96.639
-0.028 -3.617 96.683
-0.039 -3.589 96.836
-0.060 -3.353 96.912
-0.228 -2.739 96.890
-0.666 -2.010 97.032
-1.590 -1.110 97.288
-2.756 -0.145 97.670
-4.063 0.8472 98.145
-5.458 1.9497 98.740
-6.496 3.0466 99.389
-7.360 4.0558 100.12
-7.647 4.9991 100.90
-7.563 5.8877 101.71
-7.305 6.6445 102.58
-6.873 7.3136 103.42
-6.258 7.9060 104.25
-5.562 8.2515 105.06
-4.843 8.3941 106.01
-4.104 8.3174 106.79
-3.414 8.0925 106.99
-2.779 7.4453 107.66
-2.359 6.5513 108.29
-2.124 5.5202 108.60
-2.043 4.3300 108.75
-2.101 3.2770 108.81
-2.840 2.1252 108.80
-3.840 1.0886 108.63
-4.942 0.2604 108.42
-6.177 -0.277 107.98
-7.018 -0.490 107.10
-7.548 -0.507 106.53
-7.687 -0.469 105.55
-6.441 -0.414 104.37
-3.782 -0.167 103.47
-2.054 0.0849 102.44
-0.790 0.3152 101.18
0 0.5237 100.65
0.3805 0.8637 100.28
0.3457 1.4670 99.607
0.1804 2.1746 99.416
-0.205 3.1069 99.569
-1.080 4.0339 99.962
-2.475 5.0376 100.35
-4.313 6.0906 101.01
-6.116 6.7762 102.08
-8.079 7.2753 102.64
-9.798 7.5769 102.68
-11.25 7.6153 102.75
-12.38 7.1601 102.98
-13.05 6.4252 103.15
-13.39 5.4105 103.33
-13.45 4.1271 103.45
-13.22 2.6792 103.56
-12.61 1.1105 103.55
-11.97 -0.386 103.31
-11.37 -1.834 102.90
-10.20 -3.227 102.10
-8.351 -4.324 100.86
-5.962 -5.147 99.247
-3.237 -5.992 97.425
0.3689 -6.600 95.013
1.9054 -6.617 93.977
1.3662 -6.304 93.519
0.0615 -5.514 92.537
-1.150 -4.823 91.915
-2.530 -4.077 91.478
-3.637 -3.337 91.238
-4.356 -2.712 91.069
-4.727 -2.289 91.162
-4.826 -2.026 91.691
-4.637 -1.812 92.280
-4.145 -1.604 92.498
-3.298 -1.511 92.826
-2.176 -1.560 93.557
-1.280 -1.565 94.042
-0.413 -1.582 94.441
-0.080 -1.593 94.582
-0.312 -1.554 94.632
-1.002 -1.494 94.724
-1.857 -1.472 94.773
-3.002 -1.434 94.888
-4.104 -1.472 94.615
-5.011 -1.620 94.211
-5.820 -1.856 94.119
-6.589 -2.152 94.091
-7.296 -2.542 93.704
-7.916 -2.980 93.159
-8.490 -3.436 92.602
-8.960 -3.913 91.980
-9.308 -4.335 91.396
-9.572 -4.719 90.791
-9.575 -5.037 90.382
-9.273 -5.290 90.169
-8.766 -5.460 90.196
-8.354 -5.602 90.480
-7.974 -5.712 90.955
-7.667 -5.805 91.500
-7.450 -5.882 92.166
-7.302 -5.948 93.066
-7.134 -5.997 93.977
-6.977 -6.024 94.959
-6.780 -6.041 95.930
-6.583 -6.057 96.934
-6.299 -6.057 97.861
-5.751 -6.013 98.543
-4.942 -5.942 99.236
-4.078 -5.717 99.858
-3.179 -5.301 100.28
-2.330 -4.790 100.48
-1.877 -4.357 100.60
-2.086 -3.425 100.64
-2.631 -2.273 100.66
-3.324 -1.061 100.66
-4.252 0.3262 100.62
-5.084 1.6042 100.49
-5.962 2.8437 100.29
-6.644 3.9461 99.934
-7.119 4.9169 99.514
-7.380 5.6024 98.865
