471 frames
21 bones
3.5282 -5.180 38.220
3.4969 -4.719 38.072
3.4188 -3.797 37.720
3.329 -2.914 37.228
3.2430 -2.082 36.709
3.1610 -1.355 36.256
3.1258 -1.035 36.049
3.1219 -1.090 36.068
3.1180 -1.316 36.170
3.1141 -1.625 36.588
3.1375 -2.102 37.025
3.1883 -2.762 37.201
3.2430 -3.496 37.334
3.3055 -4.266 37.189
3.3836 -5.129 36.728
3.4774 -6.098 36.166
3.5711 -6.988 35.552
3.6493 -7.738 34.998
3.6922 -8.094 34.623
3.7001 -8.067 34.447
3.7040 -7.848 34.361
3.7001 -7.535 34.330
3.6844 -7.035 34.287
3.6376 -6.340 34.150
3.5594 -5.477 33.935
3.4813 -4.574 33.556
3.3915 -3.598 33.048
3.2860 -2.488 32.525
3.1805 -1.445 32.045
3.0985 -0.559 31.673
3.0516 -0.016 31.408
3.0438 0.1518 31.169
3.0477 0.1597 31.013
3.0477 0.1792 30.951
3.0438 0.1831 30.943
3.0321 0.1167 30.990
3.0086 -0.102 31.201
2.9891 -0.418 31.580
2.9852 -0.863 32.060
2.9930 -1.383 32.607
3.0282 -2.043 33.013
3.0672 -2.762 33.189
3.1414 -3.691 33.283
3.2860 -5.047 33.271
3.4579 -6.461 33.228
3.6063 -7.664 33.213
3.7196 -8.512 33.295
3.7587 -8.801 33.603
3.7587 -8.793 34.170
3.7704 -8.906 34.920
3.7743 -8.852 35.736
3.7626 -8.633 36.478
3.7352 -8.352 37.135
3.7001 -7.926 37.615
3.6727 -7.410 37.924
3.6571 -7.008 38.119
3.6454 -6.582 38.205
3.6336 -6.106 38.256
3.5946 -5.484 38.205
3.5282 -4.633 38.041
3.4344 -3.688 37.791
3.3329 -2.750 37.474
3.2352 -1.934 37.193
3.1649 -1.340 37.037
3.1063 -0.945 36.994
3.0516 -0.652 37.037
3.0203 -0.543 37.162
3.0125 -0.668 37.357
3.0203 -1.090 37.560
3.0555 -1.660 37.697
3.1141 -2.426 37.740
3.1883 -3.375 37.529
3.2860 -4.438 37.052
3.3915 -5.488 36.455
3.4969 -6.422 35.818
3.5868 -7.129 35.259
3.6571 -7.617 34.830
3.7040 -7.985 34.548
3.7196 -8.106 34.470
3.7118 -7.914 34.455
3.6883 -7.406 34.388
3.6571 -6.762 34.291
3.5985 -5.914 34.099
3.5125 -4.918 33.756
3.4110 -3.844 33.283
3.3094 -2.762 32.740
3.2157 -1.770 32.201
3.1414 -0.937 31.752
3.0868 -0.309 31.408
3.0399 0.1909 31.146
3.0243 0.3628 31.009
3.0282 0.3276 30.900
3.0321 0.2729 30.857
3.0360 0.1440 30.904
3.0438 -0.113 31.068
3.0243 -0.414 31.392
3.0047 -0.812 31.849
2.9891 -1.270 32.388
3.0047 -1.914 32.822
3.0750 -2.793 33.091
3.1688 -3.766 33.369
3.2704 -4.758 33.404
3.3875 -5.813 33.259
3.5204 -6.934 33.154
3.6415 -7.922 33.213
3.7391 -8.746 33.494
3.7977 -9.129 33.912
3.7977 -9.063 34.591
3.7665 -8.852 35.400
3.7391 -8.594 36.037
3.7118 -8.242 36.599
3.6883 -7.875 37.138
3.6688 -7.449 37.576
3.6454 -6.981 37.869
3.6141 -6.442 38.049
3.5751 -5.832 38.201
3.5282 -5.180 38.220
3.4813 -4.531 38.107
3.4188 -3.797 37.908
3.329 -2.910 37.521
3.2430 -2.082 37.088
3.1610 -1.355 36.795
3.1258 -1.035 36.681
3.1180 -1.098 36.779
3.1180 -1.316 36.951
3.1180 -1.633 37.072
3.1375 -2.102 37.209
3.1805 -2.731 37.349
3.2430 -3.496 37.334
3.3055 -4.277 37.127
3.3836 -5.129 36.728
3.4774 -6.098 36.166
3.5711 -6.988 35.552
3.6493 -7.738 34.998
3.6922 -8.094 34.623
3.7001 -8.067 34.447
3.7040 -7.848 34.361
3.7001 -7.539 34.330
3.6844 -7.039 34.287
3.6376 -6.340 34.150
3.5594 -5.477 33.935
3.4813 -4.574 33.556
3.3915 -3.598 33.048
3.2860 -2.488 32.525
3.1805 -1.445 32.045
3.0985 -0.559 31.673
3.0516 -0.016 31.408
3.0399 0.1518 31.169
3.0438 0.1597 31.013
3.0477 0.1792 30.951
3.0438 0.1831 30.943
3.0321 0.1167 30.990
3.0086 -0.102 31.201
2.9891 -0.418 31.580
2.9852 -0.863 32.060
2.9930 -1.379 32.607
3.0282 -2.043 33.013
3.0672 -2.762 33.189
3.1414 -3.691 33.283
3.2860 -5.047 33.259
3.4579 -6.461 33.228
3.6063 -7.672 33.298
3.7196 -8.512 33.447
3.7587 -8.793 33.689
3.7587 -8.793 34.170
3.7704 -8.906 34.908
3.7743 -8.852 35.736
3.7626 -8.633 36.478
3.7352 -8.356 37.135
3.7001 -7.926 37.615
3.6727 -7.410 37.924
3.6571 -7.008 38.135
3.6454 -6.582 38.205
3.6336 -6.106 38.170
3.5946 -5.484 38.025
3.5204 -4.621 37.814
3.4227 -3.656 37.552
3.3250 -2.715 37.201
3.2352 -1.934 36.814
3.1766 -1.426 36.498
3.1414 -1.141 36.244
3.1219 -0.965 36.017
3.1219 -0.934 35.927
3.1180 -1.051 36.049
3.1219 -1.383 36.349
3.1297 -1.816 36.791
3.1610 -2.422 37.162
