283 frames
21 bones
9.6299 0.4292 35.748
9.9424 0.4565 34.685
10.176 0.4761 33.873
10.411 0.4956 33.056
10.770 0.5229 32.240
11.130 0.5542 31.423
11.610 0.5933 30.845
12.090 0.6323 30.263
12.450 0.6597 29.904
12.809 0.6909 29.544
13.059 0.7105 29.634
13.305 0.7300 29.720
13.450 0.7417 30.025
13.598 0.7534 30.330
13.622 0.7573 30.693
13.649 0.7573 31.052
13.516 0.7456 31.611
13.380 0.7378 32.170
13.380 0.7378 32.170
12.856 0.6948 33.338
12.426 0.6597 33.802
11.993 0.6245 34.267
11.622 0.5933 34.619
11.255 0.5620 34.970
10.954 0.5386 35.236
10.657 0.5151 35.502
10.395 0.4917 35.709
10.133 0.4722 35.912
9.9346 0.4565 36.068
9.7354 0.4409 36.220
9.6299 0.4292 36.295
9.5284 0.4214 36.369
9.4698 0.4175 36.244
9.4073 0.4136 36.119
9.4307 0.4136 35.728
9.4541 0.4175 35.338
9.6377 0.4331 34.658
9.8213 0.4448 33.974
10.129 0.4722 33.197
10.438 0.4956 32.416
10.864 0.5776 31.740
11.294 0.6558 31.060
11.294 0.6558 31.060
12.215 0.9058 30.076
12.551 1.0269 29.998
12.887 1.1519 29.919
13.067 1.2456 30.189
13.251 1.3394 30.459
13.235 1.3745 30.752
13.223 1.4097 31.044
13.059 1.4175 31.369
12.895 1.4253 31.689
12.626 1.4136 32.107
12.356 1.4019 32.525
12.020 1.3511 33.060
11.688 1.3042 33.599
11.364 1.2339 34.123
11.040 1.1597 34.646
10.790 1.1128 35.123
10.540 1.0620 35.599
10.340 1.0112 36.037
10.141 0.9605 36.474
10.141 0.9605 36.474
9.8135 0.7964 37.252
9.6807 0.6480 37.584
9.5479 0.4995 37.916
9.4502 0.3628 38.123
9.3526 0.2261 38.330
9.2823 0.1597 38.357
9.2158 0.0972 38.385
9.1807 0.0854 38.260
9.1494 0.0776 38.135
9.2705 0.1401 37.658
9.3877 0.2026 37.181
9.3877 0.2026 37.181
10.016 0.6636 35.498
10.407 0.9566 34.443
10.801 1.2456 33.392
11.286 1.4644 32.752
11.770 1.6831 32.107
12.235 1.8238 31.716
12.704 1.9683 31.326
12.911 2.0113 31.341
13.118 2.0582 31.357
13.188 2.0308 31.670
13.258 2.0035 31.978
13.083 1.9488 32.552
12.903 1.8941 33.123
12.563 1.8160 33.720
12.219 1.7417 34.318
11.805 1.6597 34.814
11.391 1.5777 35.314
10.993 1.4956 35.767
10.590 1.4097 36.220
10.383 1.3589 36.615
10.172 1.3042 37.006
10.172 1.3042 37.006
9.8956 1.2730 37.685
9.7588 1.2652 37.924
9.6260 1.2613 38.166
9.5245 1.2730 38.318
9.4229 1.2847 38.470
9.3682 1.3277 38.545
9.3135 1.3706 38.615
9.3018 1.4214 38.560
9.2901 1.4722 38.506
9.3291 1.5113 38.260
9.3643 1.5503 38.010
9.4659 1.5777 37.427
9.5674 1.6011 36.845
9.5674 1.6011 36.845
9.9268 1.6245 35.427
10.313 1.6324 34.713
10.700 1.6402 33.994
11.223 1.6597 33.377
11.747 1.6831 32.759
12.165 1.7300 32.240
12.583 1.7769 31.720
12.790 1.7964 31.337
12.993 1.8120 30.951
13.032 1.7925 30.834
13.071 1.7691 30.712
12.934 1.7105 31.279
