390 frames
21 bones
4.7860 -0.793 34.259
4.7548 -0.773 34.240
4.7235 -0.734 34.220
4.7001 -0.699 34.384
4.6102 -0.652 35.041
4.5243 -0.605 36.131
4.4657 -0.555 37.631
4.3993 -0.500 39.400
4.3329 -0.441 41.209
4.2665 -0.375 42.725
4.2040 -0.301 44.010
4.1337 -0.227 45.123
4.0712 -0.144 46.010
4.0087 -0.062 46.740
3.9657 0.0190 47.264
3.9344 0.1011 47.682
3.9462 0.1792 47.850
3.9930 0.2573 47.865
4.0477 0.3354 47.877
4.1298 0.4097 47.725
4.2313 0.4839 47.272
4.3134 0.5503 46.658
4.4032 0.6167 45.834
4.4852 0.6753 44.842
4.5556 0.7261 43.771
4.6102 0.7690 42.744
4.6454 0.7886 41.787
4.6493 0.7730 40.709
4.6376 0.7261 40.162
4.6220 0.6401 40.572
4.5946 0.5229 41.256
4.5751 0.3979 41.689
4.5516 0.2612 42.002
4.5204 0.1362 42.213
4.5087 0 42.279
4.4930 -0.125 42.232
4.4696 -0.262 42.060
4.4540 -0.406 41.799
4.4384 -0.535 41.432
4.4227 -0.621 40.951
4.4032 -0.652 40.467
4.3798 -0.625 40.021
4.3680 -0.539 39.814
4.3602 -0.406 40.435
4.3446 -0.242 41.443
4.3329 -0.078 42.041
4.3212 0.0854 42.455
4.3134 0.2339 42.725
4.3094 0.3628 42.799
4.3173 0.4839 42.744
4.3368 0.5894 42.553
4.3641 0.6948 42.260
4.4032 0.7769 41.842
4.4501 0.8394 41.139
4.4774 0.8589 40.709
4.5399 0.8276 40.846
4.6532 0.7378 41.131
4.7548 0.6245 41.432
4.7938 0.4878 41.717
4.7196 0.3315 41.932
4.5946 0.1597 42.010
4.4305 -0.016 41.978
4.2430 -0.191 41.885
4.0751 -0.367 41.627
3.9462 -0.520 41.142
3.8446 -0.652 40.525
3.8251 -0.715 39.857
3.8954 -0.695 39.146
3.9462 -0.617 38.779
4.0282 -0.484 39.162
4.1766 -0.316 40.025
4.3016 -0.156 41.033
4.4305 0.0151 42.053
4.5556 0.1909 42.814
4.6806 0.3706 43.353
4.8134 0.5464 43.725
4.9540 0.7026 43.842
5.1024 0.8355 43.709
5.2626 0.9605 43.334
5.4306 1.0972 42.842
5.5946 1.2417 42.275
5.7470 1.4058 41.713
5.8837 1.5581 41.236
6.0048 1.6949 40.885
6.1103 1.7535 40.764
6.2040 1.7456 40.892
6.2939 1.7066 41.236
6.3798 1.6050 41.713
6.4658 1.4331 42.279
6.5556 1.2378 42.842
6.6572 0.9761 43.330
6.7978 0.5151 43.689
6.8759 0.2339 43.822
6.8759 0.2339 43.822
7.0400 -0.625 43.209
7.0986 -0.957 42.412
7.1103 -1.012 41.978
7.0947 -1.012 42.103
7.0595 -1.012 42.385
7.0048 -0.992 42.693
6.9384 -0.945 43.041
6.8759 -0.891 43.381
6.8173 -0.816 43.685
6.7705 -0.707 43.947
6.7197 -0.590 44.057
6.6728 -0.488 43.717
6.6376 -0.398 42.916
6.6025 -0.328 41.877
6.5751 -0.277 40.846
6.5634 -0.242 40.060
6.5595 -0.230 39.740
6.6025 -0.238 39.853
6.7509 -0.273 40.166
6.9619 -0.324 40.588
7.2588 -0.398 41.084
7.7314 -0.508 41.670
8.0205 -0.574 41.986
8.0205 -0.574 41.986
8.9424 -0.719 42.408
9.6299 -0.750 42.217
10.270 -0.785 41.615
11.024 -0.832 40.748
11.747 -0.906 40.072
12.368 -1.020 39.916
12.954 -1.152 39.967
13.540 -1.301 40.189
14.102 -1.449 40.576
14.645 -1.594 40.998
15.157 -1.723 41.412
15.630 -1.840 41.775
16.079 -1.930 41.975
16.516 -1.988 42.033
16.899 -2.016 42.072
17.266 -2.035 42.010
17.575 -2.051 41.767
17.821 -2.074 41.404
17.954 -2.117 40.912
18.005 -2.180 40.365
17.958 -2.266 39.752
17.813 -2.371 38.908
17.602 -2.461 38.420
17.384 -2.488 39.029
17.102 -2.488 40.154
16.778 -2.496 41.049
16.395 -2.516 41.822
15.970 -2.555 42.428
15.528 -2.621 42.732
15.079 -2.727 42.799
14.622 -2.859 42.752
14.063 -3.066 42.502
13.766 -3.191 42.291
13.766 -3.191 42.291
12.950 -3.555 41.502
12.465 -3.754 41.174
12.110 -3.899 41.088
11.684 -4.070 41.353
11.243 -4.238 41.978
10.813 -4.399 42.658
10.372 -4.551 43.307
9.8956 -4.695 43.713
9.4229 -4.832 43.951
8.9932 -4.969 44.103
8.6104 -5.106 44.115
8.2979 -5.238 43.947
8.0439 -5.371 43.529
7.7978 -5.504 42.963
7.6142 -5.637 42.232
7.4853 -5.820 41.185
7.4463 -5.926 40.568
7.4463 -5.926 40.568
7.6025 -6.227 40.064
7.7549 -6.395 40.099
7.9541 -6.516 40.213
8.2275 -6.695 40.795
8.3760 -6.789 41.291
8.3760 -6.789 41.291
9.0205 -6.887 43.975
9.3330 -6.852 46.533
9.5245 -6.750 48.736
9.7823 -6.617 50.436
9.9971 -6.461 51.694
10.153 -6.313 52.717
10.200 -6.192 53.416
10.172 -6.106 53.928
10.145 -6.078 54.190
10.075 -6.106 54.303
9.9620 -6.188 54.307
9.8682 -6.297 54.190
9.7862 -6.434 53.873
9.7159 -6.578 53.467
9.6612 -6.727 52.901
9.6182 -6.863 52.225
9.5870 -6.992 51.393
9.5596 -7.110 50.444
9.5713 -7.207 49.342
9.6534 -7.274 48.072
9.7706 -7.317 46.791
9.9073 -7.340 45.611
10.016 -7.356 44.693
10.067 -7.371 44.092
10.059 -7.395 43.912
10.040 -7.430 43.920
10.020 -7.488 44.010
9.9776 -7.563 44.334
9.9073 -7.645 44.955
9.8291 -7.731 45.701
9.7510 -7.813 46.514
9.7002 -7.879 47.256
9.6455 -7.938 47.873
9.5870 -7.985 48.307
9.5479 -8.016 48.592
9.4971 -8.028 48.822
9.4424 -8.028 48.900
9.3955 -8.016 48.842
9.3526 -7.988 48.565
9.3018 -7.965 48.088
9.2588 -7.938 47.377
9.2237 -7.906 46.545
9.1963 -7.879 45.428
9.1729 -7.856 44.068
9.1494 -7.828 42.295
9.1338 -7.801 39.709
9.1260 -7.766 37.517
9.1182 -7.727 36.650
9.1221 -7.692 36.498
9.1338 -7.672 36.431
9.1338 -7.668 36.424
9.1455 -7.676 36.732
9.1768 -7.699 37.486
9.2041 -7.742 38.342
9.2354 -7.805 39.443
9.2705 -7.891 40.783
9.3096 -7.992 42.217
9.3487 -8.102 43.611
9.3916 -8.219 44.826
9.4346 -8.340 45.705
9.4815 -8.457 46.330
9.5284 -8.571 46.857
9.5752 -8.684 47.213
9.6260 -8.789 47.443
9.6651 -8.887 47.506
9.6924 -8.985 47.455
9.7198 -9.074 47.272
9.7315 -9.172 46.990
9.7237 -9.250 46.576
9.7159 -9.317 46.100
9.6924 -9.348 45.436
9.6612 -9.360 44.521
9.6182 -9.367 43.447
9.5557 -9.328 42.017
9.5245 -9.192 41.205
9.5049 -8.992 41.514
9.4737 -8.742 42.033
9.4580 -8.469 42.373
9.4541 -8.219 42.623
9.4541 -8.020 42.783
9.4580 -7.922 42.826
9.4659 -7.903 42.748
9.4776 -7.899 42.490
9.4854 -7.926 42.123
9.4932 -7.973 41.619
9.4854 -8.008 40.830
9.4776 -8.024 40.349
9.4737 -8.008 40.838
9.4893 -7.965 41.685
9.5362 -7.914 42.283
9.5948 -7.856 42.779
9.6612 -7.789 43.143
9.7354 -7.719 43.381
9.8057 -7.649 43.557
9.8760 -7.578 43.619
9.9346 -7.508 43.576
9.9815 -7.438 43.385
10.024 -7.379 43.068
10.067 -7.332 42.603
10.114 -7.293 41.853
10.145 -7.281 41.342
10.176 -7.293 41.271
10.239 -7.328 41.271
10.297 -7.383 41.572
10.329 -7.449 42.029
10.356 -7.528 42.287
10.360 -7.613 42.385
10.340 -7.703 42.318
10.305 -7.793 42.072
10.266 -7.887 41.705
10.231 -7.977 41.166
10.208 -8.055 40.420
10.196 -8.121 39.709
10.212 -8.168 39.205
10.227 -8.188 39.017
10.247 -8.192 39.045
10.309 -8.192 39.240
10.372 -8.180 39.701
10.446 -8.141 40.588
10.536 -8.086 41.916
10.637 -8.000 43.283
10.751 -7.895 44.244
10.864 -7.778 44.889
10.969 -7.680 45.307
11.071 -7.586 45.420
11.169 -7.477 45.385
11.243 -7.375 45.131
11.309 -7.278 44.650
11.383 -7.235 44.014
11.450 -7.262 43.287
11.516 -7.320 42.646
11.571 -7.399 42.252
11.583 -7.485 42.135
11.544 -7.567 42.225
11.442 -7.637 42.428
11.309 -7.703 42.670
11.149 -7.754 42.893
11.005 -7.797 43.006
10.840 -7.809 43.021
10.676 -7.805 42.807
10.528 -7.801 42.303
10.383 -7.781 41.596
10.270 -7.719 40.916
10.188 -7.629 40.510
10.165 -7.516 40.385
10.145 -7.391 40.869
10.118 -7.246 41.947
10.110 -7.106 43.213
10.114 -6.942 44.424
10.122 -6.758 45.182
10.145 -6.555 45.604
10.176 -6.356 45.834
10.212 -6.152 45.869
10.258 -5.961 45.756
10.325 -5.774 45.365
10.391 -5.574 44.791
10.446 -5.406 43.978
10.489 -5.274 42.873
10.516 -5.223 41.865
10.528 -5.246 41.307
10.528 -5.340 41.162
10.524 -5.504 41.572
10.520 -5.738 42.228
10.512 -6.024 42.611
10.493 -6.336 42.826
10.469 -6.629 42.912
10.450 -6.918 42.924
10.422 -7.207 42.744
10.395 -7.508 42.307
10.356 -7.832 41.611
10.329 -8.168 41.170
10.305 -8.504 41.275
10.219 -8.856 41.814
10.145 -9.223 42.928
10.102 -9.617 44.174
10.055 -10.02 45.107
9.9971 -10.45 45.697
9.9463 -10.89 45.959
9.9229 -11.33 45.998
9.8917 -11.75 45.893
9.8565 -12.13 45.475
9.8213 -12.51 44.521
9.8018 -12.70 43.881
9.8018 -12.70 43.881
9.7588 -12.91 41.443
9.7901 -12.75 41.099
9.8096 -12.32 41.049
9.8604 -11.78 41.240
9.9620 -11.15 41.799
10.071 -10.52 42.674
10.200 -9.856 43.545
10.337 -9.141 44.072
10.477 -8.426 44.248
10.590 -7.738 44.221
10.672 -7.113 43.978
10.731 -6.570 43.365
10.778 -6.106 42.521
10.825 -5.582 41.533
10.844 -5.324 40.986
10.844 -5.324 40.986
10.872 -4.649 40.650
10.868 -4.281 40.764
10.844 -4.020 41.045
10.813 -3.707 41.396
10.774 -3.379 41.771
10.731 -3.039 42.119
10.684 -2.648 42.283
10.672 -2.117 42.271
10.575 -1.648 42.252
9.9385 -1.340 41.514
8.4658 -1.082 39.510
6.6572 -0.906 36.951
5.2704 -0.816 34.963
4.7860 -0.793 34.259
-8.212 -0.660 91.958
-8.160 -0.617 91.947
-8.006 -0.485 91.926
-7.789 -0.326 91.926
-7.505 -0.117 91.926
-7.191 0.1069 91.926
-6.838 0.3756 91.882
-6.449 0.6663 91.756
-6.035 0.9953 91.571
-5.614 1.3245 91.364
-5.171 1.6810 91.145
-4.687 2.0264 90.955
-4.182 2.3884 90.747
-3.663 2.7395 90.518
-3.147 3.0905 90.234
-2.625 3.4196 89.874
-2.118 3.7431 89.465
-1.588 4.0284 89.018
-1.086 4.3136 88.559
-0.573 4.5769 88.134
-0.071 4.7962 87.730
0.3834 4.9937 87.343
0.8095 5.1747 86.994
1.2299 5.3337 86.694
1.6300 5.4544 86.448
2.0416 5.5257 86.246
2.4185 5.5421 86.083
2.7664 5.5202 85.930
3.0158 5.4269 85.772
3.1694 5.2953 85.608
3.2448 5.1692 85.450
3.2883 5.0211 85.253
3.2332 4.8895 85.144
3.1230 4.7797 85.106
2.9172 4.6262 84.861
2.5084 4.4178 84.653
1.8677 4.2916 84.571
1.0763 4.1106 84.435
0.4326 3.9241 84.326
-0.077 3.8309 84.239
-0.315 3.7541 84.211
-0.205 3.8090 84.201
0.0558 3.9790 84.201
0.4182 4.2422 84.217
0.8907 4.6042 84.250
1.3662 5.0376 84.293
1.8416 5.5476 84.342
2.2533 6.0303 84.424
2.6186 6.7158 84.484
2.9781 7.7140 84.582
3.2825 8.9700 84.746
3.5927 10.472 84.921
3.8072 11.865 85.090
3.9551 12.897 85.395
4.0160 13.291 85.341
3.9956 13.132 84.779
3.9000 12.655 84.119
3.7521 11.970 83.289
3.4912 11.065 82.798
3.1172 10.061 83.235
2.6969 8.8987 84.168
2.2852 7.6263 84.495
1.9112 6.2770 85.150
1.9054 4.8401 84.882
