210 frames
21 bones
0.3523 2.7261 41.299
0.3523 2.7261 41.299
0.0242 2.7652 41.318
-1.010 2.9058 41.392
-2.397 3.1285 41.514
-4.151 3.4332 41.685
-6.116 3.8121 41.885
-7.983 4.2496 42.080
-9.417 4.5895 42.185
-10.16 4.7770 42.185
-10.41 4.9723 42.080
-10.57 5.2340 41.814
-10.77 5.4372 41.463
-10.81 5.4645 40.717
-10.77 5.4684 39.224
-10.68 5.4723 36.545
-10.39 5.4528 33.646
-9.929 5.4684 31.767
-9.284 5.4879 30.365
-8.479 5.4684 28.904
-7.386 5.4176 27.138
-6.354 5.2848 25.521
-5.737 5.0856 24.185
-5.507 4.7379 23.388
-5.452 4.3668 23.017
-5.515 4.1324 22.888
-5.722 3.9488 22.970
-6.038 3.8004 23.060
-6.479 3.5699 23.212
-6.983 3.0191 23.665
-7.698 2.4918 24.833
-8.401 2.1910 27.154
-8.882 1.9175 29.861
-9.300 1.7222 33.185
-9.608 1.4761 37.314
-9.858 1.1441 42.639
-9.858 0.7769 48.283
-9.538 0.4058 53.307
-8.960 0.0737 57.221
-8.319 -0.203 59.752
-7.554 -0.434 61.190
-6.663 -0.590 62.280
-5.722 -0.680 63.358
-4.651 -0.695 64.057
-3.370 -0.699 64.413
-1.678 -0.590 64.479
-0.108 -0.340 64.253
0.8445 -0.172 63.940
1.4265 0.0151 63.499
1.9461 0.4409 63.034
2.5828 1.0737 62.530
2.9696 1.8941 61.811
3.1102 2.8746 60.881
3.1414 3.8981 59.842
3.0789 4.7614 58.815
2.9539 5.4645 57.659
2.8407 6.1364 56.334
2.7391 6.8083 54.991
2.6453 7.4411 53.494
2.6375 8.0661 51.522
2.7117 8.7380 48.865
2.9110 9.3084 45.908
3.1961 9.6990 43.588
3.5633 9.9646 41.377
3.9735 10.199 37.998
4.3837 10.429 33.076
4.6962 10.620 26.810
4.8602 10.820 19.337
4.9345 10.960 12.415
5.0321 11.011 6.8958
5.1142 10.995 2.6456
5.1376 10.976 1.2901
5.1376 10.972 1.6026
5.1376 10.968 2.4073
5.1376 10.964 3.1574
5.1376 10.960 3.8097
5.1376 10.968 4.2082
5.1376 10.976 4.3215
5.1376 10.984 4.3683
5.1376 10.984 4.3722
