97 frames
21 bones
8.9424 -0.176 38.908
8.9424 -0.176 38.908
8.8408 1.6363 38.846
8.7861 2.6636 38.763
8.7549 3.2769 38.666
8.7315 3.7652 38.478
8.7197 4.0387 38.209
8.7119 4.2145 37.861
8.7119 4.2457 37.662
8.7197 4.1090 37.783
8.7432 3.7535 38.010
8.7705 3.3043 38.224
8.8057 2.7613 38.404
8.8369 2.2144 38.521
8.8721 1.6285 38.635
8.9229 0.7886 38.724
8.9502 0.3042 38.748
8.9502 0.3042 38.748
9.0440 -1.281 38.763
9.0948 -2.168 38.752
9.1299 -2.715 38.685
9.1612 -3.238 38.556
9.1846 -3.606 38.385
9.2080 -3.875 38.174
9.2119 -3.965 38.017
9.1924 -3.836 37.947
9.1768 -3.524 37.881
9.1455 -3.121 38.111
9.0987 -2.606 38.502
9.0401 -1.902 38.701
9.0049 -1.496 38.763
9.0049 -1.496 38.763
8.9033 -0.211 38.826
8.8408 0.6128 38.806
8.7979 1.2573 38.744
8.7588 1.9683 38.674
8.7236 2.6285 38.568
8.7041 3.2496 38.416
8.6963 3.7535 38.217
8.6885 4.1637 37.986
8.6924 4.3121 37.795
8.6885 4.1793 37.681
8.6963 3.8434 37.677
8.7119 3.4215 37.982
8.7236 2.9097 38.408
8.7354 2.3707 38.654
8.7549 1.7808 38.799
8.7979 0.9878 38.904
8.8252 0.5464 38.939
8.8252 0.5464 38.939
8.9580 -1.074 38.924
9.0322 -1.992 38.873
9.0791 -2.566 38.775
9.1221 -3.109 38.619
9.1533 -3.488 38.416
9.1768 -3.770 38.146
9.1846 -3.863 37.990
9.1729 -3.762 38.084
9.1455 -3.457 38.263
9.1143 -3.051 38.431
9.0674 -2.492 38.584
8.9932 -1.586 38.705
8.9463 -1.031 38.752
8.9463 -1.031 38.752
8.8135 0.5972 38.787
8.7432 1.4800 38.775
8.7002 2.0660 38.728
8.6455 2.7300 38.646
8.6104 3.2848 38.549
8.5791 3.7262 38.404
8.5557 4.0231 38.209
8.5440 4.2418 37.998
8.5440 4.2965 37.826
8.5518 4.2145 37.736
8.5713 3.9606 37.748
8.5986 3.6129 38.021
8.6377 3.1129 38.334
8.6846 2.4761 38.470
8.7471 1.7417 38.607
8.8291 0.7417 38.717
8.8760 0.1714 38.744
8.8760 0.1714 38.744
8.9893 -1.352 38.744
9.0518 -2.164 38.721
9.0908 -2.656 38.650
9.1260 -3.156 38.513
9.1533 -3.520 38.338
9.1807 -3.785 38.131
9.1846 -3.875 37.994
9.1690 -3.754 37.939
9.1494 -3.453 37.877
9.1182 -3.066 38.088
9.0791 -2.566 38.463
9.0401 -2.066 38.658
9.0088 -1.504 38.779
8.9658 -0.668 38.877
8.9424 -0.176 38.908
2.2185 -11.64 88.701
2.2185 -11.64 88.701
-5.362 -11.77 89.689
-10.34 -13.08 90.234
-12.64 -11.89 90.709
-15.32 -11.89 91.156
-17.18 -11.98 91.506
-18.51 -11.99 91.778
-18.91 -12.01 91.882
-18.48 -11.98 91.816
-17.27 -11.94 91.609
-15.68 -11.88 91.320
-13.61 -11.83 90.938
-11.36 -11.72 90.480
-8.792 -11.67 89.967
-5.124 -11.69 89.296
-3.057 -11.53 88.930
-3.057 -11.53 88.930
3.4651 -11.46 88.052
5.9584 -11.58 87.752
9.4025 -11.41 87.376
11.611 -11.54 87.119
13.377 -11.37 86.994
