305 frames
21 bones
6.2626 -2.750 33.771
6.3095 -2.559 34.099
6.3994 -2.246 34.916
6.5205 -1.895 35.908
6.6728 -1.563 36.771
6.8720 -1.262 37.482
7.1220 -0.949 38.185
7.3994 -0.664 38.830
7.6806 -0.437 39.377
7.9736 -0.289 39.838
8.2666 -0.195 40.224
8.5479 -0.148 40.494
8.7940 -0.137 40.611
9.0127 -0.164 40.596
9.2119 -0.242 40.482
9.3877 -0.367 40.260
9.5557 -0.527 39.916
9.6963 -0.730 39.369
9.8096 -0.980 38.646
9.9229 -1.250 37.904
10.044 -1.527 37.322
10.169 -1.805 36.990
10.278 -2.082 36.822
10.379 -2.367 36.709
10.477 -2.668 36.541
10.583 -2.981 36.299
10.680 -3.309 36.029
10.762 -3.652 35.724
10.829 -4.039 35.377
10.852 -4.539 34.892
10.848 -5.164 34.259
10.837 -5.813 33.627
10.837 -6.375 33.142
10.856 -6.793 32.814
10.864 -7.156 32.548
10.821 -7.539 32.369
10.727 -8.012 32.314
10.551 -8.625 32.689
10.305 -9.321 33.560
10.032 -10.01 34.607
9.7784 -10.59 35.560
9.5245 -11.04 36.447
9.2666 -11.43 37.385
9.0088 -11.74 38.283
8.7861 -12.02 39.033
8.5869 -12.23 39.670
8.4150 -12.37 40.217
8.2666 -12.46 40.607
8.1611 -12.52 40.771
8.1025 -12.50 40.642
8.0908 -12.41 40.295
8.1025 -12.28 39.861
8.0947 -12.11 39.474
8.0752 -11.93 39.178
8.0518 -11.75 38.916
8.0205 -11.57 38.681
7.9814 -11.42 38.470
7.9307 -11.26 38.318
7.8642 -11.02 38.224
7.7861 -10.70 38.142
7.6806 -10.25 38.029
7.5400 -9.625 37.931
7.3642 -8.852 37.842
7.1767 -8.074 37.646
6.9892 -7.438 37.232
6.8095 -6.969 36.451
6.6298 -6.586 35.388
6.4619 -6.258 34.302
6.3095 -5.930 33.455
6.1689 -5.621 32.912
6.0322 -5.336 32.548
5.9345 -5.043 32.334
5.8915 -4.711 32.252
5.9150 -4.336 32.384
5.9853 -3.949 32.759
6.0868 -3.555 33.267
6.2001 -3.172 33.830
6.2548 -2.797 34.170
6.3681 -2.422 34.982
6.5048 -2.055 35.967
6.6689 -1.691 36.814
6.8720 -1.312 37.494
7.1220 -0.914 38.162
7.3916 -0.547 38.771
7.6689 -0.262 39.295
7.9502 -0.059 39.744
8.2432 0.0737 40.135
8.5244 0.1479 40.420
8.7744 0.1753 40.549
8.9893 0.1323 40.556
9.1846 0.0112 40.471
9.3721 -0.164 40.267
9.5440 -0.375 39.935
9.6846 -0.625 39.392
9.8057 -0.922 38.666
9.9229 -1.230 37.912
10.047 -1.535 37.318
10.169 -1.816 36.986
10.278 -2.086 36.822
10.379 -2.359 36.713
10.477 -2.656 36.549
10.579 -2.969 36.306
10.676 -3.297 36.033
10.762 -3.652 35.724
10.829 -4.043 35.377
10.848 -4.531 34.892
10.844 -5.125 34.259
10.840 -5.758 33.623
10.844 -6.336 33.138
10.848 -6.852 32.822
10.825 -7.383 32.591
10.770 -7.918 32.455
10.672 -8.473 32.416
10.508 -9.047 32.759
10.278 -9.625 33.576
10.024 -10.17 34.591
9.7745 -10.66 35.537
9.5205 -11.12 36.416
9.2510 -11.55 37.345
8.9971 -11.92 38.236
8.7744 -12.20 38.982
8.5791 -12.38 39.619
8.4072 -12.48 40.178
8.2627 -12.54 40.576
8.1572 -12.57 40.748
8.1025 -12.53 40.619
8.0908 -12.41 40.275
8.1025 -12.24 39.838
8.0986 -12.05 39.443
8.0752 -11.86 39.138
8.0478 -11.66 38.873
8.0166 -11.48 38.635
7.9814 -11.30 38.416
7.9385 -11.09 38.256
7.8799 -10.81 38.166
7.8056 -10.42 38.099
7.7080 -9.930 37.998
7.5752 -9.231 37.861
7.4033 -8.371 37.705
7.2119 -7.516 37.506
7.0283 -6.828 37.236
6.8447 -6.360 36.869
6.6650 -6.016 36.408
6.4970 -5.723 35.916
6.3486 -5.414 35.466
6.2001 -5.063 35.037
6.0751 -4.699 34.646
5.9814 -4.348 34.326
5.9501 -4.008 34.170
5.9814 -3.691 34.154
6.0517 -3.395 34.205
6.1533 -3.106 34.326
6.2509 -2.828 34.533
6.1689 -2.555 34.857
5.9032 -2.285 35.279
5.6884 -2.039 35.709
5.7626 -1.824 36.076
6.0829 -1.641 36.357
6.4384 -1.480 36.572
6.7861 -1.355 36.713
7.0830 -1.254 36.763
7.3252 -1.180 36.740
7.5283 -1.145 36.662
7.6885 -1.148 36.537
7.7978 -1.187 36.353
7.8799 -1.266 36.080
7.9541 -1.383 35.724
8.0283 -1.547 35.369
8.1025 -1.746 35.103
8.1768 -1.988 34.931
8.2510 -2.285 34.822
8.3291 -2.602 34.763
8.4033 -2.910 34.756
8.4854 -3.231 34.814
8.5674 -3.555 34.935
8.6533 -3.883 35.091
8.7432 -4.184 35.271
8.8369 -4.461 35.490
8.9307 -4.711 35.763
9.0244 -4.961 35.998
9.1182 -5.223 36.127
9.2119 -5.496 36.150
9.3057 -5.758 36.142
9.3838 -6.027 36.099
9.4307 -6.313 36.009
9.4229 -6.621 35.849
9.3799 -6.953 35.631
9.3135 -7.297 35.400
9.2510 -7.637 35.216
9.1846 -7.981 35.088
9.1182 -8.344 34.986
9.0596 -8.696 34.920
9.0401 -9.004 34.892
9.0479 -9.285 34.900
9.0635 -9.551 34.931
9.0869 -9.805 34.986
9.1143 -10.04 35.068
9.1573 -10.26 35.213
9.2080 -10.46 35.392
9.2666 -10.66 35.572
9.3252 -10.86 35.717
9.3838 -11.05 35.822
9.4502 -11.25 35.900
9.5049 -11.45 35.951
9.5362 -11.67 35.967
9.5284 -11.94 35.931
9.4854 -12.23 35.842
9.4346 -12.53 35.728
9.3877 -12.85 35.615
9.3526 -13.17 35.502
9.3252 -13.52 35.373
9.2979 -13.86 35.252
9.2744 -14.16 35.174
9.2471 -14.43 35.138
9.2237 -14.65 35.131
9.2041 -14.81 35.154
9.1885 -14.88 35.213
9.2080 -14.87 35.334
9.2823 -14.85 35.529
9.3877 -14.83 35.736
9.4971 -14.82 35.908
9.5987 -14.78 36.025
9.6573 -14.70 36.099
9.6612 -14.55 36.119
9.6065 -14.32 36.099
9.5049 -14.07 36.025
9.3721 -13.82 35.892
9.2237 -13.56 35.728
9.0869 -13.35 35.537
8.9619 -13.19 35.345
8.8643 -13.05 35.174
8.8096 -12.96 35.072
8.7979 -12.90 35.029
8.8330 -12.88 35.029
8.8955 -12.87 35.060
8.9658 -12.86 35.119
9.0479 -12.82 35.213
9.1260 -12.76 35.345
9.2158 -12.68 35.502
9.3057 -12.57 35.654
9.3916 -12.43 35.787
9.4659 -12.26 35.888
9.5362 -12.05 35.967
9.5870 -11.79 36.025
9.6182 -11.49 36.049
9.6143 -11.12 36.033
9.5791 -10.71 35.970
9.5205 -10.28 35.881
9.4541 -9.864 35.779
9.3877 -9.449 35.662
9.3291 -9.043 35.545
9.2940 -8.629 35.435
9.2823 -8.223 35.353
9.2979 -7.848 35.302
9.3291 -7.504 35.299
9.3799 -7.176 35.353
9.4268 -6.871 35.447
9.4776 -6.590 35.556
9.5284 -6.324 35.670
9.5674 -6.063 35.775
9.5830 -5.793 35.857
9.5791 -5.527 35.896
9.5518 -5.266 35.896
9.5166 -5.000 35.873
