238 frames
21 bones
2.8758 -1.934 37.201
2.7821 -1.910 37.209
2.4852 -1.844 37.228
2.0516 -1.754 37.256
1.4695 -1.641 37.295
0.8132 -1.523 37.338
0.0828 -1.406 37.388
-0.671 -1.305 37.439
-1.425 -1.234 37.494
-2.151 -1.203 37.552
-2.807 -1.207 37.607
-3.382 -1.270 37.658
-3.807 -1.398 37.705
-4.093 -1.559 37.744
-4.171 -1.758 37.775
-4.136 -1.977 37.803
-4.042 -2.219 37.830
-3.917 -2.461 37.857
-3.753 -2.703 37.881
-3.565 -2.930 37.904
-3.354 -3.145 37.928
-3.136 -3.359 37.951
-2.905 -3.570 37.974
-2.678 -3.774 38.002
-2.460 -3.973 38.025
-2.253 -4.172 38.049
-2.069 -4.359 38.076
-1.909 -4.527 38.103
-1.784 -4.672 38.135
-1.698 -4.797 38.166
-1.651 -4.902 38.193
-1.620 -5.000 38.224
-1.616 -5.074 38.260
-1.612 -5.133 38.295
-1.612 -5.172 38.334
-1.596 -5.195 38.377
-1.561 -5.203 38.428
-1.514 -5.207 38.486
-1.460 -5.203 38.553
-1.397 -5.195 38.619
-1.335 -5.176 38.685
-1.272 -5.152 38.752
-1.210 -5.125 38.814
-1.147 -5.086 38.873
-1.089 -5.027 38.920
-1.038 -4.969 38.955
-0.991 -4.914 38.978
-0.952 -4.859 38.998
-0.925 -4.805 39.006
-0.897 -4.746 39.006
-0.878 -4.672 38.998
-0.870 -4.586 38.990
-0.850 -4.477 38.967
-0.803 -4.352 38.931
-0.710 -4.195 38.888
-0.569 -4.027 38.830
-0.385 -3.836 38.752
-0.175 -3.633 38.666
0.0593 -3.418 38.568
0.3093 -3.191 38.467
0.5711 -2.957 38.357
0.8367 -2.719 38.248
1.0828 -2.488 38.142
1.3211 -2.254 38.037
1.5281 -2.031 37.935
1.7039 -1.820 37.845
1.8406 -1.621 37.767
1.9461 -1.434 37.697
2.0203 -1.254 37.635
2.0828 -1.078 37.572
2.1219 -0.906 37.517
