240 frames
21 bones
10.555 0.8550 41.432
10.755 0.8433 41.037
11.118 0.7690 40.002
11.231 0.6167 38.955
11.239 0.4097 37.740
11.274 0.2183 36.509
11.446 0.0854 35.291
11.801 0.0347 34.150
12.208 0.0620 33.291
12.782 0.1987 32.623
13.079 0.2886 32.408
13.110 0.3315 32.427
13.106 0.4214 32.615
13.079 0.5073 33.033
12.954 0.5894 33.865
12.798 0.6440 34.982
12.704 0.6831 36.326
12.575 0.6948 37.822
12.258 0.6597 39.033
11.758 0.5737 40.068
11.227 0.4956 40.822
10.672 0.4370 41.342
10.180 0.4097 41.572
9.9698 0.4604 41.646
9.8682 0.5425 41.678
9.8409 0.5933 41.682
9.9073 0.6323 41.482
10.051 0.6753 40.830
10.114 0.6675 39.947
10.114 0.5542 38.740
10.200 0.4253 37.490
10.438 0.3237 36.295
10.829 0.2612 35.170
11.262 0.2534 34.287
11.798 0.3003 33.580
12.243 0.4097 33.224
12.598 0.5425 33.068
12.817 0.6245 33.013
12.841 0.6440 33.037
12.837 0.7105 33.341
12.821 0.8706 34.045
12.637 1.0503 35.146
12.196 1.2183 36.560
11.758 1.3902 37.775
11.262 1.5777 38.904
10.766 1.7066 39.818
10.258 1.7574 40.498
9.7979 1.7535 40.951
9.5049 1.7613 41.322
9.3643 1.7730 41.603
9.3448 1.7769 41.685
9.5440 1.8238 41.650
9.9463 1.8980 41.447
10.172 1.9097 41.057
10.274 1.8667 40.482
10.333 1.8003 39.681
10.348 1.7300 38.674
10.368 1.6441 37.482
10.606 1.5777 36.310
11.368 1.6167 34.947
11.794 1.6558 34.220
11.801 1.6636 34.029
11.798 1.6792 33.974
11.794 1.6870 33.974
11.790 1.6910 34.056
11.782 1.6949 34.345
11.715 1.6792 34.959
11.610 1.6245 35.963
11.594 1.5425 37.041
11.696 1.4136 38.330
11.680 1.3394 39.424
11.485 1.2886 40.189
11.192 1.2261 40.697
10.922 1.1987 41.119
10.618 1.1870 41.435
10.473 1.2261 41.537
10.477 1.3042 41.545
10.512 1.3667 41.545
10.520 1.3745 41.517
10.512 1.3589 41.264
10.501 1.3159 40.783
10.555 1.2378 40.154
10.700 1.1714 39.338
10.825 1.1792 38.506
10.954 1.2027 37.592
11.149 1.2573 36.748
11.450 1.3667 36.002
11.794 1.5152 35.365
12.063 1.6285 34.841
12.309 1.7222 34.381
12.395 1.7691 34.220
12.251 1.7417 34.463
11.954 1.6636 35.174
11.794 1.6206 36.041
11.751 1.5816 37.201
11.680 1.5269 38.267
11.540 1.4644 39.084
11.352 1.3823 39.728
11.118 1.2573 40.264
10.774 1.0698 40.685
10.637 0.9566 40.955
10.680 0.8980 41.127
10.719 0.8433 41.178
10.731 0.8003 41.154
10.665 0.7417 40.908
10.547 0.6792 40.400
10.376 0.6050 39.709
10.184 0.5386 38.791
10.126 0.5190 37.783
10.219 0.5659 36.592
10.477 0.6792 35.525
10.895 0.8550 34.631
11.419 1.0777 33.959
11.829 1.2730 33.595
12.204 1.4644 33.416
12.329 1.5855 33.388
12.294 1.6753 33.482
12.239 1.7769 33.904
12.173 1.8394 34.627
12.067 1.8628 35.713
11.840 1.8081 36.869
11.481 1.6988 38.002
11.001 1.5425 39.096
10.477 1.3823 39.955
9.8213 1.2808 40.619
9.2784 1.2105 41.092
8.8994 1.1402 41.455
8.6963 1.0972 41.642
8.6807 1.0933 41.713
8.6924 1.0816 41.740
8.7236 1.0737 41.744
8.8213 1.0972 41.697
8.9893 1.1362 41.435
9.1026 1.1206 40.951
9.1612 1.0581 40.240
9.2784 0.9839 39.338
9.4502 0.9019 38.279
9.7041 0.8316 37.095
10.083 0.8394 36.002
10.614 0.9214 34.853
11.087 1.0503 34.177
11.458 1.2066 33.904
11.684 1.3472 33.814
11.688 1.4214 33.818
11.645 1.5034 33.951
11.602 1.5777 34.365
11.590 1.6245 35.002
11.559 1.6636 35.920
11.344 1.7183 37.060
10.547 1.6402 38.549
9.5205 1.5308 39.881
8.4189 1.4409 40.904
7.2627 1.3550 41.666
6.4384 1.3003 42.240
5.8642 1.2691 42.619
5.5986 1.2925 42.748
5.4696 1.3472 42.783
5.4267 1.3823 42.791
5.4228 1.3823 42.748
5.4267 1.3472 42.310
5.4853 1.2456 41.490
5.5439 1.0737 40.392
5.7196 0.8433 38.998
6.2119 0.6519 37.599
7.2822 0.5620 36.029
8.4502 0.5425 34.752
9.5049 0.5620 33.795
10.501 0.6245 33.255
11.243 0.6636 33.170
11.774 0.6831 33.213
12.008 0.6519 33.443
12.118 0.6011 33.931
12.188 0.5972 34.763
12.204 0.6323 35.748
11.977 0.6597 36.994
11.598 0.6597 38.166
11.126 0.6597 39.146
10.567 0.6167 39.974
10.118 0.4800 40.619
9.6495 0.3042 41.084
9.4776 0.2143 41.381
9.5401 0.1518 41.584
9.7081 0.0620 41.650
9.9581 0.0229 41.635
10.340 0.0307 41.471
10.606 0.0151 41.084
10.692 -0.031 40.541
10.692 -0.090 39.767
10.712 -0.144 38.814
10.704 -0.203 37.615
10.813 -0.238 36.447
11.251 -0.184 35.345
11.942 -0.039 34.373
12.395 0.0854 33.740
12.708 0.1792 33.416
12.919 0.2573 33.353
13.063 0.3276 33.509
13.114 0.4136 34.064
13.098 0.5229 34.841
12.899 0.6284 35.951
12.637 0.6792 37.041
12.415 0.6636 37.967
12.137 0.5972 38.783
11.719 0.5347 39.463
11.118 0.4526 39.998
10.606 0.3979 40.455
10.231 0.3784 40.912
10.008 0.3979 41.299
9.9424 0.4761 41.580
9.8995 0.5776 41.795
9.8877 0.6206 41.857
10.098 0.6909 41.756
10.551 0.8159 41.361
10.844 0.8316 40.764
11.063 0.7456 39.939
11.204 0.6011 38.920
11.258 0.4175 37.748
11.270 0.2104 36.447
11.395 0.0581 35.263
11.782 0 34.080
12.204 0.0386 33.197
12.657 0.1675 32.646
13.051 0.3042 32.447
13.102 0.3315 32.439
13.067 0.4058 32.584
13.016 0.4995 33.072
12.946 0.5854 33.892
12.837 0.6636 35.041
