124 frames
21 bones
4.3876 1.9644 32.123
4.3720 2.0113 32.271
4.3173 2.1128 32.713
4.2469 2.1675 33.240
4.1571 2.1949 33.900
4.0438 2.1871 34.638
3.9149 2.1558 35.435
3.7743 2.0855 36.256
3.6376 1.9566 36.916
3.5008 1.7925 37.467
3.3758 1.5933 37.885
3.2625 1.3628 38.205
3.1610 1.1011 38.408
3.0750 0.8433 38.576
3.0086 0.5815 38.689
2.9500 0.3120 38.732
2.9032 0.0425 38.736
2.8758 -0.230 38.721
2.8602 -0.508 38.689
2.8446 -0.781 38.588
2.8641 -1.035 38.404
2.9344 -1.266 38.189
3.0477 -1.473 37.881
3.1844 -1.660 37.447
3.3446 -1.832 36.896
3.5165 -1.980 36.228
3.7001 -2.109 35.443
3.8758 -2.219 34.588
4.0204 -2.324 33.849
4.1454 -2.418 33.138
4.1923 -2.504 32.732
4.1923 -2.563 32.564
4.1923 -2.578 32.517
4.1844 -2.578 32.607
4.1219 -2.547 33.314
4.0204 -2.492 34.158
3.9149 -2.430 34.869
3.7860 -2.344 35.576
3.6454 -2.238 36.185
3.4852 -2.113 36.717
3.329 -1.965 37.154
3.1805 -1.801 37.513
3.0438 -1.613 37.787
2.9149 -1.398 38.025
2.7860 -1.164 38.220
2.6922 -0.906 38.365
2.6141 -0.625 38.478
2.5360 -0.340 38.549
2.4813 -0.082 38.588
2.5242 0.1792 38.595
2.6336 0.4136 38.556
2.7547 0.6323 38.463
2.9110 0.8042 38.271
3.0672 0.8941 38.013
3.2118 0.9761 37.705
3.3524 1.0737 37.283
3.5125 1.1480 36.756
3.6883 1.1870 36.103
3.8407 1.2222 35.369
3.9852 1.2378 34.494
4.1063 1.3159 33.732
4.2118 1.4800 33.088
4.2938 1.6831 32.630
4.3563 1.8238 32.459
4.3798 1.9371 32.392
4.3563 2.0425 32.400
4.3173 2.1324 32.630
4.2509 2.1714 33.232
4.1610 2.1988 33.877
4.0477 2.2105 34.650
3.9227 2.1714 35.431
3.7899 2.0738 36.197
3.6415 1.9449 36.916
3.5008 1.8081 37.470
3.3758 1.5972 37.865
3.2664 1.3472 38.154
3.1649 1.1050 38.404
3.0750 0.8433 38.572
3.0047 0.5815 38.689
2.9461 0.3159 38.756
2.9032 0.0464 38.756
2.8602 -0.230 38.732
2.8485 -0.508 38.670
2.8758 -0.766 38.560
2.9188 -1.016 38.392
2.9539 -1.254 38.146
3.0321 -1.477 37.877
3.1844 -1.664 37.498
3.3407 -1.836 36.947
3.5243 -1.988 36.213
3.7001 -2.117 35.431
3.8680 -2.230 34.634
4.0165 -2.324 33.861
4.1180 -2.414 33.236
4.1884 -2.512 32.685
4.2040 -2.547 32.490
4.1962 -2.551 32.541
4.1649 -2.559 32.818
4.1141 -2.555 33.345
4.0360 -2.512 34.185
3.9266 -2.438 34.998
3.7977 -2.352 35.638
3.6454 -2.238 36.177
3.4930 -2.109 36.674
3.3368 -1.961 37.111
3.1844 -1.793 37.478
3.0438 -1.609 37.783
2.9149 -1.406 38.017
2.7977 -1.172 38.224
2.6805 -0.910 38.408
2.5906 -0.633 38.502
2.5203 -0.352 38.545
2.4969 -0.078 38.576
2.5438 0.1714 38.588
2.6453 0.4097 38.541
2.7782 0.6089 38.420
2.9071 0.7808 38.260
3.0555 0.9136 38.021
3.2039 1.0034 37.709
3.3524 1.0737 37.345
3.5086 1.1323 36.838
3.7118 1.1987 35.959
3.8915 1.2456 35.091
4.3876 1.9644 32.123
-10.39 1.2915 73.628
-9.963 0.9076 73.709
-9.024 0.1891 73.895
-8.302 -0.052 74.042
-7.603 -0.139 74.217
-6.971 -0.189 74.451
-6.435 -0.052 74.741
-5.904 0.3646 75.057
-5.295 0.7266 75.368
-4.643 1.0886 75.684
-3.814 1.4670 75.963
-2.796 1.7906 76.214
-1.544 2.0813 76.421
-0.054 2.3611 76.574
1.7663 2.5585 76.688
3.5927 2.6737 76.710
5.3206 2.7395 76.617
6.9354 2.7833 76.437
8.3443 2.7614 76.274
9.5591 2.7449 76.104
10.539 2.7395 75.924
11.417 2.7065 75.679
12.020 2.7504 75.472
12.295 2.9643 75.444
12.380 3.2111 75.172
12.168 3.5238 74.855
11.727 3.9406 74.621
11.081 4.4726 74.435
10.388 4.9937 74.370
9.5678 5.5476 74.408
8.8488 5.9973 74.571
8.3096 6.3374 74.773
7.9211 6.5568 75.133
7.6167 6.6665 75.717
7.4137 6.6720 76.197
7.2891 6.5403 76.748
7.1905 6.2880 77.561
7.1818 5.9151 78.669
7.2891 5.5312 79.945
7.5732 5.0650 81.707
7.6602 4.7797 82.482
7.4457 4.7578 82.782
6.9499 4.9717 83.671
6.2918 5.2843 84.561
5.4337 5.6957 84.626
4.4015 6.2058 84.342
3.2042 6.7817 84.053
1.8735 7.3740 83.568
0.6819 7.8347 83.093
-0.384 8.2131 82.569
-1.477 8.5258 82.106
-2.631 8.7068 81.767
-3.887 8.6574 81.516
-5.336 8.4545 81.271
-6.983 8.0376 81.134
-8.487 7.4453 80.758
-9.772 6.7213 80.049
-10.83 5.9206 79.034
-11.69 5.2405 77.714
-12.49 4.6975 75.728
-12.70 4.1271 74.893
-12.35 3.4141 74.713
-11.69 2.6298 74.173
-11.05 1.9387 73.900
-10.40 1.2806 73.769
-9.711 0.7266 73.759
-8.963 0.1836 73.857
-8.212 -0.205 74.053
-7.574 -0.260 74.228
-7.006 -0.183 74.424
-6.446 0.0191 74.681
-5.890 0.3152 75.002
-5.295 0.7211 75.368
-4.579 1.0941 75.679
-3.773 1.4396 75.957
-2.750 1.7906 76.192
