202 frames
21 bones
1.1570 -1.309 37.361
1.1570 -1.309 37.361
1.4148 -1.625 37.373
1.7898 -2.125 37.377
1.9188 -2.414 37.388
1.9422 -2.543 37.330
1.7820 -2.543 37.158
1.3992 -2.457 36.861
0.9461 -2.297 36.427
0.4461 -2.090 35.927
-0.038 -1.867 35.431
-0.436 -1.668 35.006
-0.729 -1.520 34.697
-0.835 -1.465 34.584
-0.835 -1.527 35.045
-0.823 -1.711 35.529
-0.807 -1.945 35.482
-0.792 -2.188 35.314
-0.776 -2.418 35.037
-0.764 -2.586 34.869
-0.757 -2.684 34.904
-0.749 -2.746 35.017
-0.749 -2.777 35.424
-0.745 -2.781 35.740
-0.733 -2.797 35.713
-0.725 -2.836 35.564
-0.714 -2.926 35.189
-0.710 -3.016 34.939
-0.702 -3.156 34.978
-0.682 -3.387 35.099
-0.671 -3.613 35.388
-0.655 -3.848 35.619
-0.639 -4.086 35.556
-0.624 -4.305 35.353
-0.608 -4.508 35.025
-0.596 -4.668 34.830
-0.589 -4.785 34.939
-0.577 -4.867 35.162
-0.569 -4.934 35.490
-0.561 -4.953 35.693
-0.561 -4.957 35.599
-0.557 -4.969 35.357
-0.553 -4.981 35.115
-0.553 -4.984 35.021
-0.550 -5.008 35.088
-0.542 -5.082 35.259
-0.534 -5.172 35.435
-0.534 -5.242 35.509
-0.534 -5.293 35.455
-0.526 -5.332 35.302
-0.522 -5.340 35.045
-0.522 -5.293 34.869
-0.530 -5.215 34.877
-0.534 -5.109 35.017
-0.546 -4.953 35.447
-0.553 -4.797 35.740
-0.553 -4.637 35.693
-0.565 -4.477 35.564
-0.573 -4.352 35.205
-0.573 -4.305 34.939
-0.569 -4.320 34.970
-0.553 -4.375 35.099
-0.538 -4.457 35.392
-0.510 -4.570 35.603
-0.483 -4.695 35.525
-0.448 -4.813 35.306
-0.405 -4.914 34.959
-0.366 -4.981 34.740
-0.323 -5.024 34.759
-0.284 -5.067 34.830
-0.249 -5.078 35.017
-0.225 -5.067 35.240
-0.202 -5.047 35.396
-0.190 -5.035 35.463
-0.190 -5.035 35.463
-0.151 -5.024 35.084
-0.124 -5.035 34.834
-0.092 -5.051 34.744
-0.034 -5.098 34.873
0 -5.145 34.998
0 -5.145 34.998
0.1374 -5.293 35.248
0.2156 -5.379 35.209
0.2664 -5.426 35.064
0.3171 -5.488 34.810
0.3445 -5.527 34.650
0.3562 -5.535 34.670
0.3484 -5.535 34.799
0.3328 -5.520 35.213
0.3210 -5.504 35.517
0.3210 -5.504 35.517
0.2781 -5.453 35.353
0.2507 -5.430 34.986
0.2390 -5.426 34.752
0.2390 -5.422 34.787
0.2312 -5.434 34.927
0.2468 -5.469 35.252
0.2937 -5.535 35.478
0.3679 -5.629 35.369
0.4109 -5.684 35.252
0.4109 -5.684 35.252
0.5242 -5.906 34.752
0.5789 -6.024 34.791
0.6023 -6.117 34.904
0.5984 -6.188 35.131
0.5828 -6.227 35.384
0.5398 -6.250 35.595
0.5046 -6.250 35.689
0.5046 -6.250 35.689
0.4109 -6.207 35.400
0.3601 -6.168 35.213
0.3210 -6.137 35.142
0.2703 -6.094 35.263
0.2429 -6.043 35.486
0.2468 -6.000 35.693
0.3054 -5.977 35.806
0.4539 -5.918 35.666
0.5593 -5.863 35.525
0.5593 -5.863 35.525
0.9070 -5.641 34.978
1.1140 -5.484 35.037
1.2664 -5.379 35.220
1.4265 -5.234 35.459
1.5672 -5.149 35.697
1.6922 -5.176 35.849
1.8172 -5.262 35.912
1.9578 -5.391 35.857
2.1180 -5.500 35.670
2.3055 -5.531 35.388
2.4930 -5.527 35.084
2.6727 -5.516 34.799
2.8328 -5.504 34.662
2.9618 -5.539 34.728
3.0555 -5.613 34.904
3.1297 -5.699 35.162
3.1454 -5.817 35.420
3.1258 -5.973 35.584
3.1102 -6.125 35.654
3.0907 -6.254 35.591
3.0789 -6.332 35.431
3.0907 -6.340 35.291
3.1063 -6.289 35.111
3.1375 -6.184 34.873
3.1610 -6.043 34.638
3.1649 -5.867 34.435
3.1219 -5.738 34.338
3.0399 -5.656 34.552
2.9188 -5.555 34.959
2.7782 -5.461 35.353
2.6297 -5.399 35.564
2.4891 -5.317 35.529
2.3563 -5.156 35.451
2.2586 -4.969 35.369
2.1531 -4.777 35.236
2.0164 -4.621 35.009
1.8445 -4.488 34.756
1.6375 -4.383 34.490
1.4148 -4.277 34.334
1.2117 -4.137 34.361
1.0164 -3.992 34.486
0.8328 -3.840 34.658
0.6648 -3.695 34.869
0.5164 -3.555 35.084
0.3757 -3.422 35.267
0.2195 -3.313 35.396
0.0515 -3.203 35.427
-0.124 -3.090 35.267
-0.300 -2.981 35.006
-0.467 -2.863 34.752
-0.600 -2.746 34.603
-0.706 -2.602 34.740
-0.749 -2.496 35.025
-0.760 -2.473 35.299
-0.768 -2.477 35.447
-0.768 -2.492 35.361
-0.768 -2.496 35.181
-0.772 -2.484 34.963
-0.780 -2.441 34.830
-0.784 -2.363 34.896
-0.788 -2.262 35.037
-0.796 -2.141 35.209
-0.800 -2.020 35.302
-0.807 -1.906 35.275
-0.815 -1.793 35.224
-0.819 -1.707 35.107
-0.823 -1.648 34.939
-0.827 -1.598 34.756
-0.827 -1.555 34.631
-0.831 -1.492 34.591
-0.835 -1.465 34.584
-0.811 -1.457 34.713
-0.741 -1.449 35.009
-0.651 -1.457 35.345
-0.542 -1.457 35.720
-0.432 -1.441 36.068
-0.307 -1.398 36.408
-0.167 -1.336 36.748
-0.030 -1.258 37.049
0.1414 -1.156 37.306
0.2351 -1.016 37.455
0.2273 -0.809 37.486
1.1570 -1.309 37.361
-1.443 -12.37 89.896
-1.443 -12.37 89.896
-1.724 -11.77 90.382
-2.130 -10.70 91.282
-2.396 -9.968 91.980
-2.428 -9.200 92.782
-2.127 -8.355 93.764
-1.469 -7.357 94.921
-0.460 -6.151 96.246
0.7254 -4.845 97.605
1.9286 -3.518 98.865
2.9723 -2.410 99.891
3.7811 -1.670 100.57
3.9986 -1.286 100.93
2.9462 -1.428 101.06
0.5573 -2.081 101.05
-2.617 -2.882 101.13
-5.832 -3.584 101.24
-8.284 -4.121 101.35
-9.273 -4.401 101.41
-8.676 -4.215 101.38
-6.974 -3.853 101.33
-4.710 -3.458 101.28
-1.846 -2.854 101.21
0.9719 -2.119 101.17
3.1375 -1.456 101.18
4.8074 -1.022 101.21
5.4337 -0.918 101.22
4.9205 -1.001 101.22
3.5550 -1.357 101.22
1.7808 -1.900 101.22
-0.526 -2.498 101.24
-2.872 -2.991 101.30
-4.724 -3.321 101.36
-6.119 -3.628 101.41
-6.612 -3.792 101.43
-6.214 -3.677 101.42
-5.075 -3.463 101.38
-3.559 -3.211 101.33
-1.643 -2.821 101.29
0.2471 -2.361 101.26
1.7083 -1.971 101.26
2.8302 -1.735 101.24
3.2477 -1.692 101.23
2.5693 -1.878 101.22
0.9806 -2.328 101.20
-0.866 -2.832 101.21
-3.017 -3.386 101.23
-5.319 -3.995 101.29
-7.316 -4.544 101.35
-8.751 -4.988 101.40
-9.267 -5.185 101.42
-8.667 -5.087 101.39
-6.974 -4.873 101.32
-4.652 -4.456 101.24
-1.921 -4.017 101.18
0.8356 -3.661 101.15
3.1346 -3.321 101.16
4.7987 -3.304 101.19
5.4365 -3.436 101.20
4.9234 -3.853 101.19
3.5550 -4.884 101.21
1.6734 -6.057 101.29
-0.584 -7.423 101.53
-2.762 -9.003 101.98
-4.701 -10.65 102.30
-6.055 -12.39 102.68
