30 frames
21 bones
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-0.531 0 19.937
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-4.672 -21.72 85.719
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
-14.59 -87.66 -93.52
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
0 121.79 0
