27 frames
21 bones
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
0.3789 0 34.543
-4.198 6.5327 87.856
-4.198 6.5327 87.906
-4.198 6.5327 88.055
-4.198 6.5327 88.290
-4.198 6.5327 88.608
-4.198 6.5327 88.996
-4.198 6.5327 89.450
-4.198 6.5327 89.960
-4.198 6.5327 90.516
-4.198 6.5327 91.112
-4.198 6.5327 91.745
-4.198 6.5327 92.401
-4.198 6.5327 93.070
-4.198 6.5327 93.749
-4.198 6.5327 94.428
-4.198 6.5327 95.101
-4.198 6.5327 95.756
-4.198 6.5327 96.389
-4.198 6.5327 96.989
-4.198 6.5327 97.548
-4.198 6.5327 98.059
-4.198 6.5327 98.512
-4.198 6.5327 98.903
-4.198 6.5327 99.225
-4.198 6.5327 99.463
-4.198 6.5327 99.612
-4.198 6.5327 99.665
-44.58 -103.5 -81.04
-45.20 -103.7 -80.94
-46.91 -104.1 -80.63
-49.52 -104.9 -80.09
-52.82 -106.0 -79.29
-56.59 -107.5 -78.14
-60.60 -109.5 -76.56
-64.62 -112.0 -74.40
-68.41 -115.3 -71.52
-71.69 -119.3 -67.91
-74.24 -123.7 -63.83
-76.06 -128.1 -59.67
-77.40 -132.4 -55.55
-78.04 -135.0 -52.85
-77.81 -134.5 -53.11
-76.50 -130.6 -56.69
-74.17 -124.9 -61.74
-71.01 -119.3 -66.51
-67.12 -114.6 -70.44
-62.67 -110.8 -73.49
-57.90 -107.8 -75.76
-53.19 -105.6 -77.37
-49.13 -104.1 -78.42
-46.62 -103.2 -78.95
-46.34 -103.1 -78.98
-47.20 -103.4 -78.77
-47.82 -103.6 -78.63
0 100.20 0
0 100.92 0
0 102.92 0
0 105.89 0
0 109.51 0
0 113.50 0
0 117.60 0
0 121.60 0
0 125.34 0
0 128.66 0
0 131.48 0
0 133.48 0
0 134.36 0
0 134.24 0
0 133.22 0
0 131.17 0
0 126.47 0
0 119.23 0
0 110.13 0
0 99.846 0
0 89.089 0
0 78.801 0
0 70.355 0
0 65.634 0
0 64.812 0
0 65.950 0
0 66.834 0
-7.421 -44.67 8.7563
-7.329 -45.59 8.8515
-7.076 -48.05 9.1038
-6.695 -51.63 9.4628
-6.220 -55.91 9.8787
-5.692 -60.46 10.308
-5.161 -64.93 10.719
-4.683 -69.02 11.088
-4.316 -72.47 11.401
-4.119 -75.07 11.644
-4.149 -76.67 11.798
-4.321 -77.23 11.868
-4.402 -77.17 11.905
-4.390 -76.90 11.905
-4.295 -76.75 11.865
-4.102 -76.92 11.793
-3.472 -76.93 11.747
-2.535 -76.43 11.706
-1.505 -75.35 11.637
-0.521 -73.70 11.526
0.3279 -71.56 11.387
0.9774 -69.10 11.245
1.3663 -66.70 11.137
1.4550 -65.06 11.095
1.4593 -64.75 11.089
1.4539 -65.18 11.097
1.4496 -65.51 11.103
-11.04 -98.64 -90.98
-7.409 -98.36 -91.06
1.0271 -97.86 -91.29
10.001 -97.65 -91.71
10.607 -97.71 -92.22
5.4938 -97.66 -92.75
-0.852 -97.55 -93.30
-7.432 -97.41 -93.88
-14.00 -97.31 -94.44
-20.50 -97.28 -94.99
-26.94 -97.41 -95.47
-33.28 -97.83 -95.83
-39.32 -98.73 -95.99
-44.33 -100.3 -95.87
-47.15 -102.7 -95.28
-48.41 -104.9 -94.40
-49.25 -105.8 -93.53
-49.64 -105.5 -92.76
-49.21 -104.6 -92.04
-47.24 -103.2 -91.43
-42.37 -101.4 -90.94
-34.66 -100.0 -90.49
-25.43 -99.11 -90.11
-22.38 -98.85 -89.74
-22.61 -98.95 -89.40
-22.70 -99.11 -89.17
-22.71 -99.19 -89.08
0 53.617 0
0 48.166 0
0 34.378 0
0 17.760 0
0 15.031 0
0 23.662 0
0 34.845 0
0 46.576 0
0 58.460 0
0 70.421 0
0 82.482 0
0 94.704 0
0 106.99 0
0 118.78 0
0 128.72 0
0 133.65 0
0 133.86 0
0 130.44 0
0 125.01 0
0 116.12 0
0 101.32 0
0 82.067 0
0 60.803 0
0 54.225 0
0 54.479 0
0 54.004 0
0 53.617 0
-7.223 -84.86 -0.534
-6.881 -81.17 -0.919
-6.084 -71.38 -1.628
-5.206 -57.72 -2.166
-4.586 -48.40 -2.358
-4.071 -43.71 -2.416
-3.686 -39.32 -2.427
-3.518 -35.28 -2.428
-3.607 -32.26 -2.501
-3.950 -31.14 -2.704
-4.586 -33.21 -3.016
-5.670 -40.37 -3.257
-7.394 -53.72 -3.059
-9.661 -70.33 -2.269
-12.02 -84.16 -1.599
-13.59 -88.27 -2.051
-13.66 -83.92 -3.480
-12.39 -76.12 -4.787
-10.94 -71.74 -4.935
-9.643 -74.34 -3.550
-8.291 -80.48 -1.775
-7.270 -86.00 -0.550
-6.728 -86.12 -0.083
-6.729 -85.44 -0.281
-6.935 -85.74 -0.460
-7.133 -85.25 -0.526
-7.223 -84.86 -0.534
-23.08 93.392 81.296
-23.03 93.389 81.299
-22.88 93.386 81.308
-22.65 93.380 81.324
-22.33 93.373 81.343
-21.94 93.364 81.369
-21.49 93.354 81.397
-20.98 93.342 81.429
-20.42 93.329 81.464
-19.82 93.316 81.503
-19.19 93.303 81.541
-18.54 93.291 81.579
-17.87 93.278 81.621
-17.19 93.265 81.662
-16.51 93.255 81.700
-15.84 93.243 81.742
-15.19 93.233 81.780
-14.56 93.224 81.815
-13.96 93.214 81.850
-13.40 93.208 81.882
-12.89 93.201 81.914
-12.43 93.195 81.939
-12.04 93.189 81.961
-11.73 93.185 81.980
-11.49 93.185 81.993
-11.34 93.182 82.003
-11.29 93.182 82.003
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
-5.349 3.6778 -16.73
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
9.3297 12.514 0.0104
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1209 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
2.4465 4.1203 -5.169
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
3.4454 13.285 179.49
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
-1.631 30.831 19.025
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
81.167 110.04 -143.6
