361 frames
21 bones
7.5830 1.8199 38.131
7.5322 1.8746 38.049
7.3955 1.9956 37.771
7.2392 2.0660 37.381
7.0361 2.0972 36.810
6.9111 2.0816 36.275
6.8720 2.0230 35.865
6.9462 1.9253 35.541
7.2119 1.8160 35.259
7.6767 1.6324 34.951
7.9033 1.5425 34.822
7.9033 1.5425 34.822
8.5752 0.9409 35.248
8.6221 0.8862 35.283
8.9580 0.4604 35.549
9.3409 -0.055 35.861
9.6182 -0.488 36.131
9.8917 -0.930 36.388
10.219 -1.359 36.576
10.657 -1.848 36.713
10.852 -2.047 36.752
10.852 -2.047 36.752
11.372 -2.836 36.107
11.387 -2.848 36.045
11.505 -2.930 35.564
11.688 -2.973 34.939
11.989 -2.898 34.177
12.180 -2.832 33.728
12.180 -2.832 33.728
12.411 -2.731 32.994
12.411 -2.731 32.994
12.083 -2.148 33.588
12.083 -2.148 33.588
12.012 -2.059 33.697
11.485 -1.352 34.502
10.883 -0.469 35.326
10.438 0.2886 35.861
9.9659 1.0542 36.310
9.3799 1.8433 36.607
8.6729 2.8238 36.455
8.0478 3.7652 36.127
7.5361 4.6871 35.826
7.1728 5.4254 35.439
6.9931 5.6286 35.056
6.7783 5.6403 34.759
6.5869 5.5739 34.595
6.5712 5.2575 34.502
6.7822 4.6168 34.455
7.0400 4.1129 34.463
7.5595 3.7105 34.650
8.0439 3.4098 34.853
8.3994 3.1754 35.009
8.6299 3.0582 35.127
8.6533 3.0465 35.142
9.0283 2.2964 34.818
9.0283 2.2964 34.818
9.0244 2.0699 34.638
9.0283 1.4878 34.240
9.0596 0.9526 33.966
9.1182 0.3979 33.756
9.1299 -0.316 33.615
9.0479 -1.238 33.521
8.9229 -2.281 33.502
8.8682 -3.246 33.564
8.8643 -4.316 33.756
8.8721 -4.754 33.857
8.8721 -4.754 33.857
8.9658 -5.348 34.517
8.9502 -5.289 34.548
8.8408 -4.891 34.752
8.7744 -4.656 34.873
8.7744 -4.656 34.873
8.6065 -2.938 35.170
8.6221 -2.727 35.189
8.7197 -1.371 35.302
8.7783 -0.574 35.365
8.7783 -0.574 35.365
9.1846 0.2495 36.142
9.1651 0.2573 36.131
9.0244 0.3237 36.025
8.8565 0.4526 35.826
8.6963 0.6597 35.556
8.5518 0.8980 35.213
8.4815 1.0308 34.865
8.4385 1.1441 34.525
8.4033 1.2183 34.193
8.3994 1.1753 33.810
8.4775 1.0152 33.416
8.6104 0.9175 33.123
8.7783 0.8433 32.880
8.9385 0.7261 32.724
9.1494 0.5854 32.666
9.4151 0.4683 32.677
9.6065 0.3550 32.677
9.7276 0.2300 32.709
9.7901 0.0854 32.748
9.8252 -0.098 32.759
9.8135 -0.281 32.802
9.7549 -0.398 32.963
9.6846 -0.461 33.306
9.6573 -0.477 33.478
9.6573 -0.477 33.478
8.6572 -0.141 33.814
8.5791 -0.199 33.834
8.1064 -0.551 33.963
7.8291 -0.762 34.037
7.8291 -0.762 34.037
7.8877 -2.324 34.701
7.9072 -2.371 34.736
8.0713 -2.707 34.939
8.2432 -3.004 35.013
8.4111 -3.141 34.826
8.5596 -3.195 34.595
8.5752 -3.199 34.564
8.5752 -3.199 34.564
8.7354 -3.121 33.709
8.7197 -2.750 32.955
8.7080 -2.438 32.377
8.7080 -2.398 32.306
8.7080 -2.398 32.306
8.8252 -1.934 30.994
8.7783 -1.676 30.369
8.6924 -1.590 30.084
8.6104 -1.469 29.806
8.4893 -1.301 29.634
8.3525 -1.148 29.525
8.2236 -1.027 29.419
8.0830 -0.941 29.361
7.9346 -0.902 29.326
7.7705 -0.906 29.310
7.6416 -0.941 29.314
7.5595 -0.973 29.314
7.5049 -1.020 29.349
7.4541 -1.113 29.458
7.4033 -1.254 29.630
7.3681 -1.426 29.853
7.3447 -1.602 30.119
7.3369 -1.797 30.423
7.3447 -1.992 30.732
7.3681 -2.191 31.060
7.4111 -2.391 31.361
7.4736 -2.582 31.650
7.5595 -2.777 31.892
7.6611 -2.981 32.048
7.7705 -3.199 32.142
7.9072 -3.402 32.107
8.0791 -3.672 31.857
8.2119 -3.914 31.533
8.2275 -3.945 31.486
8.6963 -4.496 30.947
8.6963 -4.496 30.947
8.9112 -5.031 31.345
9.1260 -5.567 31.744
9.1260 -5.567 31.744
9.6729 -6.520 33.127
9.6729 -6.520 33.127
9.7432 -6.567 33.529
9.8877 -6.602 34.431
9.9815 -6.481 35.088
10.055 -6.199 35.627
10.087 -5.899 36.146
10.059 -5.567 36.810
10.004 -5.285 37.373
9.9971 -5.250 37.443
9.9971 -5.250 37.443
9.3252 -4.215 38.392
8.7940 -3.356 38.627
8.4893 -2.508 38.556
8.1689 -1.625 38.490
7.8603 -0.715 38.385
7.6221 0.2104 38.103
7.3213 1.1323 37.619
6.9306 1.9839 36.783
6.6572 2.7613 35.662
6.4658 3.5309 34.154
6.2665 4.0582 32.755
6.1103 4.1871 31.611
6.0829 3.8863 30.580
6.0556 3.5426 29.587
6.0556 3.0933 28.587
6.1103 2.4996 27.908
6.2509 1.8589 27.498
6.5048 1.2144 27.310
6.7744 0.5894 27.333
7.1572 0.0112 27.654
7.6064 -0.535 28.107
8.2197 -1.203 28.732
8.7822 -1.750 29.333
8.8565 -1.820 29.416
10.079 -2.695 30.666
10.079 -2.695 30.666
10.235 -2.797 30.830
10.583 -3.074 31.056
10.782 -3.383 30.806
10.696 -3.785 29.591
10.602 -3.965 28.900
10.602 -3.965 28.900
9.3213 -5.379 25.779
9.1924 -5.293 25.599
8.3525 -4.734 24.454
7.8564 -4.402 23.775
7.8564 -4.402 23.775
7.7510 -2.836 24.212
7.7392 -2.566 24.361
7.6572 -0.832 25.326
7.6064 0.1987 25.900
7.6064 0.1987 25.900
7.5400 2.9371 27.646
7.5283 3.0738 27.724
7.3955 4.0895 28.220
7.1259 5.2184 28.482
6.8486 6.0856 28.396
6.6884 6.9763 28.134
6.6416 7.8591 27.685
6.5790 8.6990 26.919
6.5908 9.4685 26.079
6.6962 10.128 25.283
6.8798 10.761 24.494
7.0869 11.589 23.802
7.3252 12.632 23.169
7.5361 13.546 22.700
7.6846 14.265 22.450
7.7939 14.765 22.325
7.9150 14.976 22.009
7.9736 14.726 21.322
7.9971 14.128 20.657
8.0400 13.374 20.071
8.1338 12.507 19.446
8.2510 11.663 19.025
8.3135 10.488 18.986
8.3213 9.9529 19.060
8.3213 9.9529 19.060
8.0791 7.3122 20.384
8.0713 7.1208 20.470
8.0088 5.6598 21.048
7.9111 3.9566 21.552
7.7900 2.5777 21.740
7.6494 1.2534 21.712
7.5361 0.1479 21.493
7.4541 -0.785 21.052
7.3759 -1.453 20.521
7.3056 -1.988 20.025
7.2002 -2.266 19.544
7.0166 -2.227 19.087
6.8134 -1.965 18.556
6.6962 -1.484 18.212
6.5986 -0.883 18.036
6.4267 -0.164 17.943
6.2665 0.5815 17.927
6.1962 1.4175 18.064
6.1728 2.2730 18.333
6.1650 3.3199 18.818
6.1884 4.2106 19.325
6.1923 4.3278 19.396
6.3759 6.5974 21.306
6.3759 6.5974 21.306
6.4423 7.1403 21.845
6.5830 8.3904 23.029
6.6845 9.3670 23.865
6.7939 10.324 24.490
6.8994 11.160 24.861
6.9775 11.847 25.040
7.0478 12.367 24.951
7.1416 12.714 24.654
7.1923 13.015 24.212
7.1845 13.292 23.626
7.1728 13.546 22.911
7.1728 13.671 22.044
7.1455 13.632 21.185
7.0986 13.429 20.267
7.0595 13.085 19.450
7.0166 12.652 18.767
7.0009 12.105 18.224
7.0673 11.531 17.841
7.1220 10.773 17.763
7.2509 9.9373 17.927
7.4306 9.0896 18.208
7.6299 8.1716 18.634
7.8525 7.2497 19.075
8.0947 6.3161 19.560
8.3291 5.3278 20.071
8.5908 3.9957 20.739
8.7979 2.8199 21.322
8.8252 2.6675 21.400
9.2784 0.1245 21.806
9.2784 0.1245 21.806
9.3448 -0.379 21.615
9.462 -1.449 21.122
9.4893 -2.121 20.630
9.4659 -2.629 20.075
9.3369 -2.723 19.493
9.1299 -2.508 18.794
8.9346 -1.949 18.087
8.8018 -1.062 17.716
8.5596 0.1284 17.485
8.2627 1.4683 17.458
7.9502 3.2613 17.767
7.7158 4.8903 18.235
7.6885 5.1090 18.310
7.2978 8.3005 20.216
7.2978 8.3005 20.216
7.2549 8.7771 20.622
7.1494 9.8318 21.501
7.0752 10.574 22.083
7.0127 11.167 22.505
6.9658 11.683 22.771
6.9033 12.191 22.939
6.8759 12.597 22.927
6.9462 12.812 22.724
7.0088 13.023 22.396
7.0322 13.195 22.072
7.0986 13.242 21.771
7.2588 13.062 21.407
7.4502 12.773 21.001
7.6885 12.355 20.525
7.9424 11.824 20.118
8.1494 11.187 19.861
8.3252 10.378 19.825
8.5518 9.4803 20.013
8.8447 8.2927 20.513
8.9737 7.7654 20.779
8.9737 7.7654 20.779
9.7706 5.2887 22.708
9.8643 5.0778 22.939
10.454 3.7184 24.423
10.805 2.9097 25.306
10.805 2.9097 25.306
11.782 1.1480 28.419
11.926 0.8667 29.091
12.376 -0.012 31.177
12.376 -0.012 31.177
12.376 -0.012 31.177
12.485 -0.785 32.759
12.477 -0.832 32.798
12.434 -1.152 33.045
12.450 -1.395 33.166
12.458 -1.531 33.048
12.325 -1.680 32.783
12.094 -1.711 32.451
11.715 -1.660 31.927
11.536 -1.625 31.681
11.536 -1.625 31.681
10.645 -1.250 31.240
10.301 -0.992 31.298
9.2315 -0.187 31.478
9.2315 -0.187 31.478
9.0557 -0.148 31.677
8.6416 -0.070 32.154
8.3096 -0.012 32.568
8.0674 0.0737 33.029
7.8721 0.1245 33.560
7.7002 0.1050 34.138
7.5556 0.0620 34.763
7.4033 0.0932 35.373
7.2236 0.1753 35.990
7.1181 0.3315 36.549
7.1064 0.5581 37.064
7.1767 0.8589 37.494
7.2939 1.1987 37.806
7.4892 1.6324 38.053
7.5820 1.8154 38.125
-15.93 40.693 52.182
-16.90 40.704 52.291
-18.88 39.459 52.891
-19.85 36.003 54.337
-19.93 30.118 58.439
-19.89 23.948 63.611
-20.37 18.628 68.336
-20.60 13.363 74.108
-19.35 7.3850 82.209
-16.28 -0.348 93.126
-14.98 -3.732 97.758
-14.98 -3.732 97.758
-5.716 -12.00 114.56
-4.875 -12.29 115.61
1.1284 -14.93 122.05
7.1963 -18.43 124.82
11.240 -20.30 123.12
14.823 -21.18 120.90
18.215 -22.01 116.90
21.871 -22.33 106.61
23.332 -22.29 101.16
23.332 -22.29 101.16
27.907 -24.45 83.246
28.032 -24.50 82.553
28.815 -24.79 77.687
29.279 -24.98 73.333
27.701 -21.73 75.755
25.930 -18.69 79.411
25.930 -18.69 79.411
16.270 -10.40 94.184
16.270 -10.40 94.184
2.5867 -4.319 100.06
2.5867 -4.319 100.06
1.7199 -3.661 99.863
-4.994 0.7815 97.834
-12.36 5.0156 94.479
-16.91 8.4216 90.742
-20.42 12.074 86.279
-23.68 15.370 81.931
-26.34 18.568 77.577
-28.41 21.568 73.529
-30.41 24.634 69.607
-31.66 27.327 66.257
-31.86 28.950 63.922
-31.89 29.691 62.809
-31.89 29.784 62.673
-31.32 27.179 64.451
-29.52 20.784 69.345
-27.50 14.992 74.681
-25.44 8.8823 80.862
-22.38 2.9314 87.441
-17.45 -4.154 95.532
-13.77 -10.33 102.05
-13.37 -11.15 102.86
-2.379 -23.02 116.55
-2.379 -23.02 116.55
-0.060 -24.20 117.99
5.0191 -27.48 120.61
8.7474 -29.81 121.38
12.092 -31.04 121.03
15.516 -32.00 119.02
19.276 -33.07 114.43
22.970 -34.08 107.41
25.785 -35.98 100.81
27.962 -39.11 92.957
28.620 -40.60 89.596
28.620 -40.60 89.596
27.011 -42.48 81.195
26.687 -42.10 80.900
24.521 -39.82 78.947
23.187 -38.58 77.736
23.187 -38.58 77.736
20.219 -26.88 93.437
19.871 -25.36 95.570
16.441 -16.18 108.66
13.504 -11.26 115.93
13.504 -11.26 115.93
-6.322 4.3355 115.04
-7.023 5.0266 114.44
-12.53 10.127 109.20
-18.59 15.869 101.88
-22.00 20.871 94.872
-24.10 26.049 87.425
-25.69 30.305 80.905
-26.40 33.640 75.515
-26.56 36.810 70.518
-26.40 41.143 64.124
-25.87 44.795 58.892
-25.75 45.234 58.139
-25.60 44.735 58.227
-25.58 43.282 58.739
-25.90 40.945 61.664
-26.23 37.709 68.085
-26.07 34.369 74.293
-25.67 30.848 80.976
-24.37 26.981 87.714
-22.45 23.005 94.424
-19.66 18.683 100.38
-15.64 13.396 103.98
-10.09 5.9206 104.75
-7.928 2.4817 104.15
-7.928 2.4817 104.15
-1.564 -14.35 100.03
-0.381 -15.00 98.920
6.5991 -20.43 91.598
10.083 -24.67 86.988
10.083 -24.67 86.988
20.572 -34.98 71.587
20.799 -35.42 71.184
22.138 -38.38 68.510
22.831 -40.24 66.895
22.877 -37.99 69.492
22.706 -34.22 73.851
22.651 -33.63 74.528
22.651 -33.63 74.528
19.430 -21.73 85.215
15.032 -16.99 83.148
6.6600 -11.15 93.224
5.3003 -10.48 95.090
5.3003 -10.48 95.090
-10.77 -0.660 102.67
-13.78 3.9351 103.45
-22.57 6.6226 105.46
-27.83 10.149 104.51
-31.09 15.030 101.12
-31.90 20.262 95.826
-31.59 25.478 90.534
-30.86 30.497 85.903
-29.64 34.687 81.047
-27.46 38.488 75.477
-25.77 39.678 72.673
-24.99 39.459 71.986
-24.42 39.272 71.713
-23.73 38.696 71.664
-23.47 35.921 72.602
-22.95 32.197 73.933
-22.02 28.429 75.112
-20.74 24.255 76.312
-19.19 20.378 77.321
-17.50 16.599 78.145
-15.33 13.187 78.772
-12.92 10.143 79.105
-9.992 7.3685 79.291
-6.461 4.4726 79.460
-2.367 1.1983 79.541
1.8967 -1.840 79.569
7.3238 -5.322 79.689
11.979 -8.608 79.760
12.580 -9.068 79.765
21.155 -14.37 80.769
21.155 -14.37 80.769
24.344 -15.25 85.712
27.536 -16.37 90.594
27.536 -16.37 90.594
30.714 -16.73 98.630
30.714 -16.73 98.630
30.534 -16.34 99.394
29.795 -15.02 101.50
28.502 -13.30 103.51
26.087 -11.45 103.99
22.982 -9.825 103.63
18.598 -8.295 102.78
14.513 -7.445 101.62
13.971 -7.363 101.45
13.971 -7.363 101.45
3.7463 -6.940 96.290
1.5082 -6.474 95.221
-3.231 -5.344 92.597
-6.362 -3.814 90.016
-8.774 -1.330 86.754
-10.62 2.4323 83.824
-12.11 7.4179 81.424
-13.23 13.604 79.411
-14.27 19.994 77.676
-14.71 27.760 76.164
-16.01 31.797 75.613
-18.65 32.943 75.701
-20.84 33.651 75.924
-21.19 33.409 76.192
-21.58 30.848 78.298
-21.69 27.420 81.746
-20.15 23.767 85.106
-16.50 19.379 87.834
-13.04 15.431 89.967
-9.528 11.728 91.440
-5.525 7.5166 92.504
-0.210 0.9350 93.148
3.6912 -5.476 92.777
4.1290 -6.359 92.662
15.189 -23.39 92.433
15.189 -23.39 92.433
17.949 -26.70 92.755
22.724 -34.46 92.668
25.168 -38.54 92.013
27.116 -40.28 91.609
27.846 -40.55 91.538
27.846 -40.55 91.538
30.313 -27.18 88.189
30.516 -26.52 88.134
31.630 -22.10 87.812
32.125 -19.36 87.654
32.125 -19.36 87.654
22.173 -21.15 87.763
20.874 -20.71 88.139
12.568 -18.89 90.447
7.7297 -18.60 91.822
7.7297 -18.60 91.822
-4.872 -12.62 96.683
-5.380 -12.27 96.825
-9.122 -9.962 97.556
-12.93 -7.856 97.512
-14.79 -6.447 96.301
-15.72 -4.439 94.075
-16.68 -1.258 91.331
-17.61 3.2386 87.741
-18.25 8.0157 84.108
-18.54 12.765 80.916
-18.35 17.339 78.014
-18.05 21.019 75.101
-17.57 24.272 72.182
-17.33 25.429 70.174
-17.35 25.347 68.729
-17.51 24.650 68.008
-17.84 23.109 68.505
-18.25 20.350 70.883
-18.35 16.785 75.155
-17.79 12.441 80.409
-15.94 7.5660 85.892
-12.85 3.5841 90.463
-7.824 -0.562 94.801
-5.554 -2.350 96.366
-5.554 -2.350 96.366
12.356 -6.979 101.88
12.811 -7.324 102.02
16.160 -10.11 102.98
19.723 -13.53 103.83
22.257 -16.14 104.27
24.559 -18.60 104.59
26.643 -20.90 104.82
28.638 -23.01 104.98
30.171 -24.74 105.18
31.369 -26.29 105.63
32.053 -27.21 106.11
31.969 -27.26 106.26
30.560 -26.57 107.04
28.299 -24.94 108.49
25.571 -22.87 109.88
22.118 -20.28 111.10
18.505 -17.36 112.41
14.435 -14.18 113.72
10.188 -11.23 114.79
4.8219 -8.054 115.79
0.0963 -5.794 116.43
-0.526 -5.536 116.50
-13.57 -0.688 115.77
-13.57 -0.688 115.77
-16.64 0.6882 115.16
-23.78 3.3044 113.57
-29.01 5.2021 112.08
-33.37 7.3246 110.32
-36.79 9.0688 108.72
-39.51 10.423 107.39
-40.90 11.350 106.56
-40.96 11.416 106.51
-40.25 10.993 106.97
-38.87 10.209 107.81
-37.10 9.1510 108.88
-34.80 7.7799 110.18
-32.28 6.4032 111.44
-29.48 4.8675 112.75
-26.61 3.3921 113.86
-23.77 1.9552 114.89
-20.94 0.6169 115.61
-18.33 -0.469 115.66
-15.87 -1.308 115.30
-13.29 -2.054 113.87
