381 frames
21 bones
2.7742 0.9448 36.650
2.8367 0.9566 36.760
2.9852 0.9605 36.978
3.1454 0.9331 37.228
3.3563 0.9136 37.369
3.6141 0.7378 37.283
3.8993 0.4058 37.150
4.1923 0.1323 37.060
4.4657 -0.133 36.974
4.7001 -0.406 36.967
4.8681 -0.645 37.041
4.9696 -0.805 37.119
5.0009 -0.875 37.240
5.0009 -0.914 37.408
5.0048 -0.914 37.533
5.0048 -0.902 37.568
5.0048 -0.863 37.584
5.0048 -0.773 37.474
5.0048 -0.613 37.279
4.9970 -0.414 37.135
4.9813 -0.187 37.021
4.9618 0.0464 36.959
4.9501 0.2612 36.935
4.9423 0.4292 36.920
4.9423 0.5425 36.920
4.9462 0.6206 36.924
4.9579 0.6440 36.924
4.9735 0.6401 36.920
4.9892 0.6284 36.912
5.0009 0.6128 36.900
5.0126 0.5854 36.869
5.0165 0.5542 36.771
5.0282 0.4956 36.627
5.0517 0.3706 36.463
5.0907 0.2143 36.342
5.1649 0.0620 36.459
5.2392 -0.227 36.818
5.2860 -0.852 37.427
5.2978 -1.355 37.818
5.2899 -1.480 37.810
5.2821 -1.500 37.810
5.3876 -1.336 37.638
5.6532 -1.059 37.318
5.9384 -0.914 37.056
6.3759 -0.750 36.787
7.0869 -0.457 36.478
7.7822 -0.144 36.244
8.1689 0.0972 36.189
8.3994 0.3081 36.209
8.5947 0.5190 36.213
8.7627 0.6870 36.213
8.9815 0.8081 36.189
9.1807 0.8901 36.154
9.3448 0.9683 36.119
9.4151 1.0034 36.088
9.4151 1.0152 36.068
9.4073 1.0152 36.068
9.3955 1.0034 36.088
9.3604 0.9761 36.127
9.2979 0.9487 36.154
9.2041 0.9019 36.185
9.0869 0.8316 36.217
8.9502 0.7300 36.259
8.8096 0.6050 36.334
8.6611 0.4526 36.412
8.5088 0.2925 36.482
8.3525 0.1167 36.545
8.2002 -0.059 36.588
8.0361 -0.269 36.619
7.8564 -0.500 36.658
7.6611 -0.855 36.681
7.4463 -1.465 36.677
7.2353 -2.078 36.654
7.0400 -2.516 36.603
6.8798 -2.688 36.572
6.7666 -2.664 36.521
6.6650 -2.586 36.427
6.5205 -2.387 36.396
6.3798 -2.047 36.373
6.2783 -1.641 36.299
6.1845 -1.277 36.209
6.0829 -1.102 36.142
5.9501 -1.023 36.092
5.7743 -0.937 36.072
5.5673 -0.902 36.076
5.3485 -0.937 36.088
5.1415 -1.051 36.095
4.9853 -1.246 36.092
4.8681 -1.453 36.084
4.7860 -1.578 36.084
4.7470 -1.672 36.080
4.7274 -1.766 36.060
4.7235 -1.852 36.037
4.7274 -1.930 35.978
4.7352 -1.949 35.892
4.7470 -1.926 35.810
4.7587 -1.895 35.717
4.7509 -1.781 35.634
4.7352 -1.609 35.580
4.6962 -1.469 35.517
4.6688 -1.344 35.502
4.7743 -1.266 35.517
4.8798 -1.148 35.549
4.8759 -0.922 35.595
4.8642 -0.617 35.634
4.4970 -0.285 35.674
3.8329 0.0972 35.713
3.2664 0.5229 35.756
2.7782 0.9878 35.799
2.3914 1.6128 35.857
2.2391 1.9683 35.888
2.2391 1.9683 35.888
2.0984 2.4644 35.896
2.1883 2.4293 35.826
2.3641 2.2808 35.767
2.5203 2.0699 35.724
2.6610 1.7769 35.732
2.7430 1.4331 35.791
2.7977 1.0659 35.900
2.8602 0.7261 36.033
2.9110 0.4214 36.201
2.9618 0.1557 36.392
3.0047 -0.074 36.607
3.0516 -0.289 36.822
3.0985 -0.512 37.010
3.1571 -0.758 37.209
3.2118 -0.969 37.283
3.2508 -1.129 37.236
3.2743 -1.281 37.189
3.2860 -1.395 37.017
3.3016 -1.449 36.705
3.329 -1.477 36.384
3.3680 -1.469 36.006
3.4071 -1.473 35.650
3.4305 -1.531 35.377
3.4383 -1.641 35.201
3.4461 -1.844 35.119
3.4891 -2.242 35.088
3.5204 -2.500 35.099
3.5204 -2.500 35.099
3.6883 -3.656 35.080
3.6883 -3.656 35.080
3.7977 -4.984 35.060
3.7430 -5.586 35.049
3.6024 -5.891 35.041
3.4461 -6.258 35.021
3.2039 -6.488 34.990
2.8172 -6.563 34.908
2.4070 -6.535 34.767
2.0438 -6.387 34.623
1.8719 -6.074 34.486
1.8953 -5.559 34.330
1.9188 -5.238 34.248
1.9188 -5.238 34.248
1.9266 -4.461 34.060
1.9695 -4.219 33.998
2.0008 -4.176 33.970
1.9773 -4.164 33.920
1.9578 -4.180 33.900
1.9539 -4.313 33.881
1.9539 -4.567 33.845
1.9969 -4.813 33.810
2.0867 -5.113 33.752
2.1883 -5.481 33.666
2.2899 -5.895 33.548
2.3836 -6.313 33.384
2.4383 -6.711 33.138
2.4539 -7.059 32.845
2.4500 -7.371 32.486
2.4422 -7.684 32.095
2.4070 -7.961 31.642
2.3211 -8.199 31.111
2.2000 -8.387 30.560
2.0984 -8.539 30.033
2.0125 -8.649 29.560
1.9500 -8.742 29.134
1.9031 -8.817 28.826
1.8719 -8.899 28.654
1.8562 -8.934 28.615
1.8367 -8.938 28.634
1.8289 -8.957 28.708
1.8367 -9.020 28.904
1.8445 -9.067 29.033
1.8445 -9.067 29.033
1.9227 -9.098 29.431
1.9031 -8.867 29.677
1.8797 -8.688 29.759
1.8797 -8.688 29.759
1.6687 -8.270 30.158
1.5008 -8.387 30.509
1.3601 -8.602 30.966
1.2273 -9.114 31.494
1.0867 -9.871 32.056
0.8953 -10.60 32.642
0.7195 -11.34 33.259
0.5945 -12.23 34.076
0.5437 -12.71 34.529
0.5437 -12.71 34.529
0.8797 -12.43 35.799
0.8797 -12.43 35.799
1.0203 -11.12 36.849
0.9890 -10.50 37.275
0.9226 -10.11 37.427
0.8718 -9.571 37.592
0.8484 -9.086 37.736
0.9070 -8.660 37.814
1.0203 -8.340 37.822
1.1219 -8.137 37.822
1.2117 -8.067 37.799
1.2703 -8.047 37.779
1.3055 -8.039 37.767
1.3367 -8.039 37.756
1.3445 -8.047 37.748
1.2937 -8.110 37.760
1.2000 -8.207 37.791
1.1140 -8.301 37.818
1.0437 -8.363 37.861
1.0086 -8.391 37.916
0.9968 -8.406 37.970
0.9890 -8.406 38.021
0.9890 -8.375 38.060
1.0164 -8.332 38.080
1.0672 -8.285 38.095
1.1140 -8.227 38.053
1.1570 -8.153 37.916
1.1961 -8.074 37.732
1.2117 -7.992 37.486
1.2078 -7.914 37.193
1.1961 -7.832 36.857
1.1726 -7.754 36.482
1.1414 -7.664 36.119
1.1101 -7.551 35.799
1.0633 -7.414 35.541
1.0047 -7.266 35.318
0.9226 -7.102 35.236
0.8250 -6.914 35.267
0.7156 -6.676 35.341
0.6101 -6.418 35.509
0.5242 -6.145 35.806
0.4656 -5.844 36.158
0.4461 -5.543 36.549
0.4539 -5.258 36.970
0.4617 -5.027 37.287
0.4851 -4.883 37.420
0.5203 -4.848 37.443
0.5476 -4.832 37.404
0.5632 -4.813 37.334
0.5593 -4.817 37.287
0.5515 -4.844 37.240
0.5476 -4.871 37.205
0.5437 -4.895 37.181
0.5398 -4.918 37.158
0.5359 -4.922 37.146
0.5359 -4.887 37.150
0.5398 -4.817 37.158
0.5437 -4.738 37.131
0.5437 -4.664 37.010
0.5476 -4.629 36.779
0.5476 -4.629 36.470
0.5476 -4.652 36.162
0.5515 -4.703 35.842
0.5671 -4.785 35.549
0.5984 -4.883 35.267
0.6531 -4.984 34.998
0.7234 -5.086 34.759
0.7976 -5.176 34.552
0.8718 -5.262 34.373
0.9383 -5.340 34.197
1.0164 -5.418 34.033
1.1258 -5.500 33.873
1.2234 -5.590 33.728
1.2820 -5.688 33.595
1.3015 -5.793 33.517
1.2781 -5.902 33.490
1.2234 -6.004 33.482
1.1609 -6.106 33.490
1.0906 -6.199 33.517
1.0203 -6.289 33.564
0.9383 -6.348 33.642
0.8367 -6.375 33.748
0.7156 -6.371 33.881
0.5750 -6.328 34.033
0.4148 -6.235 34.201
0.2468 -6.106 34.365
0.0671 -5.930 34.529
-0.108 -5.727 34.685
-0.311 -5.457 34.845
-0.542 -5.121 35.009
-0.784 -4.715 35.170
-1.018 -4.254 35.338
-1.225 -3.770 35.498
-1.370 -3.297 35.650
-1.483 -2.848 35.795
-1.589 -2.395 35.935
-1.686 -2.043 36.049
-1.800 -1.844 36.142
-1.901 -1.805 36.201
-1.971 -1.816 36.244
-2.022 -1.824 36.275
-2.061 -1.754 36.306
-2.077 -1.625 36.345
-2.085 -1.496 36.365
-2.089 -1.352 36.322
-2.057 -1.203 36.213
-2.011 -1.059 36.064
-1.991 -0.906 35.920
-1.983 -0.773 35.783
-2.014 -0.668 35.674
-2.069 -0.594 35.591
-2.112 -0.551 35.521
-2.163 -0.520 35.502
-2.218 -0.500 35.564
-2.288 -0.473 35.677
-2.417 -0.402 35.814
-2.499 -0.355 35.900
-2.315 -0.621 35.826
-1.776 -1.398 35.588
-0.975 -2.547 35.228
-0.135 -3.762 34.845
