145 frames
21 bones
-1.288 -0.012 45.498
-1.089 -0.273 45.967
-0.772 -0.742 46.713
-0.565 -1.090 47.193
-0.456 -1.438 47.389
-0.456 -1.820 47.275
-0.510 -2.219 46.869
-0.589 -2.613 46.279
-0.729 -2.992 45.303
-0.956 -3.352 43.834
-1.218 -3.684 42.131
-1.483 -4.000 40.424
-1.710 -4.285 38.967
-1.866 -4.539 38.041
-1.948 -4.750 37.510
-1.991 -4.922 37.158
-2.014 -5.043 37.076
-1.995 -5.117 37.119
-1.913 -5.160 37.420
-1.807 -5.199 37.912
-1.639 -5.215 38.830
-1.401 -5.168 40.306
-1.116 -5.012 42.103
-0.796 -4.817 44.025
-0.557 -4.512 45.709
-0.417 -3.953 46.904
-0.354 -3.606 47.334
-0.354 -3.606 47.334
-0.268 -2.527 47.940
-0.260 -1.895 47.924
-0.327 -1.441 47.615
-0.432 -0.918 47.100
-0.620 -0.441 46.131
-0.917 -0.016 44.568
-1.264 0.3550 42.713
-1.616 0.6987 40.842
-1.917 0.9956 39.244
-2.112 1.2769 38.248
-2.225 1.5074 37.685
-2.300 1.7222 37.314
-2.315 1.8160 37.236
-2.311 1.8042 37.342
-2.280 1.7417 37.752
-2.221 1.6128 38.369
-2.112 1.3902 39.326
-1.944 1.0972 40.627
-1.737 0.7495 42.178
-1.522 0.3745 43.959
-1.288 -0.012 45.498
-0.960 -0.488 46.439
-0.772 -0.742 46.713
-0.772 -0.742 46.713
-0.456 -1.438 47.389
-0.464 -1.863 47.275
-0.510 -2.219 46.869
-0.589 -2.613 46.279
-0.729 -2.992 45.303
-0.956 -3.352 43.834
-1.218 -3.684 42.131
-1.483 -4.000 40.424
-1.710 -4.285 38.967
-1.866 -4.539 38.041
-1.948 -4.750 37.510
-1.991 -4.922 37.158
-2.014 -5.043 37.076
-1.995 -5.117 37.119
-1.913 -5.160 37.420
-1.807 -5.199 37.912
-1.639 -5.215 38.830
-1.401 -5.168 40.306
-1.116 -5.012 42.103
-0.796 -4.817 44.025
-0.557 -4.512 45.709
-0.417 -3.953 46.904
-0.354 -3.606 47.334
-0.354 -3.606 47.334
-0.268 -2.527 47.940
-0.260 -1.895 47.924
-0.327 -1.441 47.615
-0.432 -0.918 47.100
-0.620 -0.441 46.131
-0.917 -0.016 44.568
-1.264 0.3550 42.713
-1.616 0.6987 40.842
-1.917 0.9956 39.244
-2.112 1.2769 38.248
-2.225 1.5074 37.685
-2.300 1.7222 37.314
-2.315 1.8160 37.236
-2.311 1.8042 37.342
-2.280 1.7417 37.752
-2.221 1.6128 38.369
-2.112 1.3902 39.326
-1.944 1.0972 40.627
-1.737 0.7495 42.178
-1.522 0.3745 43.959
-1.288 -0.012 45.498
-1.018 -0.383 46.299
-0.772 -0.742 46.713
-0.565 -1.090 47.193
-0.456 -1.438 47.389
-0.456 -1.820 47.275
-0.510 -2.219 46.869
-0.589 -2.613 46.279
-0.729 -2.992 45.303
-0.956 -3.352 43.834
-1.218 -3.684 42.131
-1.483 -4.000 40.424
-1.710 -4.285 38.967
-1.866 -4.539 38.041
-1.948 -4.750 37.510
-1.991 -4.922 37.158
-2.014 -5.043 37.076
-1.995 -5.117 37.119
-1.913 -5.160 37.420
-1.807 -5.199 37.912
-1.639 -5.215 38.830
-1.401 -5.168 40.306
-1.116 -5.012 42.103
-0.796 -4.817 44.025
-0.557 -4.512 45.709
-0.417 -3.953 46.904
-0.354 -3.606 47.334
-0.354 -3.606 47.334
-0.268 -2.527 47.940
-0.260 -1.895 47.924
-0.327 -1.441 47.615
-0.432 -0.918 47.100
-0.620 -0.441 46.131
-0.917 -0.016 44.568
-1.264 0.3550 42.713
-1.616 0.6987 40.842
-1.917 0.9956 39.244
-2.112 1.2769 38.248
-2.225 1.5074 37.685
-2.300 1.7222 37.314
-2.315 1.8160 37.236
-2.311 1.8042 37.342
-2.280 1.7417 37.752
-2.221 1.6128 38.369
-2.112 1.3902 39.326
-1.944 1.0972 40.627
-1.737 0.7495 42.178
-1.452 0.2651 44.291
-1.288 -0.012 45.498
4.9321 2.9589 97.103
1.3575 0.9625 98.609
-2.715 3.3647 100.03
-4.423 9.8092 100.48
-9.937 4.0448 101.92
-13.54 2.9589 101.52
-16.59 4.3300 99.754
-19.58 5.0046 97.747
-21.93 5.7670 95.483
-23.47 6.7927 93.388
-24.36 7.7744 91.391
-24.96 8.8055 89.492
-25.28 9.6666 87.583
-25.62 10.428 85.564
-25.77 10.747 84.615
-25.78 10.719 84.113
-25.79 10.505 83.197
-25.95 9.5185 83.671
-26.21 7.6372 85.788
-26.36 5.5367 88.041
-26.36 3.0960 90.753
-26.25 0.5511 93.551
-25.79 -2.037 96.432
-24.85 -4.406 99.383
-23.47 -6.540 101.80
-20.31 -7.961 103.04
-18.16 -7.999 103.18
-18.16 -7.999 103.18
-11.65 -8.081 101.65
-9.238 -8.147 100.88
-5.104 -8.147 99.416
-1.814 -8.323 98.205
1.4821 -8.569 96.770
4.7379 -8.953 95.008
7.9095 -9.480 93.055
10.869 -10.04 91.118
13.522 -10.68 89.181
15.974 -11.19 87.228
17.955 -11.53 85.559
19.561 -11.58 84.179
20.483 -11.19 83.595
20.581 -10.13 84.042
19.784 -8.498 85.510
18.587 -6.688 87.272
16.699 -4.653 89.105
14.229 -2.503 90.736
11.318 -0.375 93.000
8.1472 1.6151 94.522
4.9321 2.9589 97.103
0.0703 2.8053 99.962
-2.712 3.3593 100.03
-2.712 3.3593 100.03
-9.934 4.0503 101.92
-14.10 2.5969 101.60
-16.59 4.3300 99.754
-19.58 5.0046 97.747
-21.93 5.7670 95.483
-23.47 6.7927 93.388
-24.36 7.7744 91.391
-24.96 8.8055 89.492
-25.28 9.6666 87.583
-25.62 10.428 85.564
-25.77 10.747 84.615
-25.78 10.719 84.113
-25.79 10.505 83.197
-25.95 9.5185 83.671
-26.21 7.6372 85.788
-26.36 5.5367 88.041
-26.36 3.0960 90.753
-26.25 0.5511 93.551
-25.79 -2.037 96.432
-24.85 -4.406 99.383
-23.47 -6.540 101.80
-20.31 -7.961 103.04
-18.16 -7.999 103.18
-18.16 -7.999 103.18
-11.65 -8.081 101.65
-9.238 -8.147 100.88
-5.104 -8.147 99.416
-1.814 -8.323 98.205
1.4821 -8.569 96.770
4.7379 -8.953 95.008
7.9095 -9.480 93.055
10.869 -10.04 91.118
13.522 -10.68 89.181
15.974 -11.19 87.228
17.955 -11.53 85.559
19.561 -11.58 84.179
20.483 -11.19 83.595
20.581 -10.13 84.042
19.784 -8.498 85.510
18.587 -6.688 87.272
16.699 -4.653 89.105
14.229 -2.503 90.736
11.318 -0.375 93.000
8.1472 1.6151 94.522
4.9321 2.9589 97.103
0.7196 1.5822 99.951
-2.715 3.3647 100.03
-4.423 9.8092 100.48
-9.937 4.0448 101.92
-13.54 2.9589 101.52
-16.59 4.3300 99.754
-19.58 5.0046 97.747
-21.93 5.7670 95.483
-23.47 6.7927 93.388
-24.36 7.7744 91.391
-24.96 8.8055 89.492
-25.28 9.6666 87.583
-25.62 10.428 85.564
-25.77 10.747 84.615
-25.78 10.719 84.113
-25.79 10.505 83.197
-25.95 9.5185 83.671
-26.21 7.6372 85.788
-26.36 5.5367 88.041
-26.36 3.0960 90.753
-26.25 0.5511 93.551
-25.79 -2.037 96.432
-24.85 -4.406 99.383
-23.47 -6.540 101.80
-20.31 -7.961 103.04
-18.16 -7.999 103.18
-18.16 -7.999 103.18
-11.65 -8.081 101.65
-9.238 -8.147 100.88
-5.104 -8.147 99.416
-1.814 -8.323 98.205
1.4821 -8.569 96.770
4.7379 -8.953 95.008
7.9095 -9.480 93.055
10.869 -10.04 91.118
13.522 -10.68 89.181
15.974 -11.19 87.228
17.955 -11.53 85.559
19.561 -11.58 84.179
20.483 -11.19 83.595
20.581 -10.13 84.042
19.784 -8.498 85.510
18.587 -6.688 87.272
16.699 -4.653 89.105
14.229 -2.503 90.736
11.318 -0.375 93.000
7.2369 1.7906 95.903
4.9321 2.9589 97.103
-34.83 -143.1 -23.52
-36.65 -141.8 -24.71
-39.26 -137.8 -28.76
-40.22 -131.1 -35.76
-36.99 -121.2 -44.65
-27.40 -110.4 -52.11
-16.90 -101.8 -57.08
-14.60 -102.4 -58.35
-12.93 -103.1 -58.60
-10.23 -102.1 -58.30
-8.725 -101.3 -57.96
-10.65 -103.1 -57.64
-13.60 -106.2 -57.13
-14.76 -108.1 -56.93
-15.09 -109.4 -56.98
-15.31 -109.9 -57.22
-15.35 -110.0 -57.73
-15.46 -109.4 -58.60
-16.18 -108.4 -59.84
-17.91 -107.6 -61.15
-20.19 -106.9 -62.65
-21.58 -106.2 -64.80
-23.91 -105.5 -66.24
-29.97 -106.3 -66.42
-38.04 -109.0 -65.97
-46.83 -113.2 -61.50
-51.50 -116.1 -57.23
-51.50 -116.1 -57.23
-50.77 -121.7 -48.67
-48.97 -126.9 -40.20
-47.63 -133.1 -31.84
-46.84 -142.4 -22.13
-47.82 -153.3 -13.23
-50.65 -170.6 -4.326
-51.98 -181.7 -3.337
-54.06 -180.5 -12.72
-55.39 -176.2 -23.47
-53.49 -170.0 -31.39
-50.13 -163.8 -36.70
-47.13 -158.1 -41.31
