461 frames
21 bones
6.6181 -0.230 34.627
6.5673 -0.551 35.006
6.4580 -1.281 35.865
6.3720 -1.836 36.521
6.2978 -2.336 37.131
6.2197 -2.742 37.549
6.1415 -3.078 37.779
6.0712 -3.297 37.857
6.0165 -3.387 37.838
5.9423 -3.434 37.576
5.8720 -3.453 37.275
5.8095 -3.359 37.029
5.7548 -3.117 36.795
5.7196 -2.895 36.631
5.6923 -2.664 36.521
5.6884 -2.422 36.482
5.7001 -2.176 36.470
5.7314 -1.922 36.455
5.7704 -1.648 36.439
5.8407 -1.305 36.435
5.8720 -1.156 36.435
5.8720 -1.156 36.435
5.9736 -0.512 35.896
5.9775 -0.461 35.845
6.0087 -0.152 35.463
6.0322 0.0190 35.041
6.0400 0 34.724
6.0361 -0.031 34.431
6.0283 -0.137 34.197
6.0087 -0.547 34.009
5.9970 -0.777 33.947
5.9970 -0.777 33.947
5.8642 -1.840 34.627
5.8486 -1.902 34.677
5.7196 -2.359 35.091
5.5517 -2.887 35.572
5.3915 -3.309 35.963
5.2196 -3.699 36.345
5.0868 -4.016 36.705
4.9774 -4.297 37.049
4.9188 -4.387 37.349
4.9110 -4.340 37.607
4.9384 -4.219 37.834
4.9853 -4.055 38.041
5.0321 -3.844 38.240
5.0751 -3.586 38.412
5.1259 -3.301 38.560
5.1845 -2.977 38.674
5.2353 -2.590 38.760
5.2860 -2.063 38.822
5.3095 -1.828 38.842
5.3095 -1.828 38.842
5.3720 -0.672 38.771
5.3759 -0.605 38.760
5.3954 -0.098 38.693
5.4150 0.4604 38.588
5.4267 0.8589 38.482
5.4306 1.2144 38.357
5.4150 1.5191 38.240
5.3993 1.7730 38.115
5.3837 1.9878 38.017
5.3642 2.1910 37.947
5.3212 2.3589 37.916
5.2860 2.5074 37.916
5.2470 2.6324 37.928
5.2079 2.7379 37.974
5.1649 2.8433 38.060
5.1259 2.9371 38.193
5.0790 3.0308 38.349
5.0165 3.1441 38.576
4.9892 3.1871 38.678
4.9892 3.1871 38.678
4.8446 3.2965 39.013
4.8329 3.2965 39.029
4.7509 3.2887 39.127
4.7001 3.2379 39.189
4.6962 3.1246 39.174
4.6845 2.9215 39.084
4.6806 2.6832 38.920
4.7040 2.3980 38.678
4.7431 2.0777 38.381
4.7782 1.7456 38.049
4.8173 1.3863 37.681
4.8563 1.0308 37.330
4.8954 0.6597 36.982
4.9306 0.3198 36.650
4.9540 0.0190 36.326
4.9735 -0.242 36.013
4.9892 -0.480 35.709
4.9970 -0.687 35.396
5.0009 -0.859 35.134
5.0009 -1.008 34.920
4.9931 -1.121 34.756
4.9892 -1.227 34.627
4.9774 -1.320 34.529
4.9657 -1.398 34.466
4.9540 -1.477 34.423
4.9384 -1.543 34.412
4.9267 -1.609 34.420
4.9149 -1.668 34.482
4.9071 -1.723 34.588
4.8993 -1.770 34.705
4.8954 -1.809 34.861
4.8915 -1.848 35.049
4.8837 -1.875 35.259
4.8837 -1.902 35.552
4.8876 -1.930 35.877
4.8993 -1.957 36.314
4.9110 -1.980 36.947
4.9227 -1.996 37.756
4.9423 -2.000 38.732
4.9579 -1.992 39.881
4.9774 -1.969 41.127
4.9970 -1.934 42.139
5.0126 -1.898 42.982
5.0321 -1.867 43.646
5.0478 -1.828 44.166
5.0673 -1.777 44.514
5.0868 -1.723 44.799
5.1142 -1.664 45.025
5.1259 -1.602 45.096
5.1337 -1.543 45.084
5.1649 -1.477 45.045
5.2040 -1.406 44.951
5.2314 -1.336 44.705
5.2587 -1.266 44.318
5.2899 -1.187 43.900
5.3212 -1.102 43.322
5.3524 -1.004 42.486
5.3798 -0.902 41.392
5.4071 -0.773 40.142
5.4384 -0.633 38.529
5.4579 -0.449 37.013
5.4306 -0.164 36.568
5.4150 0.1792 36.420
5.4189 0.5737 36.381
5.4071 1.0308 36.662
5.3720 1.5503 37.392
5.3524 2.0503 38.092
5.3368 2.5504 38.892
5.3407 3.0347 39.560
5.3720 3.5074 40.064
5.4150 3.9566 40.346
5.4423 4.3746 40.353
5.5400 4.7653 40.287
5.6689 5.1442 40.139
5.7978 5.5270 39.869
5.9306 5.8981 39.482
6.0478 6.2692 39.107
6.1650 6.6364 38.662
6.2158 6.9802 38.463
6.2001 7.3044 38.494
6.1376 7.5935 38.627
6.0556 7.8396 38.795
5.9423 8.0505 39.033
5.8290 8.2224 39.271
5.7314 8.3982 39.482
5.6493 8.5271 39.678
5.5986 8.5701 39.838
5.5751 8.5935 39.982
5.5712 8.5974 40.033
5.5712 8.5974 40.033
5.7509 7.8161 39.764
5.7626 7.7536 39.717
5.8486 7.2771 39.338
5.9540 6.7302 38.818
6.0478 6.3122 38.279
6.1533 5.8981 37.685
6.2744 5.4684 37.185
6.4111 5.0309 36.693
6.5634 4.5504 36.502
6.7080 4.0152 36.560
6.8291 3.4371 36.756
6.9423 2.8785 37.010
7.0439 2.3160 37.369
7.1377 1.7886 37.701
7.2314 1.3003 37.986
7.3134 0.8433 38.205
7.3877 0.3784 38.279
7.4697 -0.098 38.310
7.5517 -0.488 38.318
7.6260 -0.812 38.267
7.6806 -1.012 38.146
7.6963 -1.035 38.033
7.6885 -1.020 37.908
7.6728 -0.945 37.810
7.6260 -0.812 37.763
7.5244 -0.621 37.760
7.4111 -0.406 37.775
7.2822 -0.172 37.845
7.1455 0.1050 37.974
7.0009 0.4214 38.150
6.8564 0.7769 38.377
6.7314 1.1402 38.627
6.6142 1.5308 38.931
6.5165 1.8746 39.138
6.4267 2.1558 39.236
6.3759 2.3824 39.260
6.3681 2.5777 39.221
6.3290 2.7418 38.982
6.2939 2.7965 38.736
6.3212 2.6988 38.541
6.4228 2.4410 38.388
6.5595 2.1519 38.377
6.7392 1.8003 38.490
6.9267 1.4214 38.599
7.1103 1.0308 38.666
7.2900 0.6401 38.701
7.4502 0.2925 38.685
7.5830 -0.031 38.576
7.6924 -0.289 38.357
7.7822 -0.508 38.053
7.8525 -0.645 37.654
7.8994 -0.680 37.201
7.9228 -0.672 36.588
7.9307 -0.539 36.306
7.9150 -0.285 36.338
7.8486 0.1206 36.568
7.7627 0.6245 37.052
7.6494 1.2613 37.861
7.5205 1.9136 38.576
7.3994 2.5269 39.076
7.2705 3.1246 39.388
7.1259 3.6949 39.486
6.9931 4.2574 39.521
6.8916 4.7731 39.521
6.7861 5.2340 39.338
6.6533 5.6286 38.877
6.5361 5.9880 38.424
6.4189 6.3044 37.885
6.3134 6.5739 37.435
6.2119 6.8239 37.092
6.1220 7.0349 36.892
6.0556 7.2302 36.877
5.9814 7.4138 36.927
5.9228 7.4919 37.092
5.8798 7.4997 37.299
5.8642 7.4997 37.670
5.8681 7.4724 38.338
5.8954 7.2888 39.334
5.9423 6.9685 40.369
5.9970 6.5778 41.385
6.0712 6.0700 42.318
6.1650 5.5075 42.908
6.2470 4.8668 43.197
6.3095 4.2457 43.256
6.3798 3.6676 43.256
6.4619 3.1402 43.162
6.5361 2.6793 42.963
6.6103 2.2808 42.670
6.6728 1.9527 42.182
6.7314 1.6753 41.514
6.7783 1.4683 40.658
6.8212 1.3003 39.709
6.8603 1.1831 38.588
6.8837 1.1206 37.619
6.8994 1.1402 36.814
6.8994 1.2925 36.267
6.8798 1.5269 36.103
6.8447 1.9058 36.037
6.8291 2.0855 36.025
6.8291 2.0855 36.025
6.7548 3.1754 36.623
6.7548 3.1754 36.623
6.6884 4.2496 37.080
6.6884 4.2496 37.080
6.6884 4.2496 37.080
6.6220 5.2106 37.181
6.6220 5.2731 37.177
6.6064 5.7028 37.123
6.5908 6.1559 37.041
6.5712 6.5036 36.908
6.5556 6.7536 36.775
6.5517 6.7536 36.760
6.5634 6.4997 36.775
6.5673 6.1286 36.810
6.5869 5.6090 36.990
6.6181 5.1051 37.244
6.6220 5.0387 37.283
6.6220 5.0387 37.283
6.7001 3.9723 37.650
6.7001 3.9723 37.650
6.7236 3.3433 37.592
6.7548 2.7027 37.478
6.7900 2.2925 37.345
6.8173 1.9449 37.193
6.8564 1.5386 37.013
6.8837 1.2261 36.830
6.8681 1.1948 36.701
6.8486 1.3511 36.599
6.8408 1.6636 36.560
6.8173 2.1050 36.670
6.7666 2.6754 36.931
6.7275 3.2652 37.115
6.6962 4.0113 37.279
6.6806 4.3356 37.342
6.6806 4.3356 37.342
6.6025 5.4684 37.357
6.5869 5.5270 37.345
6.4892 5.9450 37.252
6.4189 6.3473 37.119
6.3955 6.5739 36.955
6.3759 6.6911 36.802
6.3837 6.6520 36.752
6.4150 6.2341 36.748
6.4540 5.6794 36.763
6.5205 4.9918 36.861
6.5869 4.3551 37.006
6.5986 4.2692 37.025
6.7587 2.9879 37.103
6.7587 2.9879 37.103
6.7744 2.7222 37.080
6.8134 2.1324 37.021
6.8369 1.7027 36.955
6.8525 1.2925 36.869
6.8525 1.1323 36.795
6.8212 1.1909 36.748
6.7470 1.4644 36.732
6.6416 1.9527 36.760
6.5205 2.7027 36.947
6.4072 3.4684 37.127
6.2939 4.1168 37.224
6.1962 4.7301 37.271
6.1376 5.3551 37.252
6.1025 5.9919 37.138
6.0634 6.5739 36.888
6.0751 7.1052 36.517
6.1650 7.5661 36.002
6.2548 7.9294 35.427
6.3720 8.1951 34.744
6.4619 8.3748 34.134
6.5048 8.4958 33.642
6.5087 8.5427 33.263
6.4970 8.5857 32.990
6.4853 8.6052 32.810
6.4775 8.6091 32.767
6.4501 8.6130 32.959
6.3955 8.6169 33.685
6.3525 8.6130 34.806
6.3134 8.6091 36.427
6.2939 8.5818 38.131
6.3017 8.5271 39.760
6.3290 8.4451 41.322
6.3603 8.3513 42.572
6.3955 8.2341 43.557
6.4697 8.1091 44.299
6.5595 7.9763 44.920
6.6259 7.8357 45.326
6.6806 7.6872 45.584
6.7666 7.5310 45.697
6.8837 7.3708 45.697
6.9931 7.1989 45.533
7.0791 7.0153 45.006
7.1572 6.8239 44.268
7.2197 6.6286 43.275
7.2666 6.4372 42.115
7.2939 6.2575 40.795
7.3017 6.0934 39.408
7.3095 5.9372 38.263
7.3134 5.7848 37.174
7.3134 5.6520 36.767
7.3174 5.5270 36.799
7.3486 5.3903 36.959
7.3994 5.2575 37.267
7.4345 5.1325 37.748
7.4736 5.0114 38.287
7.5205 4.8903 38.846
7.5752 4.7692 39.412
7.6572 4.6481 39.877
7.7431 4.5309 40.314
7.7744 4.4059 40.482
7.8330 4.2770 40.471
7.9775 4.1481 40.400
8.1221 4.0113 40.271
8.2744 3.8668 40.006
8.4424 3.7066 39.689
8.6143 3.5348 39.291
8.8018 3.3473 38.920
8.9776 3.1246 38.857
9.1221 2.8668 38.943
9.2744 2.5777 39.092
9.4580 2.2574 39.338
9.6651 1.9136 39.580
9.9073 1.5933 39.576
10.188 1.2730 39.400
10.481 0.9956 38.978
10.774 0.7573 38.303
11.063 0.5620 37.427
11.309 0.4136 36.627
11.532 0.3120 35.732
11.696 0.2534 35.349
11.825 0.2104 35.466
11.946 0.1948 35.920
12.071 0.1987 36.627
12.200 0.2339 37.814
12.251 0.2534 38.381
12.251 0.2534 38.381
12.528 0.3823 40.373
12.548 0.3940 40.435
12.696 0.4644 40.822
12.868 0.5386 41.037
13.016 0.5933 40.982
13.196 0.6401 40.826
13.376 0.6753 40.572
13.559 0.6948 40.193
13.755 0.7026 39.806
13.946 0.6987 39.385
14.153 0.6831 39.025
14.395 0.6714 38.935
14.630 0.6245 38.896
14.852 0.5581 38.869
15.087 0.4839 38.963
15.341 0.4019 39.181
15.598 0.3120 39.287
15.860 0.2222 39.318
16.137 0.1284 39.287
16.430 0.0347 39.181
16.723 -0.062 38.920
17.016 -0.144 38.510
17.325 -0.223 37.900
17.575 -0.269 37.306
17.782 -0.297 36.748
17.899 -0.312 36.295
17.891 -0.301 36.134
17.860 -0.277 36.080
17.786 -0.246 36.084
17.684 -0.203 36.150
17.497 -0.148 36.549
17.192 -0.098 37.369
16.774 -0.035 38.654
16.266 0.0190 40.111
15.680 0.0659 41.685
15.036 0.1050 43.271
14.438 0.1323 44.381
13.868 0.1479 45.072
13.344 0.1636 45.529
12.860 0.1753 45.928
12.423 0.1870 46.139
12.008 0.1987 46.229
11.630 0.2065 46.240
11.278 0.2065 46.080
10.922 0.2065 45.740
10.571 0.2183 45.119
10.223 0.2300 44.295
9.8682 0.2456 43.244
9.5752 0.2886 42.006
9.3057 0.3706 40.627
9.0166 0.4878 39.138
8.7510 0.6362 37.771
8.4971 0.8276 36.431
8.2783 1.0034 35.310
8.0713 1.1909 34.388
7.8564 1.3316 33.736
7.6650 1.3355 33.345
7.4853 1.3081 33.177
7.3174 1.2378 33.193
7.1259 0.9683 33.420
6.9736 0.6167 33.767
6.9541 0.5659 33.818
6.9541 0.5659 33.818
6.6181 -0.230 34.627
-3.034 -11.38 93.988
-1.764 -10.86 93.808
1.0270 -9.469 93.420
3.2448 -8.207 93.093
5.2771 -6.688 92.788
6.9267 -5.487 92.466
8.4661 -4.500 92.117
9.8896 -3.496 91.740
11.017 -2.695 91.358
12.179 -2.235 90.834
12.655 -2.147 90.594
12.385 -2.174 90.545
11.574 -2.821 90.043
10.301 -4.385 89.105
7.5384 -6.617 88.707
4.3870 -7.697 88.625
1.7286 -9.217 88.358
-1.622 -12.04 88.216
-5.145 -14.07 88.292
-8.815 -16.61 88.532
-10.23 -17.79 88.685
-10.23 -17.79 88.685
-14.46 -19.02 89.989
-14.58 -19.00 90.082
-15.44 -18.78 90.840
-16.15 -18.44 91.833
-16.02 -17.75 92.678
-14.87 -16.30 93.442
-13.04 -14.42 94.157
-9.998 -11.49 94.828
-8.543 -10.11 95.106
-8.543 -10.11 95.106
-0.935 -4.670 94.604
-0.077 -4.867 94.495
4.9727 -3.480 93.851
6.7556 -0.178 93.371
8.6691 1.3245 93.093
12.185 2.6956 92.537
14.449 3.7541 91.031
16.276 4.5823 90.289
16.946 4.8182 90.234
16.464 4.6262 90.114
15.070 3.8364 89.334
13.249 2.8053 88.101
10.510 1.8236 87.828
8.3705 0.2878 87.217
6.2570 -1.944 86.399
3.0825 -3.129 86.361
0.9487 -3.183 86.290
-1.959 -5.065 86.246
-3.463 -6.238 86.301
-3.463 -6.238 86.301
-8.163 -9.738 86.939
-8.406 -9.940 86.994
-10.21 -11.45 87.419
-12.20 -13.08 88.014
-13.59 -14.25 88.549
-14.77 -15.27 89.121
-15.73 -16.11 89.722
-16.48 -16.79 90.360
-16.93 -17.23 90.895
