61 frames
21 bones
3.4145 3.3192 26.385
3.4145 3.3192 26.385
3.4145 3.3192 26.381
3.4145 3.3192 26.373
3.4145 3.3192 26.365
3.4145 3.3192 26.354
3.4145 3.3192 26.342
3.4145 3.3192 26.326
3.4145 3.3192 26.314
3.4145 3.3192 26.295
3.4145 3.3192 26.279
3.4145 3.3192 26.260
3.4145 3.3192 26.240
3.4145 3.3192 26.221
3.4145 3.3192 26.201
3.4145 3.3192 26.182
3.4145 3.3192 26.158
3.4145 3.3192 26.139
3.4145 3.3192 26.119
3.4145 3.3192 26.100
3.4145 3.3192 26.080
3.4145 3.3192 26.064
3.4145 3.3192 26.049
3.4145 3.3192 26.033
3.4145 3.3192 26.018
3.4145 3.3192 26.006
3.4145 3.3192 25.994
3.4145 3.3192 25.986
3.4145 3.3192 25.982
3.4145 3.3192 25.978
3.4145 3.3192 25.975
3.4145 3.3192 25.978
3.4145 3.3192 25.982
3.4145 3.3192 25.986
3.4145 3.3192 25.994
3.4145 3.3192 26.006
3.4145 3.3192 26.018
3.4145 3.3192 26.033
3.4145 3.3192 26.049
3.4145 3.3192 26.064
3.4145 3.3192 26.080
3.4145 3.3192 26.100
3.4145 3.3192 26.119
3.4145 3.3192 26.139
3.4145 3.3192 26.158
3.4145 3.3192 26.182
3.4145 3.3192 26.201
3.4145 3.3192 26.221
3.4145 3.3192 26.240
3.4145 3.3192 26.260
3.4145 3.3192 26.279
3.4145 3.3192 26.295
3.4145 3.3192 26.314
3.4145 3.3192 26.326
3.4145 3.3192 26.342
3.4145 3.3192 26.354
3.4145 3.3192 26.365
3.4145 3.3192 26.373
3.4145 3.3192 26.381
3.4145 3.3192 26.385
3.4145 3.3192 26.385
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
0 0 99.998
-44.39 -138.9 -32.88
-44.39 -138.9 -32.88
-44.39 -138.9 -32.88
-44.40 -138.9 -32.87
-44.40 -139.0 -32.86
-44.41 -139.0 -32.85
-44.41 -139.0 -32.83
-44.42 -139.0 -32.81
-44.43 -139.1 -32.80
-44.44 -139.1 -32.77
-44.45 -139.1 -32.75
-44.46 -139.2 -32.73
-44.47 -139.2 -32.71
-44.48 -139.3 -32.68
-44.49 -139.3 -32.66
-44.50 -139.3 -32.63
-44.51 -139.4 -32.61
-44.53 -139.4 -32.59
-44.53 -139.5 -32.56
-44.55 -139.5 -32.54
-44.56 -139.5 -32.52
-44.57 -139.6 -32.50
-44.57 -139.6 -32.47
-44.58 -139.6 -32.46
-44.59 -139.7 -32.44
-44.60 -139.7 -32.42
-44.60 -139.7 -32.41
-44.61 -139.7 -32.40
-44.61 -139.7 -32.39
-44.61 -139.8 -32.39
-44.61 -139.8 -32.39
-44.61 -139.8 -32.39
-44.61 -139.7 -32.39
-44.61 -139.7 -32.40
-44.60 -139.7 -32.41
-44.60 -139.7 -32.42
-44.59 -139.7 -32.44
-44.58 -139.6 -32.46
-44.57 -139.6 -32.47
-44.57 -139.6 -32.50
-44.56 -139.5 -32.52
-44.55 -139.5 -32.54
-44.53 -139.5 -32.56
-44.53 -139.4 -32.59
-44.51 -139.4 -32.61
-44.50 -139.3 -32.63
-44.49 -139.3 -32.66
-44.48 -139.3 -32.68
-44.47 -139.2 -32.71
-44.46 -139.2 -32.73
-44.45 -139.1 -32.75
-44.44 -139.1 -32.77
-44.43 -139.1 -32.80
-44.42 -139.0 -32.81
-44.41 -139.0 -32.83
-44.41 -139.0 -32.85
-44.40 -139.0 -32.86
-44.40 -138.9 -32.87
-44.39 -138.9 -32.88
-44.39 -138.9 -32.88
-44.39 -138.9 -32.88
0 116.12 0
0 116.13 0
0 116.14 0
0 116.16 0
0 116.19 0
0 116.23 0
0 116.28 0
0 116.33 0
0 116.38 0
0 116.45 0
0 116.51 0
0 116.58 0
0 116.65 0
0 116.72 0
0 116.79 0
0 116.87 0
0 116.94 0
0 117.02 0
0 117.09 0
0 117.16 0
0 117.22 0
0 117.29 0
0 117.35 0
0 117.41 0
0 117.46 0
0 117.50 0
0 117.54 0
0 117.57 0
0 117.59 0
0 117.60 0
0 117.61 0
0 117.60 0
0 117.59 0
0 117.57 0
0 117.54 0
0 117.50 0
0 117.46 0
0 117.41 0
0 117.35 0
0 117.29 0
0 117.22 0
0 117.16 0
0 117.09 0
0 117.02 0
0 116.94 0
0 116.87 0
0 116.79 0
0 116.72 0
0 116.65 0
0 116.58 0
0 116.51 0
0 116.45 0
0 116.38 0
0 116.33 0
0 116.28 0
0 116.23 0
0 116.19 0
0 116.16 0
0 116.14 0
0 116.13 0
0 116.12 0
-6.784 -90.05 3.3827
-6.784 -90.06 3.3827
-6.786 -90.06 3.3827
-6.788 -90.07 3.3827
-6.792 -90.09 3.3847
-6.796 -90.12 3.3847
-6.800 -90.14 3.3847
-6.806 -90.17 3.3868
-6.812 -90.20 3.3868
-6.819 -90.24 3.3868
-6.825 -90.27 3.3888
-6.834 -90.31 3.3908
-6.841 -90.36 3.3908
-6.849 -90.40 3.3928
-6.857 -90.44 3.3928
-6.866 -90.48 3.3948
-6.874 -90.53 3.3948
-6.882 -90.57 3.3969
-6.889 -90.61 3.3989
-6.898 -90.65 3.3989
-6.905 -90.69 3.4009
-6.913 -90.73 3.4009
-6.919 -90.76 3.4030
-6.926 -90.80 3.4030
-6.931 -90.82 3.4050
-6.937 -90.85 3.4050
-6.940 -90.87 3.4050
-6.944 -90.89 3.4070
-6.946 -90.90 3.4070
-6.949 -90.91 3.4070
-6.949 -90.91 3.4070
-6.949 -90.91 3.4070
-6.946 -90.90 3.4070
-6.944 -90.89 3.4070
-6.940 -90.87 3.4050
-6.937 -90.85 3.4050
-6.931 -90.82 3.4050
-6.926 -90.80 3.4030
