31 frames
21 bones
-0.527 0 31.293
-0.527 -2.002 31.410
-0.527 -4.002 31.219
-0.527 -6.002 30.746
-0.527 -8.002 30.172
-0.527 -10.00 29.644
-0.527 -12.00 29.261
-0.527 -14.00 29.043
-0.527 -16.00 28.976
-0.527 -18.00 29.027
-0.527 -20.00 29.191
-0.527 -22.00 29.488
-0.527 -24.00 29.926
-0.527 -26.00 30.469
-0.527 -28.00 30.969
-0.527 -30.00 31.297
-0.527 -32.00 31.394
-0.527 -34.00 31.250
-0.527 -36.00 30.797
-0.527 -38.00 30.125
-0.527 -40.00 29.531
-0.527 -42.00 29.144
-0.527 -44.00 28.949
-0.527 -46.00 28.902
-0.527 -48.00 28.953
-0.527 -50.00 29.097
-0.527 -52.00 29.363
-0.527 -54.00 29.761
-0.527 -56.00 30.308
-0.527 -58.00 30.890
-0.527 -60.00 31.293
-3.466 -31.45 104.94
-3.659 -31.59 105.07
-3.758 -31.71 105.14
-3.880 -31.81 105.23
-4.030 -31.87 105.32
-4.220 -31.90 105.44
-4.446 -31.89 105.58
-4.713 -31.85 105.75
-5.036 -31.77 105.93
-5.418 -31.68 106.16
-5.802 -31.57 106.38
-6.072 -31.43 106.52
-6.167 -31.28 106.56
-6.133 -31.12 106.51
-6.004 -30.95 106.41
-5.800 -30.78 106.27
-5.541 -30.63 106.10
-5.290 -30.50 105.93
-5.066 -30.40 105.79
-4.860 -30.33 105.66
-4.650 -30.30 105.54
-4.415 -30.31 105.40
-4.113 -30.36 105.23
-3.731 -30.43 105.01
-3.333 -30.53 104.79
-2.990 -30.66 104.59
-2.744 -30.80 104.46
-2.647 -30.95 104.41
-2.794 -31.12 104.51
-3.126 -31.29 104.72
-3.466 -31.45 104.94
-53.92 -86.89 -93.31
-52.02 -82.15 -95.24
-50.50 -76.89 -97.74
-49.25 -71.25 -100.5
-47.82 -65.54 -103.3
-45.95 -60.22 -105.7
-43.68 -55.62 -107.5
-40.98 -52.09 -108.5
-39.05 -49.73 -108.8
-39.48 -48.51 -109.1
-42.23 -48.72 -109.5
-46.19 -51.13 -109.6
-51.20 -56.36 -109.2
-57.23 -64.55 -107.7
-62.72 -75.63 -104.3
-65.99 -89.02 -98.45
-66.81 -102.1 -91.63
-66.41 -113.1 -85.68
-65.89 -121.8 -80.98
-65.09 -127.8 -77.87
-64.18 -131.2 -76.19
-63.50 -132.1 -75.64
-63.63 -130.9 -75.87
-64.39 -126.9 -77.14
-64.74 -120.8 -79.49
-64.29 -114.1 -82.28
-63.05 -107.4 -85.18
-61.01 -101.0 -87.87
-58.47 -95.46 -90.10
-55.86 -90.66 -91.92
-53.92 -86.89 -93.31
0 79.366 0
0 79.153 0
0 79.979 0
0 81.591 0
0 82.986 0
0 83.356 0
0 82.530 0
0 80.399 0
0 79.031 0
