31 frames
21 bones
-0.527 0 30.308
-2.527 0.1109 30.890
-4.527 0.2593 31.293
-6.527 0.4390 31.410
-8.527 0.6461 31.219
-10.52 0.8726 30.746
-12.52 1.1148 30.172
-14.52 1.3375 29.644
-16.52 1.5250 29.261
-18.52 1.6578 29.043
-20.52 1.7398 28.976
-22.53 1.7633 29.027
-24.52 1.7516 29.191
-26.52 1.7281 29.488
-28.52 1.6773 29.926
-30.53 1.6109 30.469
-32.52 1.5172 30.969
-34.53 1.3922 31.297
-36.53 1.2320 31.394
-38.52 1.0406 31.250
-40.52 0.8101 30.797
-42.53 0.5562 30.125
-44.53 0.3023 29.531
-46.52 0.0875 29.144
-48.52 -0.068 28.949
-50.53 -0.154 28.902
-52.52 -0.185 28.953
-54.52 -0.174 29.097
-56.52 -0.142 29.363
-58.53 -0.088 29.761
-60.52 0 30.308
0.9688 -21.65 107.44
0.7526 -21.78 107.53
0.6408 -21.89 107.57
0.5013 -21.98 107.63
0.3342 -22.04 107.70
0.1281 -22.06 107.78
-0.116 -22.04 107.88
-0.403 -21.98 107.99
-0.751 -21.90 108.13
-1.162 -21.79 108.30
-1.573 -21.66 108.45
-1.859 -21.51 108.56
-1.952 -21.35 108.59
-1.909 -21.18 108.57
-1.759 -21.03 108.51
-1.527 -20.88 108.42
-1.240 -20.74 108.30
-0.961 -20.62 108.19
-0.714 -20.53 108.10
-0.485 -20.47 108.01
-0.258 -20.45 107.93
0 -20.47 107.83
0.3178 -20.53 107.71
0.7300 -20.62 107.56
1.1559 -20.74 107.39
1.5229 -20.88 107.25
1.7842 -21.03 107.15
1.8822 -21.18 107.10
1.7151 -21.35 107.16
1.3470 -21.50 107.30
0.9688 -21.65 107.44
-55.00 -88.28 -95.00
-51.03 -91.16 -93.87
-47.91 -93.79 -92.94
-45.69 -96.27 -92.45
-44.18 -98.55 -92.54
-43.54 -101.0 -92.90
-43.18 -103.7 -93.28
-42.37 -106.6 -93.52
-40.91 -109.5 -93.49
-39.68 -112.0 -93.21
-39.77 -113.7 -92.71
-41.18 -114.2 -92.32
