31 frames
21 bones
-0.527 0 31.293
-1.941 -1.416 31.410
-3.359 -2.830 31.219
-4.769 -4.248 30.746
-6.188 -5.659 30.172
-7.602 -7.077 29.644
-9.016 -8.491 29.261
-10.43 -9.905 29.043
-11.84 -11.31 28.976
-13.25 -12.73 29.027
-14.67 -14.14 29.191
-16.08 -15.56 29.488
-17.50 -16.97 29.926
-18.91 -18.39 30.469
-20.33 -19.80 30.969
-21.74 -21.21 31.297
-23.15 -22.63 31.394
-24.57 -24.04 31.250
-25.98 -25.46 30.797
-27.40 -26.87 30.125
-28.81 -28.29 29.531
-30.22 -29.70 29.144
-31.64 -31.11 28.949
-33.05 -32.53 28.902
-34.47 -33.94 28.953
-35.88 -35.36 29.097
-37.30 -36.77 29.363
-38.71 -38.18 29.761
-40.12 -39.60 30.308
-41.54 -41.01 30.890
-42.95 -42.43 31.293
-1.101 -26.63 105.99
-1.309 -26.76 106.09
-1.416 -26.88 106.15
-1.548 -26.97 106.22
-1.708 -27.03 106.31
-1.906 -27.06 106.41
-2.143 -27.04 106.53
-2.418 -26.99 106.67
-2.756 -26.91 106.83
-3.153 -26.80 107.03
-3.552 -26.68 107.22
-3.831 -26.54 107.35
-3.922 -26.38 107.38
-3.883 -26.22 107.35
-3.741 -26.06 107.26
-3.523 -25.90 107.14
-3.249 -25.76 107.00
-2.980 -25.63 106.86
-2.745 -25.54 106.75
-2.526 -25.48 106.64
-2.308 -25.45 106.53
-2.063 -25.47 106.42
-1.747 -25.52 106.27
-1.350 -25.61 106.08
-0.937 -25.71 105.88
-0.584 -25.85 105.72
-0.330 -26.00 105.60
-0.231 -26.15 105.55
-0.389 -26.32 105.63
-0.743 -26.47 105.81
-1.101 -26.63 105.99
-59.15 -83.02 -104.2
-57.65 -80.67 -105.3
-56.59 -77.26 -107.5
-56.31 -72.73 -110.7
-56.11 -67.41 -114.4
-55.23 -62.36 -117.6
-53.66 -58.30 -119.8
-51.48 -55.62 -120.6
-49.44 -54.71 -120.2
-47.87 -55.72 -119.1
-46.23 -58.72 -117.4
-43.93 -63.78 -114.9
-41.62 -70.62 -112.0
-41.98 -76.97 -109.5
-46.37 -81.49 -108.1
-53.36 -84.89 -107.4
-61.02 -87.92 -107.0
-66.97 -91.52 -105.8
-71.18 -95.89 -103.7
-73.91 -100.5 -100.8
-75.25 -103.8 -98.41
-75.88 -104.8 -97.34
-76.28 -103.5 -97.76
-76.31 -99.86 -99.72
-75.51 -95.02 -102.2
-73.79 -91.22 -103.8
-71.20 -88.53 -104.4
-67.77 -86.79 -104.3
-64.24 -85.60 -104.0
-61.30 -84.47 -103.9
-59.15 -83.02 -104.2
0 81.794 0
0 84.516 0
0 88.127 0
0 93.558 0
0 99.413 0
0 103.75 0
0 106.42 0
0 107.35 0
0 107.06 0
0 106.43 0
0 105.60 0
0 103.32 0
0 97.688 0
0 90.452 0
0 85.410 0
0 82.300 0
0 79.731 0
0 74.730 0
0 68.902 0
0 63.372 0
0 59.377 0
0 58.551 0
0 60.519 0
0 64.866 0
0 70.374 0
0 74.563 0
0 77.397 0
0 78.765 0
0 79.352 0
0 80.124 0
0 81.794 0
-0.971 -83.64 2.0436
0.5554 -80.51 0.8911
2.6655 -76.67 0.5632
5.2018 -72.98 1.1053
7.9657 -68.97 2.5380
10.621 -63.91 4.8211
12.634 -58.23 7.6897
13.835 -52.62 10.563
14.052 -48.24 12.562
13.396 -47.36 12.948
12.349 -52.75 11.448
10.665 -64.88 8.4770
7.1334 -80.40 5.8721
2.9657 -93.65 6.1856
0.1847 -101.7 9.1432
-1.425 -103.7 13.272
-2.731 -100.5 17.490
-4.364 -92.55 20.969
-6.523 -82.58 23.446
-9.486 -71.36 24.599
-12.52 -60.84 23.743
-12.89 -57.12 21.791
-11.49 -58.73 19.437
-9.637 -62.90 16.473
-7.661 -68.88 13.339
-6.192 -74.38 10.957
-5.085 -79.28 9.1256
-3.942 -83.65 7.3163
-2.940 -86.03 5.4853
-2.025 -85.68 3.6863
-0.971 -83.64 2.0436
-43.56 -66.97 -130.6
-50.85 -68.25 -134.0
-56.54 -68.87 -137.4
-60.77 -68.86 -140.6
-63.96 -68.52 -143.6
-66.28 -68.08 -146.0
-67.77 -67.74 -147.7
-68.42 -67.22 -148.7
-67.97 -65.88 -149.0
-66.32 -64.99 -147.7
-64.11 -65.62 -145.0
-61.21 -67.10 -141.3
-57.58 -68.85 -137.4
-53.78 -69.87 -134.2
-50.44 -69.61 -132.2
-47.69 -68.23 -131.1
-45.48 -66.05 -130.6
-43.71 -63.39 -130.5
-42.78 -59.68 -130.9
