31 frames
21 bones
-0.527 0 31.293
-1.941 1.4118 31.410
-3.355 2.8260 31.219
-4.769 4.2363 30.746
-6.184 5.6544 30.172
-7.598 7.0686 29.644
-9.016 8.4789 29.261
-10.43 9.8931 29.043
-11.84 11.311 28.976
-13.25 12.725 29.027
-14.66 14.139 29.191
-16.08 15.553 29.488
-17.50 16.968 29.926
-18.91 18.382 30.469
-20.33 19.796 30.969
-21.74 21.210 31.297
-23.15 22.624 31.394
-24.56 24.039 31.250
-25.98 25.453 30.797
-27.39 26.867 30.125
-28.81 28.281 29.531
-30.22 29.695 29.144
-31.63 31.110 28.949
-33.05 32.520 28.902
-34.47 33.934 28.953
-35.88 35.348 29.097
-37.30 36.762 29.363
-38.71 38.177 29.761
-40.12 39.591 30.308
-41.54 41.005 30.890
-42.95 42.419 31.293
3.2380 -16.69 104.32
3.0144 -16.82 104.38
2.8950 -16.94 104.41
2.7518 -17.03 104.45
2.5784 -17.08 104.50
2.3647 -17.10 104.57
2.1109 -17.07 104.65
1.8169 -17.01 104.74
1.4576 -16.92 104.85
1.0366 -16.81 104.98
0.6131 -16.67 105.11
0.3203 -16.52 105.20
0.2262 -16.36 105.23
0.2764 -16.20 105.21
0.4322 -16.04 105.17
0.6735 -15.89 105.10
0.9688 -15.76 105.02
1.2590 -15.64 104.94
1.5128 -15.56 104.87
1.7490 -15.50 104.81
1.9840 -15.49 104.74
2.2429 -15.51 104.67
2.5796 -15.57 104.57
2.9993 -15.66 104.45
3.4391 -15.79 104.32
3.8135 -15.93 104.21
4.0824 -16.08 104.12
4.1817 -16.25 104.08
4.0108 -16.40 104.11
3.6288 -16.55 104.22
3.2380 -16.69 104.32
-57.80 -68.70 -115.2
-58.48 -72.35 -114.9
-59.63 -74.91 -115.8
-61.73 -76.42 -118.0
-64.20 -77.59 -121.0
-66.10 -79.63 -123.2
-67.29 -83.37 -123.7
-67.50 -89.54 -121.5
-67.07 -96.02 -117.9
-66.42 -100.2 -115.1
-65.36 -101.9 -113.4
-63.05 -101.4 -112.4
-59.22 -97.64 -112.4
-55.89 -90.37 -113.9
-54.92 -81.11 -116.5
-55.52 -70.90 -119.6
-57.00 -60.39 -122.8
-57.41 -51.89 -124.5
-57.13 -45.52 -124.8
-56.46 -40.96 -124.4
-56.44 -38.61 -124.0
-56.06 -37.39 -123.4
-56.60 -37.10 -123.4
-58.16 -37.79 -124.1
-59.46 -39.74 -124.5
-60.08 -42.85 -124.1
-60.02 -47.17 -122.8
-59.24 -52.65 -120.7
