31 frames
21 bones
-0.527 0 31.293
1.4687 0.1734 31.410
3.4687 0.3843 31.219
5.4687 0.6187 30.746
7.4687 0.8531 30.172
9.4687 1.0758 29.644
11.468 1.2633 29.261
13.468 1.4000 29.043
15.468 1.4781 28.976
17.468 1.5016 29.027
19.468 1.4937 29.191
21.468 1.4664 29.488
23.468 1.4195 29.926
25.468 1.3492 30.469
27.468 1.2555 30.969
29.468 1.1344 31.297
31.468 0.9742 31.394
33.468 0.7789 31.250
35.468 0.5523 30.797
37.468 0.2984 30.125
39.468 0.0484 29.531
41.468 -0.166 29.144
43.468 -0.322 28.949
45.468 -0.416 28.902
47.468 -0.439 28.953
49.468 -0.432 29.097
51.468 -0.400 29.363
53.468 -0.346 29.761
55.468 -0.260 30.308
57.468 -0.146 30.890
59.472 0 31.293
0.9688 -21.65 97.449
0.7526 -21.78 97.535
0.6408 -21.89 97.578
0.5013 -21.98 97.631
0.3342 -22.04 97.701
0.1281 -22.06 97.784
-0.116 -22.04 97.883
-0.403 -21.98 97.999
-0.751 -21.90 98.138
-1.162 -21.79 98.300
-1.573 -21.66 98.463
-1.859 -21.51 98.569
-1.952 -21.35 98.598
-1.909 -21.18 98.575
-1.759 -21.03 98.512
-1.527 -20.88 98.420
-1.240 -20.74 98.307
-0.961 -20.62 98.198
-0.714 -20.53 98.105
-0.485 -20.47 98.019
-0.258 -20.45 97.933
0 -20.47 97.837
0.3178 -20.53 97.717
0.7300 -20.62 97.562
1.1559 -20.74 97.396
1.5229 -20.88 97.254
1.7842 -21.03 97.151
1.8822 -21.18 97.105
1.7151 -21.35 97.164
1.3470 -21.50 97.303
0.9688 -21.65 97.449
-49.32 -88.22 -94.95
-52.40 -86.47 -96.14
-55.83 -83.95 -98.40
-59.59 -80.59 -101.8
-63.14 -76.37 -106.3
-65.90 -71.68 -111.4
-67.59 -67.44 -116.2
-68.19 -64.83 -119.1
-68.69 -63.74 -120.4
-70.37 -62.30 -122.3
-72.26 -61.00 -124.4
-73.42 -61.48 -124.7
-73.43 -64.99 -122.1
-72.05 -71.22 -116.8
-69.29 -78.31 -110.6
-65.33 -84.79 -105.1
-60.25 -90.22 -100.6
-54.22 -94.55 -97.21
-47.97 -97.80 -94.80
-42.16 -100.1 -93.22
-36.97 -101.5 -92.23
-32.80 -102.0 -91.66
-29.95 -101.6 -91.44
-28.56 -100.4 -91.47
-28.88 -98.76 -91.70
-31.48 -96.65 -92.09
-35.65 -94.47 -92.60
-39.79 -92.52 -93.17
-43.34 -90.86 -93.75
-46.37 -89.50 -94.33
-49.32 -88.22 -94.95
0 75.190 0
0 73.195 0
0 72.021 0
0 71.547 0
0 70.739 0
0 68.766 0
0 65.142 0
0 59.653 0
0 56.389 0
0 60.406 0
0 68.293 0
0 76.296 0
0 83.595 0
0 89.825 0
0 95.020 0
0 99.331 0
0 102.43 0
0 103.80 0
0 103.94 0
0 103.51 0
0 101.74 0
0 98.523 0
0 94.212 0
0 89.310 0
0 84.864 0
0 82.498 0
0 82.318 0
0 82.124 0
0 80.449 0
0 77.777 0
0 75.190 0
-11.55 -89.69 -4.368
-10.28 -84.51 -4.626
-8.836 -79.82 -4.462
-7.361 -75.42 -3.959
-5.992 -70.82 -3.236
-4.833 -65.71 -2.449
-3.888 -59.98 -1.764
-3.137 -53.59 -1.396
-3.673 -62.44 -0.954
-5.359 -79.01 0.0977
-6.954 -84.65 0.6594
-8.086 -84.08 0.8125
-9.004 -79.28 1.3856
-9.838 -72.18 1.6049
-10.15 -64.69 1.2956
-10.00 -58.73 1.0960
-8.447 -56.29 1.0742
-7.340 -58.45 0.8043
-8.460 -63.68 -1.285
-10.54 -70.41 -4.382
-12.70 -78.21 -7.133
-14.85 -86.64 -8.569
-16.90 -95.32 -8.121
-18.19 -103.5 -5.768
-18.25 -109.9 -2.975
-17.52 -113.0 -1.420
-16.45 -111.3 -1.569
-15.23 -106.6 -2.455
-13.96 -101.1 -3.210
-12.71 -95.30 -3.841
-11.55 -89.69 -4.368
-44.28 -49.60 -137.3
-39.37 -55.24 -133.2
-33.85 -60.40 -129.8
-28.22 -64.99 -127.2
-23.02 -68.87 -125.5
-18.64 -72.15 -124.3
-15.43 -74.83 -123.6
-13.63 -76.91 -123.2
-13.31 -78.35 -122.9
-14.61 -78.97 -122.9
-17.94 -78.35 -123.3
-22.49 -76.58 -124.1
-26.80 -74.41 -125.1
-30.53 -72.24 -126.3
-33.82 -69.98 -127.6
-36.95 -67.38 -129.1
-40.04 -64.30 -131.0
-43.19 -60.63 -133.3
-46.51 -56.00 -136.5
-49.75 -50.48 -140.5
-52.32 -45.05 -144.7
-54.02 -40.70 -148.1
-54.98 -37.84 -150.6
-55.42 -35.81 -152.1
-55.64 -33.45 -153.4
-55.53 -31.63 -154.1
-54.96 -31.35 -153.4
-53.72 -33.32 -151.0
-51.56 -37.67 -146.9
-48.37 -43.53 -142.0
-44.28 -49.60 -137.3
0 100.55 0
0 102.18 0
0 102.42 0
0 101.38 0
0 99.491 0
0 96.560 0
0 92.707 0
0 88.178 0
0 83.339 0
0 79.209 0
0 77.498 0
0 78.170 0
0 78.847 0
0 78.202 0
0 76.910 0
0 75.751 0
0 74.994 0
0 74.736 0
0 75.336 0
0 76.133 0
0 75.666 0
0 73.291 0
0 69.100 0
0 66.689 0
0 70.119 0
0 76.765 0
0 83.605 0
0 89.764 0
0 94.595 0
0 98.029 0
0 100.55 0
5.0885 -67.86 10.305
6.8372 -64.25 13.512
8.7580 -65.11 15.517
9.2787 -69.67 14.567
9.3233 -75.76 11.603
9.5266 -82.89 7.6304
9.5017 -90.83 3.4577
8.7570 -99.15 -0.078
7.5476 -106.9 -2.122
6.4524 -113.1 -2.909
5.6382 -116.4 -2.907
5.3789 -115.3 -2.239
5.4691 -111.2 -1.297
5.6600 -106.4 -0.357
5.9214 -101.3 0.5283
6.2190 -96.44 1.3179
6.5136 -91.77 1.9865
6.7749 -87.36 2.5176
6.9751 -83.29 2.9004
7.0861 -79.21 3.1545
7.0622 -74.49 3.3334
6.9201 -69.01 3.5493
6.6971 -62.93 3.8885
6.6484 -72.11 2.2820
5.5469 -88.58 0.2022
4.2515 -93.90 -0.370
3.7858 -93.25 -0.135
3.9071 -88.70 1.6211
4.1799 -81.84 4.1186
4.6342 -74.26 6.9727
5.0885 -67.86 10.305
-5.904 89.257 89.193
-5.904 89.060 89.216
-5.903 88.859 89.235
-5.903 88.661 89.257
-5.903 88.473 89.276
-5.902 88.305 89.292
-5.901 88.161 89.308
-5.901 88.050 89.318
-5.901 87.980 89.327
-5.901 87.954 89.327
-5.901 87.980 89.327
-5.901 88.050 89.318
-5.901 88.161 89.308
-5.902 88.305 89.292
-5.902 88.473 89.276
-5.903 88.661 89.257
-5.903 88.859 89.235
-5.904 89.060 89.216
-5.904 89.257 89.193
-5.904 89.442 89.174
-5.904 89.611 89.158
-5.904 89.754 89.146
-5.905 89.866 89.133
-5.905 89.939 89.123
-5.905 89.964 89.123
-5.905 89.939 89.123
-5.905 89.866 89.133
-5.905 89.754 89.146
-5.905 89.611 89.158
-5.904 89.442 89.174
-5.904 89.257 89.193
0.3618 13.392 -2.116
0.0116 13.338 -2.206
-0.170 13.274 -2.235
-0.392 13.203 -2.193
-0.662 13.132 -2.088
-0.992 13.065 -1.926
-1.385 13.009 -1.718
-1.843 12.970 -1.478
-2.397 12.952 -1.208
-3.052 12.991 -0.919
-3.709 13.094 -0.627
-4.161 13.216 -0.346
-4.299 13.321 -0.090
-4.218 13.365 0.1355
-3.968 13.354 0.3230
-3.589 13.322 0.4628
-3.124 13.274 0.5479
-2.671 13.217 0.5681
-2.278 13.154 0.5234
-1.914 13.092 0.4138
-1.553 13.036 0.2538
-1.153 12.991 0.0446
-0.638 12.961 -0.196
0.0123 12.954 -0.467
0.6914 13.007 -0.757
1.2723 13.128 -1.046
1.6864 13.270 -1.325
1.8423 13.389 -1.583
1.5704 13.440 -1.805
0.9716 13.426 -1.984
0.3618 13.392 -2.116
-0.696 20.665 -2.734
-0.699 20.603 -2.689
-0.708 20.539 -2.561
-0.722 20.485 -2.364
-0.739 20.452 -2.109
-0.760 20.442 -1.811
-0.782 20.463 -1.480
-0.807 20.531 -1.131
-0.830 20.639 -0.775
-0.855 20.730 -0.426
-0.877 20.765 -0.096
-0.898 20.769 0.2012
-0.915 20.761 0.4555
-0.929 20.740 0.6532
-0.938 20.706 0.7814
-0.941 20.660 0.8267
-0.938 20.606 0.7807
-0.929 20.549 0.6532
-0.915 20.496 0.4555
-0.898 20.458 0.2012
-0.877 20.444 -0.096
-0.855 20.462 -0.426
-0.830 20.529 -0.775
-0.807 20.648 -1.131
-0.782 20.752 -1.480
-0.760 20.790 -1.811
-0.739 20.792 -2.109
-0.722 20.782 -2.364
-0.708 20.757 -2.561
-0.699 20.718 -2.689
-0.696 20.665 -2.734
0.1579 13.925 0.0668
0.1613 13.887 0.0675
0.1620 13.833 0.0682
0.1606 13.771 0.0675
0.1565 13.707 0.0653
0.1497 13.652 0.0646
0.1400 13.619 0.0609
0.1270 13.608 0.0579
0.1125 13.628 0.0550
0.0968 13.695 0.0499
0.0768 13.804 0.0448
0.0583 13.894 0.0403
0.0384 13.929 0.0359
0.0226 13.933 0.0315
0.0103 13.925 0.0279
0 13.904 0.0256
0 13.870 0.0249
0 13.824 0.0249
0 13.771 0.0249
0 13.713 0.0264
0.0151 13.660 0.0293
0.0253 13.623 0.0323
0.0384 13.607 0.0344
0.0535 13.626 0.0396
0.0693 13.693 0.0440
0.0872 13.814 0.0484
0.1050 13.917 0.0528
0.1215 13.956 0.0565
0.1380 13.958 0.0609
0.1504 13.949 0.0646
0.1579 13.925 0.0668
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
0.0303 23.267 179.85
6.4475 55.893 26.246
6.1825 56.008 26.420
5.8269 56.108 26.391
5.3958 56.195 26.183
4.9096 56.265 25.818
4.3864 56.320 25.322
3.8451 56.360 24.727
3.3030 56.375 24.054
2.7798 56.346 23.333
2.2950 56.032 22.588
1.8730 55.480 21.843
1.5355 55.143 21.122
1.3128 55.100 20.454
1.2214 55.098 19.859
1.2532 55.135 19.373
1.4019 55.208 19.027
1.6609 55.312 18.853
2.0203 55.439 18.875
2.4627 55.584 19.078
2.9632 55.737 19.433
3.5046 55.889 19.920
4.0633 56.028 20.505
4.6174 56.142 21.175
5.1459 56.222 21.899
5.6269 55.944 22.646
6.0398 55.573 23.399
6.3622 55.441 24.124
6.5758 55.533 24.804
6.6566 55.645 25.407
6.6091 55.769 25.895
6.4475 55.893 26.246
69.096 150.89 -112.2
69.372 151.15 -112.0
69.608 151.38 -111.8
69.791 151.56 -111.6
69.909 151.68 -111.5
69.950 151.72 -111.5
69.909 151.68 -111.5
69.791 151.56 -111.6
69.608 151.38 -111.8
69.372 151.15 -112.0
69.096 150.89 -112.2
68.791 150.60 -112.4
68.467 150.31 -112.7
68.136 150.02 -112.9
67.812 149.74 -113.1
67.504 149.49 -113.3
67.224 149.26 -113.5
66.988 149.07 -113.7
66.802 148.93 -113.8
66.684 148.84 -113.8
66.643 148.80 -113.9
66.684 148.84 -113.8
66.802 148.93 -113.8
66.988 149.07 -113.7
67.224 149.26 -113.5
67.504 149.49 -113.3
67.812 149.74 -113.1
68.136 150.02 -112.9
68.467 150.31 -112.7
68.791 150.60 -112.4
69.096 150.89 -112.2
16.854 -46.55 102.72
16.772 -47.46 102.09
16.632 -48.24 101.57
16.523 -48.95 101.25
16.340 -49.56 101.20
16.275 -50.02 101.43
16.332 -50.31 101.95
16.512 -50.40 102.74
16.810 -50.37 103.72
17.223 -50.23 104.83
17.662 -49.95 106.01
18.023 -49.48 107.18
18.206 -48.81 108.25
18.233 -48.02 109.20
18.135 -47.16 109.98
17.963 -46.26 110.58
17.728 -45.40 110.97
17.477 -44.67 111.13
17.201 -44.07 111.12
16.922 -43.61 110.93
16.682 -43.28 110.54
16.504 -43.08 109.99
16.384 -42.94 109.28
16.340 -42.87 108.46
16.378 -42.87 107.59
16.488 -42.97 106.75
16.611 -43.25 105.90
16.698 -43.74 105.04
16.780 -44.53 104.21
16.843 -45.52 103.43
16.854 -46.55 102.72
0 -39.63 0
0 -38.87 0
0 -38.22 0
0 -37.67 0
0 -37.21 0
0 -36.83 0
0 -36.53 0
0 -36.30 0
0 -36.13 0
0 -36.03 0
0 -36.18 0
0 -36.46 0
0 -36.93 0
0 -37.63 0
0 -38.49 0
0 -39.39 0
0 -40.30 0
0 -41.27 0
0 -42.23 0
0 -43.12 0
0 -43.87 0
0 -44.40 0
0 -44.68 0
0 -44.69 0
0 -44.46 0
0 -44.00 0
0 -43.34 0
0 -42.49 0
0 -41.48 0
0 -40.50 0
0 -39.63 0
-2.865 -7.441 -60.06
-2.860 -7.679 -60.07
-2.858 -7.743 -60.09
-2.862 -7.621 -60.05
-2.878 -6.728 -59.98
-2.910 -4.907 -59.99
-2.943 -2.822 -60.03
-2.963 -1.593 -60.05
-2.974 -0.747 -60.08
-2.978 -0.454 -60.10
-2.978 -0.419 -60.12
-2.976 -0.630 -60.14
-2.971 -0.878 -60.18
-2.969 -1.038 -60.22
-2.969 -1.028 -60.28
-2.971 -0.895 -60.34
-2.976 -0.632 -60.39
-2.980 -0.291 -60.42
-2.985 0.0695 -60.44
-2.987 0.3784 -60.46
-2.989 0.5250 -60.46
-2.987 0.2614 -60.45
-2.978 -0.483 -60.41
-2.963 -1.633 -60.35
-2.943 -2.860 -60.29
-2.930 -3.714 -60.25
-2.915 -4.707 -60.19
-2.897 -5.661 -60.14
-2.884 -6.454 -60.11
-2.871 -7.037 -60.08
-2.865 -7.441 -60.06
-63.03 142.57 115.01
-62.92 143.16 114.44
-62.81 143.65 113.97
-62.73 144.03 113.60
-62.68 144.27 113.37
-62.66 144.36 113.28
-62.68 144.27 113.37
-62.73 144.03 113.60
-62.81 143.65 113.97
-62.92 143.16 114.44
-63.03 142.57 115.01
-63.16 141.93 115.64
-63.29 141.24 116.31
-63.42 140.52 117.00
-63.54 139.82 117.69
-63.66 139.15 118.34
-63.76 138.54 118.94
