31 frames
21 bones
-0.527 0 31.293
0.8868 -1.420 31.410
2.2971 -2.834 31.219
3.7113 -4.248 30.746
5.1255 -5.663 30.172
6.5436 -7.077 29.644
7.9539 -8.491 29.261
9.3720 -9.905 29.043
10.782 -11.31 28.976
12.196 -12.73 29.027
13.610 -14.14 29.191
15.024 -15.56 29.488
16.439 -16.97 29.926
17.853 -18.39 30.469
19.271 -19.80 30.969
20.685 -21.21 31.297
22.095 -22.63 31.394
23.510 -24.04 31.250
24.924 -25.46 30.797
26.338 -26.87 30.125
27.756 -28.29 29.531
29.166 -29.70 29.144
30.585 -31.11 28.949
31.995 -32.53 28.902
33.409 -33.94 28.953
34.823 -35.36 29.097
36.241 -36.77 29.363
37.656 -38.18 29.761
39.070 -39.60 30.308
40.484 -41.01 30.890
41.898 -42.43 31.293
-1.157 -26.81 100.76
-1.363 -26.94 100.87
-1.470 -27.06 100.93
-1.600 -27.15 101.00
-1.762 -27.21 101.08
-1.958 -27.23 101.18
-2.195 -27.21 101.30
-2.472 -27.16 101.44
-2.808 -27.08 101.61
-3.204 -26.98 101.80
-3.601 -26.86 102.00
-3.881 -26.71 102.12
-3.974 -26.56 102.16
-3.935 -26.40 102.12
-3.793 -26.23 102.04
-3.574 -26.08 101.92
-3.302 -25.93 101.78
-3.034 -25.81 101.64
-2.798 -25.72 101.52
-2.580 -25.66 101.41
-2.362 -25.63 101.31
-2.117 -25.64 101.19
-1.801 -25.70 101.04
-1.406 -25.78 100.85
-0.992 -25.89 100.66
-0.639 -26.03 100.49
-0.385 -26.17 100.37
-0.287 -26.33 100.32
-0.444 -26.49 100.40
-0.799 -26.65 100.57
-1.157 -26.81 100.76
-52.81 -80.37 -104.0
-53.13 -75.34 -105.9
-53.64 -69.57 -108.7
-54.32 -63.21 -112.2
-54.70 -56.78 -115.7
-54.45 -51.05 -118.7
-53.44 -46.65 -120.6
-51.70 -43.90 -120.9
-51.07 -42.58 -121.0
-53.35 -41.70 -122.5
-56.89 -40.80 -125.1
-60.38 -39.98 -128.0
-63.56 -39.81 -130.7
-66.31 -41.11 -132.7
-68.57 -44.83 -133.0
-70.22 -51.89 -130.6
-70.97 -62.68 -125.0
-70.30 -76.60 -116.5
-68.18 -90.45 -107.8
-65.21 -101.8 -101.2
-61.48 -109.9 -96.81
-57.48 -114.6 -94.36
-53.74 -116.0 -93.41
-50.61 -114.8 -93.53
-48.58 -111.4 -94.37
-48.40 -106.3 -95.82
-49.95 -100.5 -97.63
-51.44 -94.94 -99.47
-52.25 -89.70 -101.1
-52.56 -84.95 -102.6
-52.81 -80.37 -104.0
0 75.872 0
0 74.129 0
0 73.226 0
0 73.023 0
0 72.518 0
0 70.857 0
0 67.579 0
0 62.478 0
0 59.517 0
0 62.826 0
0 68.816 0
0 74.698 0
0 80.327 0
0 85.766 0
0 91.265 0
0 96.555 0
0 100.88 0
0 103.53 0
0 104.62 0
0 104.75 0
0 103.17 0
0 99.832 0
0 95.228 0
0 89.933 0
0 85.040 0
0 82.227 0
0 82.209 0
0 82.187 0
0 80.697 0
0 78.237 0
0 75.872 0
-3.449 -89.30 -3.294
-0.631 -86.47 -5.886
2.4507 -84.17 -8.201
5.6729 -82.28 -10.41
8.8663 -80.27 -12.64
11.842 -77.79 -14.91
14.489 -74.70 -17.25
16.728 -70.97 -19.69
17.827 -67.16 -21.05
17.704 -64.07 -20.06
17.225 -60.47 -17.53
16.728 -55.33 -13.89
15.394 -48.77 -8.725
12.746 -42.77 -3.294
8.9047 -39.22 1.4788
4.0597 -38.46 5.2463
-0.731 -41.12 7.6422
-5.947 -45.18 8.2256
-11.88 -48.85 6.1949
-17.56 -53.70 3.1618
-22.25 -60.55 1.1860
-25.44 -69.53 1.6556
-26.54 -79.98 4.6556
-24.95 -90.22 8.8504
-21.29 -98.26 11.651
-17.29 -102.6 11.408
-14.23 -102.6 8.8277
-11.63 -99.77 5.5939
-8.894 -96.33 2.4822
-6.136 -92.66 -0.470
-3.449 -89.30 -3.294
-45.04 -54.39 -144.9
-44.28 -63.05 -141.9
-43.09 -72.02 -138.4
-41.59 -80.66 -134.8
-39.96 -88.35 -131.5
-38.20 -94.58 -128.6
-36.40 -98.96 -126.5
-34.70 -101.2 -125.3
-33.30 -101.6 -124.9
-32.61 -100.1 -125.3
-33.25 -96.43 -126.6
-34.91 -91.32 -128.6
-36.45 -86.03 -130.6
-37.45 -80.98 -132.3
-38.16 -76.14 -133.9
-38.85 -71.30 -135.3
-39.61 -66.26 -136.8
-40.50 -60.98 -138.4
-41.63 -55.15 -140.3
-42.77 -48.98 -142.4
-43.46 -43.41 -143.9
-43.52 -39.08 -144.5
-42.95 -36.08 -144.1
-42.50 -34.09 -143.8
-43.05 -32.61 -144.8
-44.05 -31.91 -146.5
-44.90 -32.40 -147.9
-45.44 -34.80 -148.8
-45.61 -39.54 -148.5
-45.46 -46.36 -147.1
-45.04 -54.39 -144.9
0 100.48 0
0 101.51 0
0 101.16 0
0 99.603 0
0 97.260 0
0 93.967 0
0 89.845 0
0 85.143 0
0 80.227 0
0 76.161 0
0 74.712 0
0 75.775 0
0 76.846 0
0 76.592 0
0 75.698 0
0 74.962 0
0 74.652 0
0 74.873 0
0 75.980 0
0 77.309 0
0 77.385 0
0 75.558 0
0 71.930 0
0 69.869 0
0 73.142 0
0 79.366 0
0 85.743 0
0 91.403 0
0 95.694 0
0 98.549 0
0 100.48 0
-2.076 -60.51 11.074
-4.860 -63.01 13.699
-7.679 -66.35 14.858
-11.61 -69.40 13.537
-15.26 -73.38 11.125
-17.69 -78.97 9.3252
-18.59 -86.29 9.1136
-17.76 -94.68 10.517
-15.00 -102.7 12.709
-10.96 -109.2 13.973
-7.152 -113.0 13.352
-4.553 -112.7 11.593
-2.604 -109.6 9.6883
-0.594 -105.7 7.8637
1.4024 -101.6 6.1319
3.3336 -97.84 4.4621
5.1829 -94.36 2.7837
6.9482 -91.24 1.0257
8.6419 -88.61 -0.891
10.274 -86.08 -3.021
11.804 -82.99 -5.327
13.235 -79.13 -7.675
14.597 -74.65 -9.969
15.205 -70.63 -11.41
14.639 -68.61 -10.92
13.481 -67.58 -8.931
12.027 -65.99 -5.767
9.4218 -63.60 -1.198
5.8155 -61.42 3.4904
1.8877 -60.25 7.6042
-2.076 -60.51 11.074
-5.903 88.486 90.592
-5.902 88.289 90.611
-5.901 88.088 90.633
-5.900 87.890 90.653
-5.900 87.706 90.672
-5.899 87.537 90.691
-5.898 87.393 90.704
-5.898 87.282 90.716
-5.896 87.209 90.723
-5.896 87.183 90.726
-5.896 87.209 90.723
-5.898 87.282 90.716
-5.898 87.393 90.704
-5.899 87.537 90.691
-5.900 87.706 90.672
-5.900 87.890 90.653
-5.901 88.088 90.633
-5.902 88.289 90.611
-5.903 88.486 90.592
-5.903 88.674 90.573
-5.903 88.840 90.557
-5.904 88.986 90.541
-5.904 89.098 90.528
-5.904 89.168 90.522
-5.904 89.193 90.519
-5.904 89.168 90.522
-5.904 89.098 90.528
-5.904 88.986 90.541
-5.903 88.840 90.557
-5.903 88.674 90.573
-5.903 88.486 90.592
-0.363 13.390 -0.772
-0.714 13.337 -0.860
-0.898 13.273 -0.892
-1.119 13.201 -0.850
-1.390 13.131 -0.745
-1.718 13.064 -0.584
-2.111 13.008 -0.377
-2.569 12.969 -0.134
-3.125 12.951 0.1341
-3.780 12.990 0.4210
-4.435 13.092 0.7123
-4.887 13.215 0.9935
-5.026 13.319 1.2516
-4.946 13.363 1.4780
-4.695 13.353 1.6669
-4.315 13.320 1.8053
-3.851 13.274 1.8919
-3.399 13.216 1.9135
-3.004 13.153 1.8659
-2.642 13.092 1.7592
-2.281 13.036 1.5963
-1.881 12.991 1.3901
-1.365 12.961 1.1449
-0.714 12.954 0.8738
-0.033 13.007 0.5840
0.5459 13.128 0.2941
0.9592 13.270 0.0158
1.1151 13.390 -0.240
0.8432 13.439 -0.462
0.2451 13.425 -0.638
-0.363 13.390 -0.772
-0.786 20.669 -1.415
-0.790 20.605 -1.370
