31 frames
21 bones
-0.527 0 31.293
0.8868 1.4079 31.410
2.3010 2.8221 31.219
3.7152 4.2363 30.746
5.1294 5.6505 30.172
6.5436 7.0647 29.644
7.9578 8.4789 29.261
9.3720 9.8931 29.043
10.786 11.307 28.976
12.200 12.721 29.027
13.614 14.135 29.191
15.028 15.549 29.488
16.439 16.968 29.926
17.853 18.382 30.469
19.267 19.796 30.969
20.685 21.210 31.297
22.099 22.620 31.394
23.514 24.035 31.250
24.928 25.449 30.797
26.342 26.863 30.125
27.756 28.277 29.531
29.170 29.691 29.144
30.585 31.106 28.949
31.999 32.520 28.902
33.409 33.934 28.953
34.823 35.348 29.097
36.237 36.762 29.363
37.652 38.177 29.761
39.066 39.591 30.308
40.480 41.005 30.890
41.898 42.419 31.293
3.5585 -17.38 99.384
3.3348 -17.51 99.446
3.2154 -17.63 99.476
3.0722 -17.72 99.516
2.8988 -17.77 99.569
2.6877 -17.79 99.635
2.4351 -17.76 99.718
2.1411 -17.70 99.814
1.7842 -17.61 99.933
1.3646 -17.49 100.06
0.9436 -17.35 100.20
0.6496 -17.20 100.29
0.5578 -17.04 100.32
0.6068 -16.88 100.31
0.7639 -16.72 100.26
1.0027 -16.58 100.19
1.2979 -16.45 100.11
1.5882 -16.33 100.03
1.8407 -16.25 99.960
2.0757 -16.19 99.894
2.3095 -16.17 99.827
2.5696 -16.20 99.751
2.9038 -16.25 99.652
3.3235 -16.35 99.523
3.7595 -16.47 99.387
4.1340 -16.62 99.264
4.3991 -16.77 99.172
4.4996 -16.94 99.128
4.3262 -17.09 99.168
3.9455 -17.24 99.274
3.5585 -17.38 99.384
-52.92 -87.13 -89.54
-55.39 -89.28 -89.63
-58.24 -90.87 -90.57
-61.49 -92.18 -92.21
-64.57 -93.32 -94.36
-66.89 -94.60 -96.60
-68.11 -96.53 -98.18
-67.99 -99.64 -98.36
-67.92 -102.3 -97.70
-69.94 -102.2 -97.83
-72.64 -99.94 -98.85
-74.53 -96.80 -99.95
-75.13 -93.29 -100.6
-74.27 -90.11 -100.4
-72.12 -87.35 -99.36
-68.90 -84.75 -97.93
-64.66 -82.18 -96.41
-59.45 -79.72 -94.93
-53.98 -77.26 -93.82
-48.84 -74.85 -93.15
-44.17 -72.90 -92.70
-40.28 -71.76 -92.34
-37.47 -71.52 -92.01
-35.90 -72.12 -91.67
-35.86 -73.42 -91.34
-37.99 -75.30 -91.01
-41.64 -77.39 -90.74
-45.27 -79.52 -90.50
-48.22 -81.93 -90.23
-50.62 -84.54 -89.90
-52.92 -87.13 -89.54
0 73.506 0
0 70.987 0
