31 frames
21 bones
-0.527 0 31.293
-0.527 1.9937 31.410
-0.527 3.9937 31.219
-0.527 5.9937 30.746
-0.527 7.9937 30.172
-0.527 9.9937 29.644
-0.527 11.993 29.261
-0.527 13.993 29.043
-0.527 15.993 28.976
-0.527 17.993 29.027
-0.527 19.993 29.191
-0.527 21.993 29.488
-0.527 23.993 29.926
-0.527 25.993 30.469
-0.527 27.993 30.969
-0.527 29.993 31.297
-0.527 31.993 31.394
-0.527 33.993 31.250
-0.527 35.993 30.797
-0.527 37.993 30.125
-0.527 39.993 29.531
-0.527 41.993 29.144
-0.527 43.993 28.949
-0.527 45.993 28.902
-0.527 47.993 28.953
-0.527 49.993 29.097
-0.527 51.993 29.363
-0.527 53.993 29.761
-0.527 55.993 30.308
-0.527 57.993 30.890
-0.527 59.993 31.293
5.8227 -11.74 101.61
5.5928 -11.87 101.65
5.4722 -11.98 101.66
5.3239 -12.07 101.68
5.1467 -12.13 101.72
4.9293 -12.14 101.76
4.6680 -12.11 101.82
4.3677 -12.05 101.89
4.0007 -11.96 101.98
3.5710 -11.84 102.08
3.1413 -11.69 102.17
2.8410 -11.54 102.24
2.7467 -11.38 102.27
2.7983 -11.22 102.27
2.9604 -11.06 102.24
3.2066 -10.91 102.20
3.5094 -10.79 102.15
3.8073 -10.67 102.11
4.0673 -10.59 102.06
4.3061 -10.53 102.02
4.5473 -10.52 101.98
4.8112 -10.54 101.93
5.1542 -10.60 101.86
5.5840 -10.70 101.77
6.0300 -10.82 101.67
6.4146 -10.97 101.58
6.6872 -11.13 101.51
6.7877 -11.28 101.47
6.6118 -11.45 101.49
6.2223 -11.60 101.55
5.8227 -11.74 101.61
-54.68 -58.48 -125.5
-55.44 -63.28 -125.2
-56.43 -67.24 -125.8
-57.68 -70.84 -126.9
-58.78 -74.86 -127.9
-59.34 -79.98 -127.6
-59.17 -86.46 -125.8
-58.20 -93.72 -122.6
-59.25 -98.90 -120.6
-62.10 -102.0 -119.9
-64.64 -104.0 -119.6
-66.58 -103.9 -120.2
-69.35 -91.11 -129.2
-70.76 -71.23 -142.5
-69.73 -54.19 -151.3
-67.35 -44.05 -152.6
-64.47 -39.04 -148.9
-61.55 -36.24 -143.8
-59.17 -33.27 -139.6
-57.15 -30.67 -136.2
-55.35 -29.10 -133.2
-53.85 -28.61 -130.9
-53.07 -28.64 -129.7
-53.82 -28.80 -130.2
-54.31 -30.80 -130.4
-53.14 -35.29 -128.7
-52.43 -39.71 -127.6
-53.00 -43.65 -127.5
-53.92 -48.33 -127.3
-54.46 -53.92 -126.5
-54.68 -58.48 -125.5
0 69.150 0
0 68.396 0
0 68.559 0
0 69.471 0
0 70.080 0
0 69.520 0
0 67.349 0
0 63.661 0
0 62.546 0
0 62.903 0
0 62.334 0
0 62.763 0
0 69.358 0
0 76.788 0
0 81.519 0
0 83.090 0
0 82.187 0
0 80.165 0
0 78.860 0
0 77.808 0
0 76.449 0
0 74.680 0
0 73.461 0
0 74.526 0
0 75.908 0
0 74.906 0
0 73.502 0
0 73.086 0
0 72.436 0
0 70.775 0
0 69.150 0
-13.61 -77.10 -8.322
-15.69 -78.25 -4.533
-17.35 -80.09 -0.259
-18.72 -82.59 4.4001
-19.90 -85.20 9.2508
-20.97 -87.44 14.028
-21.99 -88.97 18.482
-22.18 -89.12 22.481
-24.22 -81.46 23.626
-28.30 -66.00 21.692
-31.36 -49.22 19.077
-31.61 -39.11 18.886
-26.26 -37.62 20.061
-18.85 -38.38 19.607
-11.51 -40.03 16.805
-5.226 -42.00 12.501
-1.117 -44.16 6.7576
0.1761 -46.40 0.2632
-1.164 -48.81 -5.796
-4.488 -50.98 -10.19
-9.136 -52.84 -12.06
-13.60 -53.11 -11.45
-15.55 -51.56 -10.72
-15.66 -51.05 -10.64
-14.35 -56.81 -10.74
-11.39 -66.67 -12.35
-8.268 -73.22 -16.02
-6.723 -75.63 -18.17
-9.263 -76.39 -14.55
-11.78 -76.84 -10.98
-13.61 -77.10 -8.322
-39.31 -48.78 -150.9
-35.58 -43.19 -149.4
-32.54 -38.94 -147.5
-30.19 -35.51 -145.7
-28.19 -33.49 -143.9
-26.63 -32.63 -142.4
-26.24 -32.79 -142.0
-26.42 -33.03 -142.0
-27.98 -34.31 -143.3
-29.89 -36.94 -144.8
-31.56 -40.44 -145.9
-32.99 -44.63 -146.4
-34.11 -49.42 -146.3
-35.01 -54.52 -145.7
-35.91 -59.47 -144.8
-36.95 -64.03 -143.9
-38.22 -68.22 -142.9
-39.78 -72.22 -142.0
-41.82 -76.03 -141.1
-44.13 -80.06 -140.1
-46.19 -84.76 -138.4
-47.67 -90.10 -136.0
-48.28 -96.05 -132.9
-48.52 -100.8 -130.1
-49.37 -102.0 -129.6
-50.61 -98.81 -131.8
-50.94 -91.96 -136.0
-49.72 -81.92 -141.4
-47.19 -69.96 -146.8
-43.69 -58.82 -150.1
-39.31 -48.78 -150.9
0 99.048 0
0 94.470 0
0 89.140 0
0 84.487 0
0 79.748 0
0 75.819 0
0 74.897 0
0 75.332 0
0 78.553 0
0 81.850 0
0 83.798 0
0 84.406 0
0 83.625 0
0 81.850 0
0 79.929 0
0 78.569 0
0 77.937 0
0 78.058 0
0 79.366 0
0 81.057 0
0 81.636 0
0 80.517 0
0 77.631 0
0 75.300 0
0 76.069 0
0 80.131 0
0 85.859 0
0 92.180 0
0 97.542 0
0 99.982 0
0 99.048 0
-0.038 -68.06 -8.255
5.6911 -69.79 -10.56
9.1843 -72.38 -14.17
10.808 -75.42 -18.33
10.965 -77.72 -22.04
10.279 -79.40 -24.62
8.8597 -81.91 -25.20
7.9511 -83.57 -24.98
6.1920 -86.78 -22.79
3.7682 -90.84 -19.59
1.4044 -94.35 -16.35
-0.864 -97.14 -13.10
-3.104 -99.19 -9.831
-5.214 -100.1 -6.666
-7.231 -100.0 -3.748
-9.305 -99.52 -1.094
-11.56 -98.80 1.3212
-14.12 -98.06 3.5155
-17.10 -97.71 5.5386
-20.57 -97.39 7.3544
-24.36 -96.15 8.7515
-28.17 -93.43 9.4080
-31.80 -89.23 9.1812
-34.74 -84.80 7.9347
-36.32 -79.09 4.4719
-35.57 -73.35 -0.343
-32.03 -69.81 -4.315
-25.74 -68.59 -6.578
-17.58 -67.92 -7.366
