19 frames
21 bones
-0.527 0 36.234
-0.464 -5.403 37.234
-0.453 -10.80 37.895
-0.429 -16.04 37.832
-0.378 -21.11 37.316
-0.324 -26.17 36.469
-0.253 -31.23 35.726
-0.199 -36.30 35.226
-0.156 -41.39 35.113
-0.144 -46.36 35.660
-0.167 -51.14 36.512
-0.273 -55.81 37.215
-0.476 -60.43 37.254
-0.718 -65.05 36.894
-0.929 -69.76 36.394
-1.011 -74.62 35.902
-0.906 -79.61 35.555
-0.695 -84.74 35.605
-0.527 -89.91 36.234
5.0148 -16.16 98.748
3.7256 -18.26 97.999
0.6722 -19.35 98.453
-2.744 -19.16 99.645
-4.416 -17.65 101.14
-4.806 -15.15 102.21
-5.403 -12.19 102.44
-8.237 -9.469 101.52
-11.65 -6.741 99.695
-12.98 -3.924 97.810
-11.46 -1.630 96.826
-8.445 -0.539 97.280
-5.389 -0.896 98.539
-3.660 -2.527 100.04
-3.074 -5.117 101.35
-2.464 -8.158 102.04
-0.145 -10.99 101.59
3.2066 -13.60 100.27
5.0148 -16.16 98.748
-13.61 -72.64 -83.02
-14.09 -68.18 -86.48
-16.30 -68.86 -87.67
-20.94 -73.47 -83.11
-24.54 -82.23 -71.98
-25.86 -92.99 -59.81
-26.87 -104.4 -50.91
-27.85 -118.3 -45.93
-29.04 -132.7 -43.96
-29.83 -141.4 -45.78
-28.16 -140.9 -50.88
-24.31 -134.7 -56.41
-19.70 -127.1 -60.87
-16.11 -120.6 -63.78
-16.41 -115.3 -65.85
-20.95 -109.3 -67.77
-22.75 -98.25 -71.51
-17.91 -82.62 -80.82
-13.61 -72.64 -83.02
0 36.310 0
0 41.673 0
0 49.469 0
0 62.004 0
0 74.761 0
0 87.008 0
0 98.081 0
0 107.22 0
0 111.24 0
0 105.57 0
0 91.445 0
0 72.129 0
0 52.836 0
0 37.466 0
0 32.600 0
0 40.107 0
0 45.411 0
0 39.285 0
0 36.310 0
0.0405 -81.35 -3.681
-9.311 -64.03 -0.349
-11.63 -49.23 3.5208
-14.59 -47.13 7.5677
-16.70 -48.84 6.9594
-17.30 -51.41 5.4884
-16.15 -55.16 6.9004
-14.13 -60.66 10.451
-11.44 -64.99 13.239
-8.117 -66.27 17.983
-3.022 -67.15 22.345
0.3920 -67.05 23.136
-1.458 -67.46 21.606
-5.977 -69.87 18.847
-9.973 -75.50 14.439
-10.34 -83.77 8.0001
-6.825 -89.17 0.6750
1.1730 -88.87 -5.165
0.0405 -81.35 -3.681
-53.55 -49.34 -122.1
-48.15 -63.31 -119.5
-42.34 -77.98 -115.9
-37.08 -91.42 -111.5
-32.49 -100.8 -106.6
-30.68 -104.8 -102.5
-33.14 -102.3 -100.3
-34.02 -94.54 -102.8
-30.64 -91.56 -95.63
-28.79 -84.17 -96.49
-30.49 -76.39 -93.66
-33.88 -67.35 -93.94
-38.77 -58.70 -95.19
-44.04 -52.02 -97.09
-48.52 -47.10 -100.9
-52.02 -43.76 -106.1
-56.06 -41.93 -112.7
-56.69 -41.74 -119.9
-53.55 -49.34 -122.1
0 91.032 0
0 79.929 0
0 65.010 0
0 49.934 0
0 36.874 0
0 32.241 0
0 39.845 0
0 47.136 0
0 43.428 0
0 40.807 0
0 41.745 0
0 43.951 0
0 49.881 0
0 58.629 0
0 68.170 0
0 77.784 0
0 88.911 0
0 94.285 0
0 91.032 0
18.300 -59.98 -3.967
14.359 -60.03 -6.245
17.545 -61.70 -10.85
21.545 -62.10 -8.240
14.054 -60.46 7.2432
7.4169 -65.64 17.361
6.8309 -74.73 17.306
14.474 -79.15 11.636
15.956 -78.97 1.1401
22.779 -72.16 0.4476
23.139 -60.39 6.5943
18.412 -50.16 14.850
12.820 -47.46 18.587
8.1886 -47.87 18.503
6.1879 -47.93 16.434
8.4811 -49.11 12.215
27.193 -54.73 10.726
27.031 -59.08 -3.376
18.300 -59.98 -3.967
4.6791 97.165 90.793
4.9156 96.027 91.325
5.5986 93.240 91.707
6.4941 90.130 91.886
7.1835 88.760 91.777
7.4227 88.617 91.440
7.0914 88.129 90.930
6.3523 85.217 90.312
5.6105 81.652 89.652
5.2672 80.152 89.005
5.5111 81.458 88.432
6.0486 84.239 88.005
6.6496 87.056 87.814
7.1319 88.572 87.919
7.3335 88.986 88.263
6.9681 89.503 88.798
6.1057 91.828 89.452
5.1660 95.256 90.140
4.6791 97.165 90.793
1.8992 0.6805 2.8623
1.8127 1.1570 3.6944
1.5456 0.9222 3.9525
1.1282 0.2362 3.7347
0.6049 -0.659 2.9863
0.0370 -1.348 1.5963
-0.614 -1.590 -0.445
-1.289 -1.255 -2.872
-1.750 -0.512 -5.126
-1.868 0.2334 -6.764
-1.757 0.5795 -7.678
-1.463 0.3378 -7.962
-1.043 -0.201 -7.713
-0.539 -0.806 -6.853
0 -1.294 -5.305
0.6481 -1.501 -3.149
1.3341 -1.138 -0.758
1.7935 -0.276 1.3424
1.8992 0.6805 2.8623
-0.097 8.9005 1.4236
-0.199 9.3714 2.9098
-0.254 9.1314 3.7352
-0.273 8.4456 3.9866
-0.256 7.5525 3.7589
-0.204 6.8673 2.9983
-0.109 6.6302 1.5956
0.0301 6.9637 -0.459
0.1984 7.6974 -2.899
0.3529 8.4283 -5.162
0.4648 8.7597 -6.798
0.5259 8.5073 -7.707
0.5459 7.9664 -7.983
0.5273 7.3680 -7.723
0.4682 6.8923 -6.853
0.3625 6.7009 -5.293
0.2135 7.0774 -3.125
0.0494 7.9449 -0.722
-0.097 8.9005 1.4236
-0.863 13.445 3.3167
-1.237 13.417 4.7577
-1.446 13.399 5.5602
-1.508 13.393 5.8039
-1.451 13.399 5.5837
-1.260 13.415 4.8436
-0.907 13.442 3.4826
-0.387 13.464 1.4880
0.2279 13.467 -0.875
0.7992 13.448 -3.071
1.2126 13.419 -4.658
1.4413 13.399 -5.541
1.5099 13.393 -5.809
1.4454 13.399 -5.556
1.2256 13.419 -4.713
0.8322 13.446 -3.200
0.2856 13.466 -1.095
-0.321 13.465 1.2340
-0.863 13.445 3.3167
1.9995 23.094 174.68
2.5722 23.039 173.96
2.9595 23.025 173.86
3.2706 23.043 174.16
3.4731 23.086 174.80
3.4566 23.146 175.75
3.0549 23.216 177.15
2.0668 23.272 179.23
0.6955 23.265 181.58
-0.762 23.193 183.69
-1.856 23.113 185.04
-2.339 23.080 185.46
-2.559 23.083 185.36
-2.584 23.116 184.80
-2.410 23.171 183.77
-1.950 23.235 182.18
-0.816 23.271 179.67
0.7168 23.209 176.75
1.9995 23.094 174.68
5.1731 23.480 12.667
5.1769 23.374 11.114
5.1852 23.319 9.8028
5.1852 23.303 8.9391
5.1188 23.323 8.6343
4.8854 23.364 8.9899
4.5419 23.427 10.052
4.2294 23.482 11.520
3.9349 23.515 13.025
3.7446 23.560 14.532
3.6963 23.641 16.056
3.7046 23.751 17.319
3.7424 23.843 18.040
3.8843 23.908 18.294
4.2331 23.933 18.149
4.7495 23.911 17.675
5.0984 23.796 16.402
5.2493 23.635 14.619
5.1731 23.480 12.667
62.574 140.23 -121.2
61.139 139.88 -121.3
61.426 138.30 -122.8
63.025 135.55 -125.8
65.036 132.41 -129.3
66.356 131.16 -130.8
66.995 132.57 -129.5
66.934 136.64 -125.5
66.004 142.48 -119.8
64.534 147.91 -114.4
63.724 151.12 -111.3
64.495 151.78 -110.8
66.298 150.50 -112.2
68.441 147.60 -115.2
69.633 144.27 -118.6
69.369 141.64 -121.1
67.638 140.39 -122.0
65.094 140.14 -121.8
62.574 140.23 -121.2
16.747 -32.16 51.770
16.081 -29.18 53.294
13.272 -28.90 55.739
