19 frames
21 bones
-0.527 0 35.402
-7.520 0.2281 36.371
-14.51 0.5132 37.492
-21.50 0.8179 37.914
-28.49 1.1383 37.785
-35.49 1.4312 37.148
-42.48 1.6656 36.043
-49.47 1.7711 35.355
-56.47 1.7086 35.203
-63.46 1.5484 35.621
-70.45 1.3180 36.566
-77.45 1.0523 37.770
-84.44 0.7554 38.371
-91.43 0.4507 38.285
-98.42 0.1539 37.531
-105.4 -0.092 36.141
-112.4 -0.228 35.215
-119.4 -0.166 34.988
-126.4 0 35.402
8.9540 -6.605 95.809
7.6120 -8.649 94.925
4.5235 -9.579 95.323
1.1007 -9.199 96.541
-0.544 -7.608 98.145
-0.882 -5.091 99.384
-1.434 -2.120 99.814
-4.248 0.7107 99.075
-7.646 3.5584 97.429
-8.955 6.3860 95.737
-7.422 8.6000 94.925
-4.391 9.5771 95.465
-1.326 9.1236 96.704
0.4046 7.4430 98.095
0.9788 4.8388 99.218
1.5693 1.7810 99.692
3.8663 -1.166 99.046
7.1923 -3.927 97.529
8.9540 -6.605 95.809
2.2708 -80.50 -87.93
22.131 -84.14 -90.69
23.338 -89.85 -91.20
26.661 -95.31 -90.73
27.044 -97.44 -89.77
17.720 -96.61 -88.35
3.3908 -95.79 -86.12
-16.18 -97.80 -85.16
-35.68 -104.8 -82.17
-50.50 -114.8 -70.22
-50.92 -117.2 -61.41
-43.23 -108.1 -63.80
-37.21 -98.13 -67.50
-29.88 -89.90 -72.35
-28.29 -86.75 -76.31
-38.46 -87.70 -78.72
-33.62 -85.65 -79.43
-17.73 -80.12 -87.86
2.2708 -80.50 -87.93
0 28.740 0
0 7.1860 0
0 20.962 0
0 25.788 0
0 32.528 0
0 56.615 0
0 84.232 0
0 104.64 0
0 111.13 0
0 107.02 0
0 86.367 0
0 51.789 0
0 22.700 0
0 0 0
0 0 0
0 35.132 0
0 48.792 0
0 44.341 0
0 28.740 0
-4.283 -84.61 -4.855
-3.943 -63.66 -3.918
-4.179 -54.61 -5.012
-3.560 -36.91 -6.614
-2.450 -24.87 -7.055
-2.788 -27.95 -11.77
-2.927 -36.96 -17.55
-6.360 -42.32 -20.45
-13.07 -40.84 -20.97
-7.752 -42.48 -15.51
-4.050 -57.16 -15.26
-10.85 -65.49 -9.214
