19 frames
21 bones
-0.527 0 35.816
-5.472 -4.950 36.559
-10.41 -9.895 37.410
-15.36 -14.84 37.723
-20.30 -19.78 37.625
-25.25 -24.72 37.144
-30.19 -29.67 36.309
-35.14 -34.61 35.789
-40.08 -39.56 35.676
-45.02 -44.50 35.984
-49.97 -49.45 36.703
-54.92 -54.39 37.613
-59.86 -59.34 38.070
-64.80 -64.28 38.000
-69.75 -69.23 37.437
-74.69 -74.17 36.383
-79.64 -79.12 35.684
-84.58 -84.06 35.508
-89.53 -89.01 35.816
5.4433 -10.91 101.57
4.1578 -13.08 100.80
1.1182 -14.32 101.23
-2.261 -14.29 102.43
-3.905 -12.87 103.95
-4.267 -10.37 105.04
-4.835 -7.455 105.30
-7.618 -4.871 104.42
-10.98 -2.323 102.65
-12.29 0.4173 100.81
-10.79 2.7881 99.837
-7.786 4.0352 100.27
-4.757 3.8351 101.51
-3.054 2.2979 103.00
-2.494 -0.262 104.27
-1.909 -3.267 104.93
0.3580 -5.994 104.46
3.6615 -8.432 103.11
5.4433 -10.91 101.57
-18.16 -86.35 -71.08
-13.99 -86.74 -70.07
-11.68 -86.99 -71.34
-10.90 -86.16 -72.01
-14.15 -84.85 -72.04
-21.18 -85.25 -70.47
-29.15 -89.45 -66.32
-34.74 -100.7 -59.06
-31.93 -110.8 -53.36
-30.37 -122.0 -47.71
-32.04 -132.8 -42.34
-32.16 -133.0 -40.65
-32.40 -128.5 -41.24
-30.45 -120.2 -45.10
-31.10 -115.2 -48.56
-36.38 -114.5 -50.31
-34.03 -105.7 -54.12
-25.66 -93.25 -64.32
-18.16 -86.35 -71.08
0 53.676 0
0 62.907 0
0 70.753 0
0 79.248 0
0 86.177 0
0 94.077 0
0 106.86 0
0 117.50 0
0 118.12 0
0 113.35 0
0 97.963 0
0 75.569 0
0 51.748 0
0 29.092 0
0 21.567 0
0 37.299 0
0 47.659 0
0 50.083 0
0 53.676 0
-7.706 -81.78 1.6484
-12.71 -71.18 3.1877
-15.30 -59.01 4.8739
-16.13 -49.74 8.3901
-16.46 -42.38 10.835
-14.27 -37.49 12.032
-8.576 -41.58 10.304
-2.122 -50.29 5.5908
0.7146 -63.97 1.9225
-1.512 -76.58 -0.239
-4.244 -84.62 5.2639
-1.374 -88.86 10.001
1.1089 -88.67 12.518
0.0533 -80.76 11.212
-4.605 -72.28 6.8404
-8.559 -73.79 1.5977
-10.92 -78.55 -4.883
-8.815 -85.16 -2.533
-7.706 -81.78 1.6484
-50.00 -85.52 -78.39
-54.82 -95.34 -78.05
-52.40 -102.1 -79.66
-46.72 -108.2 -80.15
-38.63 -109.7 -79.75
-33.06 -109.2 -78.10
-37.92 -108.5 -75.03
-32.79 -104.4 -74.15
-17.09 -97.10 -74.42
0.4618 -87.68 -73.40
-0.587 -81.37 -72.22
-4.050 -75.08 -72.28
-5.769 -69.46 -73.67
-9.614 -68.24 -75.34
-15.53 -71.37 -76.54
-22.83 -75.29 -77.63
-30.62 -78.54 -78.27
-40.75 -80.80 -78.55
-50.00 -85.52 -78.39
0 101.95 0
0 87.707 0
0 64.781 0
0 40.421 0
0 20.228 0
0 9.6204 0
0 32.076 0
0 42.551 0
0 32.450 0
0 11.874 0
0 22.293 0
0 35.856 0
0 46.922 0
0 59.604 0
0 73.577 0
0 86.246 0
0 96.580 0
0 103.95 0
0 101.95 0
8.2643 -72.49 -10.86
9.2445 -77.54 -19.59
6.8216 -76.11 -25.69
8.7165 -69.51 -24.69
5.2099 -57.08 -12.04
-8.950 -46.61 3.9037
-10.55 -63.51 3.8547
-5.334 -78.83 -2.197
-1.260 -87.45 -7.079
0.9937 -79.13 -12.68
5.3219 -64.46 -20.88
14.564 -53.41 -22.26
19.817 -44.27 -15.34
19.968 -43.30 -10.29
16.949 -49.92 -8.630
13.466 -58.23 -13.12
9.0152 -63.36 -18.36
6.1080 -67.18 -14.12
8.2643 -72.49 -10.86
7.3813 98.997 90.943
7.6087 97.639 91.462
8.2649 94.543 91.835
9.1226 91.108 91.997
9.7835 89.452 91.863
10.013 89.104 91.503
9.6086 88.543 90.984
8.7076 85.698 90.366
7.8001 82.290 89.716
7.3813 81.002 89.082
7.6814 82.551 88.537
8.3450 85.590 88.148
9.0849 88.665 88.002
9.6795 90.407 88.145
9.9280 90.990 88.521
9.5792 91.592 89.050
8.7527 93.912 89.675
7.8517 97.254 90.318
7.3813 98.997 90.943
2.0036 0.9236 6.5019
1.9254 1.3822 7.6094
1.6610 1.1570 7.9526
1.2401 0.4985 7.6599
0.7100 -0.361 6.6562
0.1290 -1.028 4.7961
-0.543 -1.262 2.0649
-1.240 -0.858 -1.175
-1.722 0.0466 -4.186
-1.857 0.9593 -6.369
-1.754 1.3822 -7.584
-1.463 1.0835 -7.962
-1.040 0.4202 -7.626
-0.528 -0.323 -6.476
0.0246 -0.924 -4.408
0.6948 -1.177 -1.527
1.4042 -0.828 1.6655
1.8835 0 4.4745
2.0036 0.9236 6.5019
-0.312 9.1224 4.5598
-0.447 9.5641 6.5413
-0.521 9.3290 7.6425
-0.545 8.6682 7.9782
-0.523 7.8131 7.6745
-0.455 7.1614 6.6597
-0.327 6.9436 4.7890
-0.140 7.3603 2.0476
0.0817 8.2639 -1.204
0.2891 9.1605 -4.221
0.4373 9.5655 -6.403
0.5197 9.2556 -7.614
0.5459 8.5892 -7.983
0.5211 7.8527 -7.636
0.4422 7.2674 -6.476
0.3000 7.0316 -4.397
0.1030 7.3916 -1.505
-0.115 8.2174 1.6980
-0.312 9.1224 4.5598
-0.863 13.445 3.3167
-1.237 13.417 4.7577
-1.446 13.399 5.5602
-1.508 13.393 5.8039
-1.451 13.399 5.5837
-1.260 13.415 4.8436
-0.907 13.442 3.4826
-0.387 13.464 1.4880
0.2279 13.467 -0.875
0.7992 13.448 -3.071
1.2126 13.419 -4.658
1.4413 13.399 -5.541
1.5099 13.392 -5.809
1.4454 13.399 -5.556
1.2256 13.419 -4.713
0.8322 13.446 -3.200
0.2856 13.466 -1.095
-0.321 13.465 1.2340
-0.863 13.445 3.3167
1.9995 23.094 174.68
2.5722 23.039 173.96
2.9595 23.025 173.86
3.2706 23.043 174.16
3.4731 23.085 174.80
3.4566 23.146 175.75
