19 frames
21 bones
-0.527 0 35.309
-5.475 4.9384 36.055
-10.42 9.8831 36.914
-15.36 14.831 37.230
-20.31 19.776 37.137
-25.25 24.721 36.648
-30.19 29.665 35.801
-35.14 34.606 35.277
-40.08 39.551 35.160
-45.03 44.500 35.476
-49.97 49.444 36.203
-54.92 54.389 37.121
-59.86 59.334 37.582
-64.81 64.275 37.516
-69.75 69.219 36.941
-74.70 74.164 35.875
-79.64 79.109 35.168
-84.59 84.054 34.996
-89.53 88.998 35.309
11.294 -0.629 101.86
9.9844 -2.827 100.86
6.9335 -4.087 101.17
3.5609 -4.054 102.37
1.9475 -2.627 104.04
1.6209 -0.142 105.38
1.0793 2.7681 105.94
-1.677 5.3023 105.33
-5.036 7.7564 103.82
-6.366 10.424 102.27
-4.891 12.801 101.54
-1.912 14.125 102.10
1.1070 14.028 103.31
2.8221 12.541 104.64
3.4039 9.9972 105.66
3.9995 6.9962 106.00
6.2587 4.2919 105.25
9.5383 1.8744 103.66
11.294 -0.629 101.86
-25.01 -84.61 -91.84
-16.13 -93.65 -93.20
-8.773 -103.8 -92.27
-2.300 -112.9 -90.41
-3.002 -117.9 -88.34
-11.30 -119.8 -86.19
-19.67 -120.3 -83.76
-29.78 -120.4 -81.06
-37.39 -118.6 -77.94
-43.85 -114.7 -74.04
-53.28 -108.4 -69.29
-56.62 -99.43 -68.66
-56.07 -86.32 -73.60
-49.37 -76.39 -80.52
-40.51 -71.46 -85.98
-40.70 -70.93 -89.47
-40.31 -73.25 -88.10
-33.80 -76.21 -93.99
-25.01 -84.61 -91.84
0 49.862 0
0 44.102 0
0 36.139 0
0 28.636 0
0 35.083 0
0 58.285 0
0 79.934 0
0 98.839 0
0 105.99 0
0 104.74 0
0 96.609 0
0 79.618 0
0 57.842 0
0 34.902 0
0 17.211 0
0 25.499 0
0 41.253 0
0 49.735 0
0 49.862 0
-8.995 -81.53 -0.044
-8.652 -70.46 0.2518
-7.839 -53.12 -2.699
-8.614 -37.90 -9.560
-7.388 -30.92 -17.42
-5.860 -33.58 -25.70
-3.360 -40.00 -30.87
-0.022 -47.25 -31.30
-0.535 -53.74 -27.69
-2.699 -62.11 -21.80
-1.789 -62.87 -17.53
-1.681 -62.54 -16.13
-14.41 -60.59 -7.875
-20.31 -58.07 7.9908
-16.51 -52.25 7.4466
-12.12 -58.41 0.8187
-7.701 -69.93 -10.16
-3.291 -80.09 -4.994
-8.995 -81.53 -0.044
-51.65 -33.04 -146.0
-49.60 -29.26 -147.8
-45.17 -38.78 -142.8
-43.08 -47.41 -139.2
-41.90 -54.29 -135.2
-41.07 -59.80 -130.5
-43.47 -62.37 -127.4
-44.41 -69.16 -125.4
-36.94 -86.10 -111.9
-20.70 -98.13 -107.0
-11.12 -102.5 -102.6
4.7960 -105.9 -100.8
4.3402 -105.0 -99.84
-6.902 -103.1 -99.27
-15.34 -101.5 -100.8
-27.28 -96.05 -105.6
-40.60 -80.80 -115.7
-48.71 -56.24 -131.6
-51.65 -33.04 -146.0
0 113.84 0
0 97.506 0
0 74.016 0
0 56.339 0
0 39.451 0
0 26.299 0
0 29.233 0
0 46.987 0
0 49.149 0
0 37.941 0
0 34.934 0
0 16.101 0
0 27.575 0
0 54.797 0
0 67.719 0
0 85.980 0
0 104.93 0
0 114.68 0
0 113.84 0
-7.273 -60.56 0.0910
-8.036 -65.28 1.3725
-8.720 -71.87 4.5243
-8.145 -77.29 8.1910
-6.706 -78.79 11.309
-6.456 -71.59 12.157
-7.554 -60.85 9.1300
-1.684 -67.66 5.7305
-1.931 -80.21 2.7008
0.2926 -86.49 5.4252
5.8964 -84.77 12.037
3.8625 -62.23 22.308
3.4663 -50.40 13.350
11.609 -46.45 8.2073
10.472 -42.49 3.9114
5.1704 -46.49 -0.601
-4.983 -52.55 -2.195
-8.352 -57.20 -0.448
-7.273 -60.56 0.0910
4.4094 98.997 90.943
4.6368 97.639 91.462
5.2930 94.543 91.835
6.1545 91.108 91.997
6.8162 89.452 91.863
7.0472 89.104 91.503
6.6404 88.543 90.984
5.7366 85.698 90.366
4.8291 82.290 89.716
4.4094 81.002 89.082
4.7104 82.551 88.537
5.3740 85.590 88.148
6.1158 88.665 88.002
6.7113 90.407 88.145
6.9616 90.990 88.521
6.6110 91.592 89.050
5.7836 93.912 89.675
4.8807 97.254 90.318
4.4094 98.997 90.943
2.0036 0.9798 6.5019
1.9254 1.4399 7.6094
1.6610 1.2147 7.9526
1.2401 0.5548 7.6599
0.7100 -0.309 6.6562
0.1290 -0.977 4.7961
-0.543 -1.212 2.0649
-1.240 -0.806 -1.175
-1.722 0.1009 -4.186
-1.857 1.0163 -6.369
-1.754 1.4399 -7.584
-1.463 1.1412 -7.962
-1.040 0.4752 -7.626
-0.528 -0.271 -6.476
0.0246 -0.872 -4.408
0.6948 -1.126 -1.527
1.4042 -0.776 1.6655
1.8835 0.0556 4.4745
2.0036 0.9798 6.5019
-0.312 9.1799 4.5598
-0.447 9.6224 6.5413
-0.521 9.3866 7.6425
-0.545 8.7237 7.9782
-0.523 7.8659 7.6745
-0.455 7.2126 6.6597
-0.327 6.9942 4.7890
-0.140 7.4124 2.0476
0.0817 8.3180 -1.204
0.2891 9.2174 -4.221
0.4373 9.6231 -6.403
0.5197 9.3124 -7.614
0.5459 8.6439 -7.983
0.5211 7.9054 -7.636
0.4422 7.3187 -6.476
0.3000 7.0823 -4.397
0.1030 7.4428 -1.505
-0.115 8.2716 1.6980
-0.312 9.1799 4.5598
-0.863 13.445 3.3167
-1.237 13.417 4.7577
-1.446 13.399 5.5602
-1.508 13.393 5.8039
-1.451 13.399 5.5837
-1.260 13.415 4.8436
-0.907 13.442 3.4826
-0.387 13.464 1.4880
0.2279 13.467 -0.875
0.7992 13.448 -3.071
1.2126 13.419 -4.658
1.4413 13.399 -5.541
1.5099 13.392 -5.809
1.4454 13.399 -5.556
1.2256 13.419 -4.713
0.8322 13.446 -3.200
0.2856 13.466 -1.095
-0.321 13.465 1.2340
-0.863 13.445 3.3167
1.9995 23.094 174.68
2.5722 23.039 173.96
2.9595 23.025 173.86
3.2706 23.043 174.16
3.4738 23.086 174.80
3.4566 23.146 175.75
3.0549 23.216 177.15
2.0668 23.272 179.23
0.6955 23.265 181.58
-0.762 23.193 183.69
-1.856 23.113 185.04
-2.339 23.080 185.46
-2.559 23.083 185.36
-2.583 23.116 184.80
-2.410 23.171 183.77
-1.950 23.235 182.18
-0.816 23.271 179.67
0.7168 23.209 176.75
1.9995 23.094 174.68
0 23.221 -6.672
-0.340 23.242 -7.913
-0.826 23.289 -8.810
-1.419 23.336 -9.381
-2.037 23.378 -9.575
-2.546 23.389 -9.268
-2.801 23.352 -8.099
-2.630 23.250 -5.474
-2.111 23.138 -2.051
-1.403 23.079 1.2072
-0.828 23.077 3.2563
-0.483 23.107 4.0667
-0.121 23.154 4.5264
0.2453 23.199 4.5312
0.5949 23.227 3.9192
0.8470 23.221 2.4483
0.7466 23.189 -0.476
0.4031 23.191 -4.093
0 23.221 -6.672
62.574 140.23 -121.2
61.139 139.88 -121.3
61.426 138.30 -122.8
63.025 135.55 -125.8
65.036 132.41 -129.3
66.356 131.16 -130.8
66.995 132.57 -129.5
66.934 136.64 -125.5
66.004 142.48 -119.8
64.534 147.91 -114.4
63.724 151.12 -111.3
64.495 151.78 -110.8
66.298 150.50 -112.2
68.441 147.60 -115.2
69.633 144.27 -118.6
69.369 141.64 -121.1
67.638 140.39 -122.0
65.094 140.14 -121.8
62.574 140.23 -121.2
5.1606 -39.83 80.716
8.5185 -33.79 80.286
10.477 -31.08 79.753
10.947 -31.82 80.243
9.7397 -35.02 81.310
6.9557 -38.76 81.315
3.0460 -42.16 79.557
-1.721 -44.04 75.849
-7.150 -43.28 71.167
-12.74 -40.65 67.455
-18.17 -39.67 66.714
-22.53 -42.57 69.518
-24.63 -47.52 73.574
-23.92 -52.17 75.610
-20.51 -55.14 75.784
-14.68 -56.09 76.563
-7.286 -53.50 78.212
-0.213 -47.44 79.960
5.1606 -39.83 80.716
0 -98.07 0
0 -102.2 0
0 -106.2 0
0 -109.5 0
0 -110.6 0
0 -110.1 0
0 -108.7 0
0 -107.0 0
0 -104.9 0
0 -102.6 0
0 -99.26 0
0 -94.99 0
0 -91.15 0
0 -88.50 0
0 -87.34 0
0 -88.17 0
0 -90.65 0
0 -94.06 0
0 -98.07 0
2.2097 2.9299 -89.35
2.2141 2.5530 -89.36
2.2250 1.6821 -89.40
2.2795 -5.242 -89.66
2.2992 -9.672 -89.84
2.3013 -10.62 -89.88
2.3013 -11.02 -89.89
2.3013 -11.10 -89.89
2.3013 -10.89 -89.88
2.2992 -10.34 -89.87
2.2970 -9.243 -89.82
2.2708 -3.684 -89.61
2.2315 0.9316 -89.42
2.2206 2.0050 -89.38
2.2141 2.5582 -89.36
2.2097 2.8881 -89.35
2.2075 3.0539 -89.34
2.2075 3.0766 -89.34
2.2097 2.9299 -89.35
-64.82 146.23 111.91
-64.07 149.28 108.97
-64.88 149.97 108.44
-66.90 148.66 109.93
-69.17 145.84 112.91
-70.20 142.83 115.93
-69.89 140.21 118.41
-68.36 138.44 119.89
-65.87 137.86 120.00
-63.23 137.99 119.35
-61.69 137.65 119.33
-61.96 136.11 120.85
-63.42 133.70 123.48
-65.42 130.82 126.71
-66.94 129.34 128.48
-67.63 130.69 127.30
-67.34 135.14 122.90
-66.24 141.01 117.06
-64.82 146.23 111.91
10.174 -29.69 -59.95
15.231 -29.42 -59.67
19.579 -32.93 -62.80
21.958 -38.02 -66.43
21.952 -43.12 -68.58
19.739 -47.15 -69.86
15.449 -49.88 -72.19
9.4392 -50.16 -75.87
3.0581 -47.13 -79.90
-2.147 -41.96 -82.79
-5.576 -37.47 -84.02
-7.520 -35.42 -84.42
-8.274 -33.56 -83.74
-7.939 -32.24 -82.16
-6.470 -32.68 -79.66
-3.793 -33.98 -75.72
0.2902 -34.47 -70.24
5.2818 -32.87 -64.44
10.174 -29.69 -59.95
0 -102.8 0
0 -99.30 0
0 -94.82 0
0 -90.80 0
0 -88.03 0
0 -86.83 0
0 -87.72 0
0 -90.33 0
0 -93.91 0
0 -98.06 0
0 -102.4 0
0 -106.6 0
0 -110.0 0
0 -111.2 0
0 -110.7 0
0 -109.3 0
0 -107.4 0
0 -105.3 0
0 -102.8 0
5.2308 -7.772 88.951
5.2505 -6.628 89.057
5.3185 -0.852 89.590
5.3352 3.8161 90.023
5.3337 4.9097 90.128
5.3322 5.4773 90.174
5.3306 5.8148 90.199
5.3306 5.9867 90.216
5.3306 6.0054 90.216
5.3306 5.8563 90.203
5.3322 5.4731 90.174
5.3337 4.5825 90.098
5.3065 -2.447 89.443
5.2429 -7.071 89.019
5.2262 -8.053 88.926
5.2172 -8.472 88.888
5.2157 -8.552 88.880
5.2202 -8.341 88.905
5.2308 -7.772 88.951
