19 frames
21 bones
-0.527 0 33.789
5.1297 -0.221 34.258
10.790 -0.396 34.891
16.451 -0.490 35.684
22.112 -0.400 36.184
27.773 -0.248 36.156
33.434 -0.057 35.555
39.095 0.1695 34.394
44.756 0.3961 33.680
50.417 0.6226 33.523
56.078 0.8414 33.867
61.739 1.0133 34.617
67.400 1.0953 35.582
73.065 1.0250 36.027
78.722 0.8726 35.625
84.387 0.6734 34.480
90.044 0.4547 33.707
95.705 0.2242 33.527
101.37 0 33.789
8.9678 -6.765 94.786
7.6208 -8.785 93.905
4.5310 -9.662 94.309
1.1019 -9.222 95.528
-0.545 -7.602 97.134
-0.884 -5.074 98.370
-1.440 -2.096 98.804
-4.260 0.7907 98.062
-7.662 3.6951 96.406
-8.969 6.5494 94.710
-7.433 8.7334 93.902
-4.397 9.6571 94.451
-1.329 9.1536 95.690
0.4058 7.4330 97.085
0.9826 4.8221 98.208
1.5731 1.7544 98.678
3.8776 -1.233 98.032
7.2074 -4.057 96.508
8.9678 -6.765 94.786
-33.30 -82.75 -87.45
-39.42 -80.25 -91.12
-42.54 -80.76 -92.31
-41.78 -83.30 -92.33
-45.63 -85.06 -91.88
-50.00 -86.82 -90.06
-55.40 -90.49 -85.79
-59.62 -100.7 -74.21
-56.23 -112.8 -60.41
-49.63 -116.4 -55.86
-42.50 -114.3 -56.31
-34.12 -108.5 -60.00
-25.64 -101.9 -65.10
-18.30 -97.11 -70.36
-11.33 -94.35 -75.31
-5.428 -93.06 -79.27
-10.12 -92.40 -79.46
-22.99 -86.05 -87.05
-33.30 -82.75 -87.45
0 57.630 0
0 50.254 0
0 37.610 0
0 21.671 0
0 15.803 0
0 17.284 0
0 30.735 0
0 54.818 0
0 74.806 0
0 88.813 0
0 96.948 0
0 97.228 0
0 89.459 0
0 78.571 0
0 64.645 0
0 52.534 0
0 51.676 0
0 56.624 0
0 57.630 0
-7.100 -84.78 -3.906
-5.297 -68.28 -4.587
-4.320 -50.68 -5.775
-2.834 -32.70 -6.381
-4.341 -31.87 -2.819
-5.104 -36.35 1.0639
-5.485 -42.09 2.4574
-6.173 -50.75 -1.904
-2.444 -54.89 -11.26
4.6227 -55.02 -14.71
6.5266 -50.65 -13.24
4.0928 -45.01 -12.36
-0.765 -41.22 -12.94
-7.085 -45.25 -12.43
-12.61 -58.73 -7.835
-14.48 -79.16 -0.988
-13.88 -95.17 0.2673
-6.294 -96.00 -1.018
-7.100 -84.78 -3.906
-51.28 -55.92 -126.8
-35.55 -63.06 -119.7
-18.35 -70.40 -114.9
-9.599 -76.44 -111.9
-6.640 -81.25 -108.6
-6.935 -83.76 -104.8
-9.879 -85.47 -101.2
-15.25 -87.77 -100.9
-23.30 -94.92 -93.00
-34.28 -97.40 -93.03
-40.98 -99.96 -88.92
-40.95 -100.0 -85.59
-44.17 -97.96 -84.15
-46.64 -94.79 -85.60
-52.96 -91.83 -88.56
-60.35 -86.48 -95.34
-64.40 -72.28 -112.6
-60.71 -57.44 -128.1
-51.28 -55.92 -126.8
0 86.576 0
0 93.158 0
0 88.210 0
0 79.076 0
0 68.903 0
0 60.719 0
0 56.214 0
0 55.626 0
0 55.385 0
0 58.851 0
0 52.160 0
0 31.540 0
0 18.859 0
0 10.167 0
0 19.403 0
0 32.873 0
0 52.088 0
0 70.964 0
0 86.576 0
1.3152 -50.13 4.0194
5.8135 -55.27 7.1025
10.698 -52.99 12.057
12.541 -46.48 15.097
11.484 -48.36 11.146
9.2247 -55.55 6.4056
8.2726 -67.15 3.0323
9.2839 -81.19 2.6212
2.7289 -94.00 0.4640
3.4446 -87.12 3.9136
0.8817 -71.68 5.3008
-0.228 -50.39 4.3651
3.6810 -36.66 -1.382
8.1699 -28.93 -7.929
7.4636 -35.35 -10.73
5.2368 -39.91 -9.709
