19 frames
21 bones
-0.527 0 34.558
3.0007 -3.534 35.074
6.5327 -7.066 35.887
10.064 -10.59 36.180
13.596 -14.13 35.758
17.128 -17.66 34.844
20.660 -21.19 34.141
24.192 -24.73 33.777
27.724 -28.25 33.762
31.256 -31.79 34.297
34.788 -35.32 35.230
38.320 -38.85 36.019
41.852 -42.38 36.207
45.384 -45.92 35.891
48.916 -49.45 35.250
52.448 -52.98 34.641
55.980 -56.51 34.305
59.512 -60.04 34.301
63.048 -63.58 34.558
6.0602 -6.815 94.541
4.7245 -8.815 93.762
1.6385 -9.679 94.213
-1.793 -9.232 95.409
-3.455 -7.608 96.932
-3.812 -5.077 98.039
-4.375 -2.086 98.320
-7.201 0.8374 97.426
-10.60 3.8018 95.614
-11.89 6.7028 93.766
-10.33 8.8768 92.851
-7.295 9.7538 93.358
-4.229 9.1869 94.630
-2.504 7.4396 96.114
-1.941 4.8121 97.370
-1.355 1.7344 97.999
0.9461 -1.269 97.505
4.2860 -4.110 96.124
6.0602 -6.815 94.541
-33.99 -76.09 -106.4
-33.71 -69.53 -110.3
-28.62 -70.04 -110.2
-25.55 -72.69 -107.7
-37.58 -71.19 -103.5
-48.77 -72.83 -97.34
-54.89 -78.42 -89.66
-56.40 -88.44 -81.49
-53.90 -99.14 -75.01
-48.42 -105.2 -73.07
-42.15 -106.5 -74.59
-37.24 -105.3 -77.58
-34.12 -103.6 -81.56
-31.90 -102.6 -86.00
-30.47 -102.3 -90.41
-27.23 -100.8 -94.40
-27.37 -97.58 -94.97
-30.15 -86.17 -104.3
-33.99 -76.09 -106.4
0 52.710 0
0 43.127 0
0 23.585 0
0 9.2986 0
0 29.472 0
0 51.681 0
0 68.189 0
0 81.288 0
0 90.836 0
0 95.169 0
0 94.519 0
0 91.427 0
0 88.227 0
0 83.491 0
0 77.691 0
0 63.192 0
0 55.775 0
0 54.746 0
0 52.710 0
-14.89 -77.68 -9.239
-10.87 -64.60 -13.16
-8.437 -48.85 -16.60
-8.026 -37.96 -16.26
-9.471 -46.32 -12.21
-9.665 -59.52 -5.945
-6.602 -70.92 -0.550
-2.360 -79.11 3.3605
0.7948 -82.95 6.3997
2.5704 -80.19 8.8504
3.6580 -73.90 10.873
4.0639 -67.94 12.607
1.6259 -62.81 13.091
-4.193 -57.03 9.9821
-10.28 -54.45 3.2674
-14.20 -73.06 -1.470
-20.41 -89.10 -2.673
-16.24 -88.38 -2.906
-14.89 -77.68 -9.239
-31.04 -42.42 -141.6
-24.44 -50.14 -139.6
-18.36 -60.69 -137.7
-13.27 -71.10 -135.6
-9.719 -78.10 -133.1
-7.427 -82.00 -130.3
-5.935 -84.91 -127.1
-4.885 -87.96 -125.7
-8.216 -90.56 -119.6
-14.88 -85.32 -119.4
-19.15 -80.88 -117.0
-19.85 -76.67 -116.4
-15.79 -75.75 -115.9
-24.14 -69.75 -118.0
-34.67 -61.32 -124.0
-41.21 -51.77 -132.4
-41.55 -44.29 -139.0
-37.48 -40.30 -142.3
-31.04 -42.42 -141.6
0 93.086 0
0 93.661 0
0 88.126 0
0 79.326 0
0 71.331 0
0 65.316 0
0 58.955 0
0 52.023 0
0 46.786 0
0 48.436 0
0 40.884 0
0 24.419 0
0 0 0
0 9.9546 0
0 32.462 0
0 57.100 0
0 74.656 0
0 86.584 0
0 93.086 0
6.9699 -60.61 0.6974
13.788 -56.25 1.6026
20.704 -52.50 4.2157
24.587 -50.93 6.0599
27.459 -52.77 6.3794
28.748 -58.47 4.5243
24.408 -64.53 1.6549
15.594 -84.34 -1.361
7.7053 -95.96 -2.233
10.140 -87.51 -2.622
10.032 -74.68 -4.024
10.707 -57.91 -5.093
10.261 -38.97 -5.772
9.3337 -41.11 -7.362
8.3494 -51.76 -8.449
7.3070 -62.34 -7.085
6.1464 -65.71 -3.769
5.5656 -64.50 -0.573
6.9699 -60.61 0.6974
4.4518 98.997 90.044
4.6717 97.639 89.955
5.3123 94.543 89.888
6.1508 91.108 89.866
6.7978 89.452 89.891
7.0214 89.104 89.955
6.6257 88.543 90.041
5.7440 85.698 90.146
4.8595 82.290 90.254
4.4518 81.002 90.359
4.7435 82.551 90.446
5.3906 85.590 90.509
6.1122 88.665 90.538
6.6929 90.407 90.516
6.9368 90.990 90.452
6.5953 91.592 90.366
5.7872 93.912 90.261
4.9092 97.254 90.152
4.4518 98.997 90.044
1.7887 0.9393 -0.980
1.6726 1.3843 -1.146
1.3987 1.1632 -1.188
0.9881 0.5219 -1.126
0.4923 -0.316 -0.944
-0.025 -0.963 -0.634
-0.607 -1.188 -0.206
-1.199 -0.792 0.2639
-1.582 0.0885 0.6719
-1.646 0.9751 0.9546
-1.503 1.3843 1.1074
-1.201 1.0918 1.1449
-0.788 0.4442 1.0915
-0.315 -0.277 0.9315
0.1702 -0.858 0.6532
0.7463 -1.102 0.2480
1.3500 -0.761 -0.226
1.7345 0.0446 -0.667
1.7887 0.9393 -0.980
0.0418 9.1619 -0.621
0.0631 9.6064 -0.927
0.0741 9.3845 -1.096
0.0775 8.7424 -1.147
0.0741 7.9040 -1.096
0.0631 7.2584 -0.929
0.0425 7.0331 -0.633
0.0151 7.4297 -0.222
-0.015 8.3110 0.2284
-0.041 9.1966 0.6247
-0.061 9.6064 0.9054
-0.072 9.3131 1.0614
-0.074 8.6654 1.1087
-0.072 7.9429 1.0656
-0.063 7.3625 0.9221
-0.044 7.1190 0.6581
-0.018 7.4609 0.2702
0.0123 8.2681 -0.188
0.0418 9.1619 -0.621
0.0851 13.469 -0.329
0.1552 13.468 -0.594
0.1929 13.467 -0.742
0.2039 13.467 -0.785
0.1929 13.467 -0.741
0.1552 13.468 -0.596
0.0872 13.469 -0.338
0 13.469 0.0161
-0.106 13.468 0.4096
-0.196 13.467 0.7539
-0.258 13.467 0.9976
-0.294 13.466 1.1334
-0.304 13.465 1.1738
-0.295 13.466 1.1378
-0.262 13.467 1.0131
-0.203 13.467 0.7825
-0.115 13.468 0.4455
-0.011 13.469 0.0454
0.0851 13.469 -0.329
-1.805 23.286 179.58
-1.973 23.286 179.82
-1.843 23.281 180.04
-1.506 23.273 180.31
-1.027 23.266 180.60
-0.481 23.262 180.82
0.1037 23.264 180.95
0.7738 23.271 180.89
1.3953 23.280 180.68
1.7537 23.285 180.45
1.8175 23.285 180.30
1.7489 23.282 180.18
1.5587 23.278 180.04
1.2387 23.272 179.89
0.7711 23.267 179.68
0.1455 23.265 179.48
-0.596 23.269 179.39
-1.334 23.279 179.39
-1.805 23.286 179.58
4.0995 23.280 8.2254
4.6182 23.344 10.298
4.6552 23.413 11.433
4.2294 23.444 11.510
3.3513 23.417 10.301
2.0089 23.325 7.3811
0.4295 23.242 3.4474
-1.087 23.191 -0.401
-2.468 23.179 -4.253
-3.432 23.211 -7.398
-3.926 23.266 -9.461
-4.037 23.323 -10.41
-3.734 23.348 -10.17
-2.954 23.325 -8.571
-1.607 23.266 -5.341
0.0550 23.221 -1.403
1.6503 23.205 2.1362
3.0893 23.225 5.3465
4.0995 23.280 8.2254
64.509 147.99 -114.3
63.729 151.16 -111.3
64.518 151.78 -110.8
66.337 150.46 -112.3
68.474 147.54 -115.3
69.640 144.21 -118.6
69.353 141.60 -121.1
67.599 140.38 -122.0
65.046 140.14 -121.8
62.574 140.23 -121.2
61.139 139.88 -121.3
61.426 138.30 -122.8
63.025 135.55 -125.8
65.036 132.41 -129.3
66.356 131.16 -130.8
66.995 132.57 -129.5
66.934 136.64 -125.5
66.004 142.48 -119.8
64.509 147.99 -114.3
-19.54 -26.06 58.210
-23.78 -24.34 59.457
-27.86 -27.81 63.763
-30.82 -34.76 69.600
-31.48 -42.22 73.454
-29.66 -48.01 74.695
-25.42 -51.72 75.082
-19.31 -52.30 74.831
-12.83 -49.89 73.939
-7.505 -45.79 72.332
-3.828 -42.11 70.209
-1.421 -40.30 68.146
-0.216 -40.43 66.616
-0.680 -41.56 65.653
-2.942 -41.66 64.395
-6.587 -40.03 62.827
-10.96 -36.40 60.976
-15.34 -31.22 59.207
-19.54 -26.06 58.210
0 -102.6 0
0 -99.18 0
0 -94.92 0
0 -91.09 0
0 -88.46 0
0 -87.33 0
0 -88.20 0
0 -90.70 0
0 -94.13 0
0 -98.07 0
0 -102.2 0
0 -106.2 0
0 -109.5 0
0 -110.6 0
0 -110.1 0
0 -108.7 0
0 -107.0 0
0 -104.9 0
0 -102.6 0
2.2992 -10.33 -89.87
2.2970 -9.213 -89.82
2.2708 -3.525 -89.60
2.2293 0.9613 -89.42
2.2206 2.0172 -89.38
2.2141 2.5652 -89.36
2.2097 2.8916 -89.35
2.2075 3.0574 -89.34
2.2075 3.0766 -89.34
2.2097 2.9299 -89.35
2.2141 2.5530 -89.36
2.2250 1.6821 -89.40
2.2795 -5.242 -89.66
2.2992 -9.672 -89.84
2.3013 -10.62 -89.88
2.3013 -11.02 -89.89
2.3013 -11.10 -89.89
2.3013 -10.89 -89.88
2.2992 -10.33 -89.87
-63.19 137.99 119.34
-61.68 137.63 119.35
-61.98 136.07 120.89
-63.46 133.65 123.54
-65.46 130.78 126.76
-66.96 129.34 128.48
-67.64 130.74 127.24
-67.32 135.24 122.80
-66.22 141.11 116.96
-64.82 146.23 111.91
-64.07 149.28 108.97
-64.88 149.97 108.44
-66.90 148.66 109.93
-69.17 145.84 112.91
-70.20 142.83 115.93
-69.89 140.21 118.41
-68.36 138.44 119.89
-65.87 137.86 120.00
-63.19 137.99 119.34
0.3733 -49.78 -84.23
-2.646 -45.67 -84.56
-4.298 -43.39 -84.05
-5.135 -40.96 -81.63
-5.391 -38.81 -78.11
-4.575 -37.70 -74.41
-2.250 -36.57 -70.60
1.4886 -34.25 -66.71
5.8034 -30.78 -63.18
9.7697 -27.28 -60.65
14.010 -27.40 -61.18
17.920 -31.93 -64.70
20.625 -38.90 -69.46
21.385 -46.17 -73.26
20.025 -51.88 -75.85
16.459 -55.60 -78.27
11.078 -56.56 -80.68
5.2098 -54.30 -82.84
0.3733 -49.78 -84.23
0 -98.13 0
0 -102.5 0
0 -106.7 0
0 -110.1 0
0 -111.2 0
0 -110.7 0
0 -109.2 0
0 -107.4 0
0 -105.3 0
0 -102.8 0
0 -99.30 0
0 -94.82 0
0 -90.80 0
0 -88.03 0
0 -86.83 0
0 -87.72 0
0 -90.33 0
0 -93.91 0
0 -98.13 0
5.3306 5.8521 90.203
5.3322 5.4628 90.170
5.3352 4.5535 90.090
5.3034 -2.625 89.430
5.2429 -7.096 89.019
5.2262 -8.066 88.930
5.2172 -8.476 88.888
5.2157 -8.552 88.880
5.2202 -8.335 88.901
5.2308 -7.772 88.956
5.2505 -6.628 89.057
5.3185 -0.852 89.590
5.3352 3.8161 90.023
5.3337 4.9097 90.128
5.3322 5.4773 90.174
5.3306 5.8148 90.203
5.3306 5.9867 90.216
5.3306 6.0054 90.216
5.3306 5.8521 90.203
