19 frames
21 bones
-0.527 0 34.926
3.0007 3.5257 35.523
6.5327 7.0577 36.398
10.064 10.589 36.883
13.596 14.121 36.852
17.128 17.653 36.277
20.660 21.185 35.504
24.196 24.717 35.121
27.724 28.249 35.047
31.256 31.781 35.238
34.788 35.313 35.762
38.320 38.849 36.387
41.852 42.377 36.691
45.384 45.909 36.684
48.920 49.441 36.414
52.452 52.973 35.523
55.980 56.505 34.832
59.512 60.037 34.664
63.048 63.569 34.926
10.304 -11.35 96.005
8.9553 -13.40 95.071
5.8629 -14.34 95.445
2.4464 -13.97 96.671
0.8079 -12.38 98.314
0.4812 -9.869 99.612
-0.056 -6.901 100.11
-2.858 -4.087 99.446
-6.251 -1.273 97.866
-7.560 1.5343 96.243
-6.035 3.7584 95.485
-3.005 4.7654 96.048
0.0552 4.3419 97.273
1.7880 2.6781 98.628
2.3635 0.0738 99.688
2.9528 -2.980 100.08
5.2410 -5.914 99.370
8.5557 -8.669 97.787
10.304 -11.35 96.005
-27.36 -92.05 -66.79
-30.62 -95.03 -71.63
-31.95 -100.6 -69.96
-34.92 -107.7 -69.05
-39.68 -114.1 -64.85
-45.31 -119.7 -58.91
-46.85 -122.3 -54.76
-44.44 -122.9 -53.42
-39.25 -121.6 -53.35
-32.64 -117.5 -53.05
-26.50 -110.9 -52.42
-21.99 -103.2 -52.27
-18.86 -96.04 -53.55
-16.46 -90.96 -56.15
-14.42 -88.19 -59.40
-14.18 -87.33 -62.73
-16.54 -87.32 -65.59
-21.70 -88.26 -67.71
-27.36 -92.05 -66.79
0 48.286 0
0 38.256 0
0 27.219 0
0 18.046 0
0 21.540 0
0 39.086 0
0 55.256 0
0 67.936 0
0 77.768 0
0 83.004 0
0 82.868 0
0 78.029 0
0 70.125 0
0 60.858 0
0 51.699 0
0 47.699 0
0 47.433 0
0 49.284 0
0 48.286 0
-7.807 -82.72 -0.980
-6.818 -67.00 3.0728
-7.153 -48.03 3.4070
-6.930 -31.32 6.1577
-4.727 -36.31 9.9946
0.1537 -53.37 12.025
3.4048 -63.53 10.033
6.8108 -68.14 8.5504
9.2669 -64.98 9.3956
7.6280 -57.65 12.333
-3.116 -50.08 12.793
-13.94 -41.69 8.1977
-18.71 -35.48 4.0784
-19.82 -38.09 4.3174
-15.33 -59.52 3.3904
-14.70 -81.24 -1.305
-10.22 -89.93 -1.161
-5.159 -90.47 -1.231
-7.807 -82.72 -0.980
-40.47 -84.34 -85.67
-30.91 -77.46 -91.27
-23.49 -74.26 -93.75
