19 frames
21 bones
-0.527 0 35.254
-0.390 5.2700 35.730
-0.230 10.718 36.422
-0.070 16.123 36.918
0.0820 21.407 36.996
0.2226 26.515 36.551
0.3359 31.487 35.516
0.4179 36.365 34.871
0.4414 41.196 34.734
0.3789 45.980 35.051
0.2070 50.744 35.715
-0.019 55.524 36.574
-0.273 60.316 37.078
-0.507 65.163 37.164
-0.683 70.052 36.941
-0.750 74.973 36.359
-0.718 79.929 35.570
-0.644 84.904 35.086
-0.527 89.903 35.254
11.360 4.0285 99.794
10.043 1.8744 98.804
6.9787 0.7340 99.128
3.5811 0.8875 100.34
1.9488 2.3646 102.01
1.6070 4.8655 103.35
1.0517 7.7965 103.91
-1.745 10.424 103.29
-5.135 13.004 101.78
-6.477 15.719 100.22
-4.995 18.039 99.493
-2.001 19.260 100.06
1.0391 19.050 101.27
2.7756 17.503 102.60
3.3738 14.935 103.62
3.9869 11.921 103.96
6.2776 9.1369 103.21
9.5898 6.5994 101.60
11.360 4.0285 99.794
-19.15 -90.46 -107.1
-17.49 -101.0 -107.5
-20.05 -111.6 -105.7
-22.83 -119.7 -103.4
-32.47 -120.5 -102.4
-41.17 -118.2 -102.0
-49.04 -113.7 -102.0
-54.14 -107.6 -102.7
-55.77 -98.73 -102.8
-53.75 -88.96 -100.5
-48.48 -79.80 -97.79
-41.22 -71.74 -97.06
-32.08 -66.42 -98.05
-20.68 -65.97 -99.76
-18.26 -67.98 -102.2
-25.83 -70.36 -105.3
-29.37 -75.74 -104.5
-26.93 -79.89 -109.6
-19.15 -90.46 -107.1
0 30.645 0
0 24.389 0
0 21.816 0
0 22.723 0
0 41.673 0
0 61.142 0
0 80.593 0
0 94.916 0
0 100.59 0
0 95.693 0
0 81.753 0
0 62.840 0
0 41.334 0
0 16.895 0
0 13.063 0
0 32.315 0
0 44.282 0
0 44.783 0
0 30.645 0
-14.64 -83.73 7.6401
-13.32 -69.02 11.603
-12.71 -39.34 2.7542
-6.570 -19.13 -2.628
-0.715 -24.46 -8.411
2.7542 -36.13 -13.17
0.6686 -50.12 -15.50
-2.426 -61.72 -16.27
-3.632 -67.51 -15.17
-3.926 -69.67 -12.57
-11.79 -71.27 -2.708
-10.02 -71.04 9.0532
-5.857 -63.98 2.9622
-2.663 -54.92 -6.436
0.4732 -57.92 -13.46
0.1965 -73.14 -13.43
-6.559 -82.54 -8.167
-8.070 -86.87 0.7939
-14.64 -83.73 7.6401
-26.06 -61.23 -139.5
-24.07 -50.08 -142.2
-21.28 -50.19 -141.8
-17.12 -57.78 -139.6
-13.30 -64.07 -137.0
-11.03 -67.22 -134.2
-15.25 -68.53 -132.0
-16.78 -77.90 -129.4
-12.97 -92.46 -121.8
-3.296 -102.8 -118.9
2.2673 -107.5 -115.5
4.2816 -106.1 -124.3
2.3080 -102.4 -131.4
-0.783 -100.5 -134.3
-5.565 -99.42 -134.5
-12.29 -96.19 -133.9
-20.10 -89.36 -133.7
-25.87 -76.98 -135.7
-26.06 -61.23 -139.5
0 112.32 0
0 103.97 0
0 85.280 0
0 60.876 0
0 41.814 0
0 29.310 0
0 38.275 0
0 44.716 0
0 39.455 0
0 27.913 0
0 22.128 0
0 23.126 0
0 32.800 0
0 43.911 0
0 57.132 0
0 74.475 0
0 93.730 0
0 109.47 0
0 112.32 0
-5.412 -70.94 -3.711
-3.554 -66.76 -6.743
-9.230 -71.59 -10.50
-15.56 -78.70 -7.645
-8.185 -73.67 -9.912
4.3116 -73.73 -14.65
9.1034 -85.36 -14.52
7.4522 -94.06 -8.727
2.2508 -96.75 -3.870
4.1644 -89.25 -7.963
14.376 -72.28 -12.31
26.459 -48.65 1.5851
27.844 -39.84 12.674
22.916 -39.89 14.695
16.655 -46.18 10.515
9.3399 -56.07 3.4937
0.7686 -65.94 -3.259
-5.856 -72.10 -5.049
-5.412 -70.94 -3.711
5.0445 98.997 90.331
5.2479 97.639 90.943
5.8425 94.543 91.462
6.6184 91.108 91.835
7.2157 89.452 91.997
7.4237 89.104 91.863
7.0619 88.543 91.503
6.2603 85.698 90.984
5.4522 82.290 90.366
5.0795 81.002 89.716
5.3464 82.551 89.082
5.9336 85.590 88.537
6.5898 88.665 88.148
7.1172 90.407 88.002
7.3371 90.990 88.145
7.0233 91.592 88.521
6.2787 93.912 89.050
5.4660 97.254 89.675
5.0445 98.997 90.331
1.8944 0.3818 2.6994
1.8334 0.7945 4.4010
1.5861 0.5919 5.3512
1.1831 0 5.6497
0.6750 -0.776 5.4031
0.1222 -1.376 4.5480
-0.516 -1.588 2.9604
-1.188 -1.229 0.6287
-1.664 -0.425 -2.145
-1.810 0.3866 -4.728
-1.725 0.7635 -6.601
-1.454 0.5019 -7.646
-1.049 -0.084 -7.974
-0.563 -0.740 -7.688
-0.039 -1.270 -6.708
0.5974 -1.498 -4.944
1.2840 -1.187 -2.483
1.7612 -0.445 0.2494
1.8944 0.3818 2.6994
-0.022 8.6017 0.3454
-0.188 9.0073 2.7455
-0.303 8.7951 4.4407
-0.368 8.1959 5.3824
-0.387 7.4186 5.6693
-0.370 6.8229 5.4095
-0.310 6.6197 4.5417
-0.200 6.9880 2.9412
-0.039 7.7952 0.5969
0.1497 8.5995 -2.184
0.3261 8.9622 -4.766
0.4538 8.6835 -6.631
0.5232 8.0864 -7.668
0.5459 7.4283 -7.983
0.5246 6.9033 -7.686
0.4580 6.6912 -6.694
0.3357 7.0185 -4.916
0.1661 7.7737 -2.443
-0.022 8.6017 0.3454
-0.863 13.445 3.3167
-1.237 13.417 4.7585
-1.446 13.399 5.5602
-1.508 13.393 5.8039
-1.451 13.399 5.5837
-1.260 13.415 4.8436
-0.907 13.442 3.4826
-0.387 13.464 1.4880
0.2279 13.467 -0.875
0.7992 13.448 -3.071
1.2126 13.419 -4.658
1.4413 13.399 -5.541
1.5099 13.392 -5.809
1.4454 13.399 -5.556
1.2256 13.419 -4.713
0.8322 13.446 -3.200
0.2856 13.466 -1.095
-0.321 13.465 1.2340
-0.863 13.445 3.3167
1.9995 23.094 174.68
2.5722 23.039 173.96
2.9595 23.025 173.86
3.2706 23.043 174.16
3.4738 23.086 174.80
3.4566 23.146 175.75
3.0549 23.216 177.15
2.0668 23.272 179.23
0.6955 23.265 181.58
-0.762 23.193 183.69
-1.856 23.113 185.04
-2.339 23.080 185.46
-2.559 23.083 185.36
-2.584 23.116 184.80
-2.410 23.171 183.77
-1.950 23.235 182.18
-0.816 23.271 179.67
0.7168 23.209 176.75
1.9995 23.094 174.68
-2.856 25.428 -2.457
-3.639 25.462 -5.397
-4.656 25.564 -8.346
-5.785 25.699 -11.00
-6.915 25.845 -13.20
-7.900 25.958 -14.78
-8.598 26.000 -15.35
-8.795 25.882 -14.11
-8.535 25.678 -11.61
-7.909 25.483 -8.585
-7.106 25.364 -5.639
-6.270 25.330 -2.936
-5.373 25.352 -0.430
-4.501 25.409 1.4926
-3.687 25.468 2.6563
-2.991 25.497 2.8837
-2.591 25.478 1.8652
-2.502 25.444 -0.091
-2.856 25.428 -2.457
61.139 139.88 -121.3
61.426 138.30 -122.8
63.025 135.55 -125.8
65.036 132.41 -129.3
66.356 131.16 -130.8
66.995 132.57 -129.5
66.934 136.64 -125.5
66.004 142.48 -119.8
64.534 147.91 -114.4
63.724 151.12 -111.3
64.495 151.78 -110.8
66.298 150.50 -112.2
68.441 147.60 -115.2
69.633 144.27 -118.6
69.369 141.64 -121.1
67.638 140.39 -122.0
65.094 140.14 -121.8
62.613 140.23 -121.3
61.139 139.88 -121.3
7.7015 -37.84 71.521
9.0649 -35.26 73.198
8.7179 -35.70 75.610
6.2808 -38.52 78.795
1.8493 -41.90 81.696
-4.002 -45.31 83.743
-10.32 -47.85 84.369
-16.27 -48.44 83.117
-21.29 -46.94 80.412
-25.09 -46.20 78.604
-27.61 -48.59 79.475
-28.29 -52.61 81.370
-26.66 -55.64 80.471
-22.70 -56.55 76.666
-16.66 -56.02 72.779
-9.087 -53.55 70.166
-1.557 -48.97 69.420
4.2235 -43.10 70.138
7.7015 -37.84 71.521
0 -102.2 0
0 -106.2 0
0 -109.5 0
0 -110.6 0
0 -110.1 0
0 -108.7 0
0 -107.0 0
0 -104.9 0
0 -102.6 0
0 -99.26 0
0 -94.99 0
0 -91.15 0
0 -88.50 0
0 -87.34 0
0 -88.17 0
0 -90.65 0
0 -94.06 0
0 -98.00 0
0 -102.2 0
2.2141 2.5530 -89.36
2.2250 1.6821 -89.40
2.2795 -5.242 -89.66
2.2992 -9.672 -89.84
2.3013 -10.62 -89.88
2.3013 -11.02 -89.89
2.3013 -11.10 -89.89
2.3013 -10.89 -89.88
2.2992 -10.34 -89.87
2.2970 -9.243 -89.82
2.2708 -3.684 -89.61
2.2315 0.9316 -89.42
2.2206 2.0050 -89.38
2.2141 2.5564 -89.36
2.2097 2.8881 -89.35
2.2075 3.0539 -89.34
2.2075 3.0766 -89.34
2.2097 2.9334 -89.35
2.2141 2.5530 -89.36
-64.07 149.28 108.97
-64.88 149.97 108.44
-66.90 148.66 109.93
-69.17 145.84 112.91
-70.20 142.83 115.93
-69.89 140.21 118.41
-68.36 138.44 119.89
-65.87 137.86 120.00
-63.23 137.99 119.35
-61.69 137.65 119.33
-61.96 136.11 120.85
-63.43 133.70 123.48
-65.42 130.82 126.71
-66.94 129.34 128.48
-67.63 130.69 127.30
-67.34 135.14 122.90
-66.24 141.01 117.06
-64.85 146.15 111.99
-64.07 149.28 108.97
26.752 -28.65 -60.06
29.324 -31.15 -61.76
30.354 -35.48 -64.04
29.295 -39.67 -64.26
26.102 -42.80 -62.77
21.066 -45.29 -61.51
14.424 -46.71 -61.49
7.2964 -46.10 -63.01
1.3604 -43.52 -65.67
-2.450 -40.67 -68.72
-4.193 -39.27 -71.51
-4.789 -37.46 -72.80
-3.770 -35.80 -73.26
-0.346 -35.62 -73.42
5.3470 -36.17 -72.64
12.290 -35.98 -70.32
18.770 -33.89 -66.36
23.280 -30.05 -61.64
26.752 -28.65 -60.06
0 -99.30 0
0 -94.82 0
0 -90.79 0
0 -88.03 0
0 -86.83 0
0 -87.72 0
0 -90.33 0
0 -93.91 0
0 -98.06 0
0 -102.4 0
0 -106.6 0
0 -110.0 0
0 -111.2 0
0 -110.7 0
0 -109.3 0
0 -107.4 0
0 -105.3 0
0 -102.9 0
0 -99.30 0
5.2505 -6.628 89.057
5.3185 -0.852 89.590
5.3352 3.8161 90.023
5.3337 4.9097 90.128
5.3322 5.4773 90.174
5.3306 5.8148 90.199
5.3306 5.9867 90.216
5.3306 6.0054 90.216
5.3306 5.8563 90.203
5.3322 5.4731 90.174
5.3337 4.5825 90.098
5.3065 -2.447 89.443
5.2429 -7.071 89.015
5.2262 -8.053 88.930
5.2172 -8.472 88.888
5.2157 -8.552 88.880
5.2202 -8.341 88.901
5.2308 -7.784 88.951
5.2505 -6.628 89.057
