289 frames
21 bones
5.9657 0.3081 36.615
6.2236 0.1401 36.826
6.6689 -0.152 37.248
6.9892 -0.355 37.635
7.2549 -0.543 38.064
7.4853 -0.730 38.502
7.7002 -0.902 38.904
7.8799 -1.059 39.279
7.9932 -1.195 39.572
8.0439 -1.336 39.771
8.0127 -1.449 39.846
7.9228 -1.527 39.834
7.7392 -1.586 39.650
7.4697 -1.637 39.275
7.1181 -1.691 38.771
6.7236 -1.801 38.248
6.2704 -1.859 37.701
5.7822 -1.785 37.162
5.2704 -1.586 36.666
4.7587 -1.270 36.209
4.2938 -0.855 35.869
3.8837 -0.418 35.662
3.5751 0.0698 35.650
3.3407 0.5854 35.744
3.1493 1.1480 35.865
3.0750 1.7574 36.131
3.1297 2.3433 36.588
3.2157 2.8824 37.095
3.3524 3.2926 37.666
3.5086 3.5348 38.256
3.6805 3.5855 38.799
3.8563 3.5660 39.260
4.0165 3.5504 39.588
4.1532 3.4488 39.775
4.2391 3.2848 39.795
4.3094 3.1597 39.748
4.3407 3.0465 39.697
4.1532 2.9722 39.396
3.8290 2.8824 38.869
3.5555 2.7105 38.400
3.329 2.4957 37.986
3.3641 2.2769 37.627
3.6297 2.0347 37.287
3.8915 1.7847 37.002
4.2313 1.5113 36.779
4.6259 1.2105 36.599
5.0673 0.8980 36.509
5.5243 0.5933 36.494
5.9657 0.3081 36.615
6.3408 0.0620 36.881
6.6689 -0.152 37.256
6.9853 -0.355 37.650
7.2509 -0.543 38.080
7.4853 -0.727 38.513
7.7002 -0.898 38.912
7.8799 -1.055 39.283
7.9932 -1.195 39.572
8.0439 -1.336 39.767
8.0127 -1.449 39.846
7.9267 -1.527 39.826
7.7392 -1.586 39.650
7.4658 -1.633 39.318
7.1064 -1.680 38.888
6.7001 -1.785 38.463
6.2353 -1.836 38.033
5.7275 -1.762 37.623
5.2001 -1.555 37.252
4.6766 -1.234 36.912
4.2040 -0.824 36.646
3.8094 -0.394 36.463
3.5008 0.0815 36.377
3.2547 0.5933 36.373
3.0946 1.1441 36.455
3.0399 1.7456 36.646
3.0985 2.3316 36.959
3.2000 2.8785 37.271
3.3524 3.2926 37.666
3.5165 3.5426 38.170
3.6883 3.5934 38.701
3.8602 3.5738 39.201
4.0165 3.5504 39.588
4.1571 3.4605 39.787
4.2391 3.3082 39.806
4.3134 3.1754 39.756
4.3407 3.0465 39.697
4.1493 2.9566 39.385
3.8251 2.8590 38.853
3.5555 2.6988 38.392
3.329 2.4957 37.986
3.3641 2.2769 37.627
3.6297 2.0347 37.283
3.8915 1.7847 36.994
4.2313 1.5113 36.767
4.6259 1.2105 36.588
5.0673 0.8980 36.502
5.5243 0.5933 36.490
5.9657 0.3081 36.615
6.3408 0.0620 36.896
6.6689 -0.152 37.295
6.9853 -0.352 37.720
7.2509 -0.535 38.185
7.4853 -0.719 38.646
7.6885 -0.891 39.068
7.8642 -1.043 39.459
7.9814 -1.184 39.744
8.0283 -1.320 39.892
8.0049 -1.441 39.928
7.9267 -1.527 39.873
7.7392 -1.586 39.650
7.4697 -1.633 39.299
7.1103 -1.684 38.849
6.7080 -1.793 38.385
6.2509 -1.848 37.881
5.7587 -1.777 37.357
5.2509 -1.578 36.853
4.7391 -1.258 36.384
4.2743 -0.848 36.021
3.8719 -0.414 35.783
3.5672 0.0698 35.717
3.3329 0.5854 35.759
3.1493 1.1480 35.865
3.0789 1.7574 36.127
3.1297 2.3433 36.588
3.2157 2.8824 37.095
3.3524 3.2926 37.666
3.5086 3.5348 38.256
3.6805 3.5855 38.799
3.8563 3.5660 39.256
4.0165 3.5504 39.588
4.1532 3.4605 39.783
4.2391 3.3082 39.806
4.3134 3.1754 39.756
4.3407 3.0465 39.697
4.1493 2.9566 39.388
3.8251 2.8590 38.857
3.5555 2.6949 38.396
3.3329 2.4957 37.986
3.3641 2.2808 37.619
3.6297 2.0386 37.263
3.8915 1.7886 36.967
4.2313 1.5152 36.736
4.6259 1.2105 36.560
5.0673 0.8980 36.486
5.5243 0.5933 36.486
5.9657 0.3081 36.615
6.3408 0.0620 36.885
6.6689 -0.152 37.263
6.9853 -0.352 37.666
7.2509 -0.539 38.111
7.4853 -0.723 38.568
7.6924 -0.895 38.994
7.8682 -1.047 39.388
7.9853 -1.184 39.685
8.0322 -1.324 39.853
8.0088 -1.441 39.900
7.9267 -1.527 39.857
7.7392 -1.586 39.650
7.4658 -1.633 39.310
7.1064 -1.684 38.861
6.7080 -1.793 38.400
6.2509 -1.848 37.885
5.7626 -1.777 37.314
5.2587 -1.578 36.756
4.7548 -1.266 36.244
4.2938 -0.855 35.869
3.8837 -0.418 35.654
3.5751 0.0698 35.650
3.3407 0.5854 35.744
3.1493 1.1480 35.865
3.0750 1.7574 36.131
3.1297 2.3433 36.588
3.2157 2.8824 37.095
3.3524 3.2926 37.666
3.5086 3.5348 38.256
3.6805 3.5855 38.799
3.8563 3.5660 39.256
4.0165 3.5504 39.588
4.1532 3.4605 39.783
4.2391 3.3082 39.806
4.3134 3.1754 39.756
4.3407 3.0465 39.697
4.1493 2.9566 39.385
3.8251 2.8590 38.853
3.5555 2.6988 38.392
3.329 2.4957 37.986
3.3641 2.2769 37.623
3.6297 2.0347 37.275
3.8915 1.7847 36.986
4.2313 1.5152 36.760
4.6259 1.2105 36.580
5.0673 0.8980 36.498
5.5243 0.5933 36.490
5.9657 0.3081 36.615
6.3408 0.0620 36.881
6.6689 -0.152 37.248
6.9892 -0.355 37.635
7.2549 -0.543 38.064
7.4853 -0.730 38.502
7.7002 -0.902 38.904
7.8799 -1.059 39.279
7.9932 -1.195 39.572
8.0439 -1.336 39.771
8.0127 -1.449 39.846
7.9228 -1.527 39.834
7.7392 -1.586 39.650
7.4697 -1.637 39.275
7.1181 -1.691 38.771
6.7236 -1.801 38.248
6.2704 -1.859 37.701
5.7822 -1.785 37.162
5.2704 -1.586 36.666
4.7587 -1.270 36.209
4.2938 -0.855 35.869
3.8837 -0.418 35.662
3.5751 0.0698 35.650
3.3407 0.5854 35.744
3.1493 1.1480 35.865
3.0750 1.7574 36.131
3.1297 2.3433 36.588
3.2157 2.8824 37.095
3.3524 3.2926 37.666
3.5086 3.5348 38.256
3.6805 3.5855 38.799
3.8563 3.5660 39.260
4.0165 3.5504 39.588
4.1532 3.4488 39.775
4.2391 3.2848 39.795
4.3094 3.1597 39.748
4.3407 3.0465 39.697
4.1532 2.9722 39.396
3.8290 2.8824 38.869
3.5555 2.7105 38.400
3.3329 2.4957 37.986
3.3641 2.2769 37.627
3.6297 2.0347 37.287
3.8915 1.7847 37.002
4.2313 1.5113 36.779
4.6259 1.2105 36.599
5.0673 0.8980 36.509
5.5282 0.5894 36.494
5.9657 0.3081 36.615
6.3408 0.0620 36.881
6.6689 -0.152 37.256
6.9853 -0.355 37.650
7.2509 -0.543 38.080
7.4892 -0.727 38.513
7.7002 -0.898 38.912
7.8799 -1.055 39.283
7.9932 -1.195 39.572
8.0439 -1.336 39.767
8.0127 -1.449 39.846
7.9267 -1.527 39.826
7.7392 -1.586 39.650
7.4658 -1.633 39.318
7.1064 -1.680 38.888
6.7001 -1.785 38.463
6.2353 -1.836 38.033
5.7275 -1.762 37.623
5.2001 -1.555 37.252
4.6766 -1.234 36.912
4.2040 -0.824 36.646
3.8094 -0.394 36.463
3.5008 0.0854 36.377
3.2547 0.5933 36.373
3.0946 1.1441 36.455
3.0399 1.7456 36.646
3.0985 2.3316 36.959
3.2000 2.8785 37.275
3.3524 3.2926 37.666
3.5165 3.5426 38.170
3.6883 3.5934 38.701
3.8602 3.5738 39.201
4.0165 3.5504 39.588
4.1571 3.4605 39.787
4.2391 3.3082 39.806
4.3134 3.1754 39.756
4.3407 3.0465 39.697
4.1493 2.9566 39.385
3.8251 2.8590 38.853
3.5555 2.6988 38.392
3.3329 2.4957 37.986
3.3641 2.2769 37.627
3.6297 2.0347 37.283
3.8915 1.7847 36.994
4.2313 1.5113 36.767
4.6259 1.2105 36.588
5.0673 0.8980 36.502
5.6454 0.5151 36.549
5.9657 0.3081 36.615
-1.674 -0.820 80.120
0.9748 -2.701 80.240
7.3615 -2.690 81.576
11.597 -3.326 83.017
15.209 -4.352 82.989
17.940 -5.279 83.268
20.080 -6.019 84.091
21.926 -6.809 84.582
23.518 -7.588 84.942
25.205 -8.306 85.330
26.713 -8.926 85.586
28.110 -9.469 85.712
29.021 -9.546 86.132
29.566 -8.723 86.830
30.032 -7.088 87.616
30.151 -5.180 88.543
29.876 -2.991 89.498
29.496 -0.825 90.382
28.762 1.2092 91.053
27.727 3.0521 91.527
26.208 4.2258 91.467
24.246 4.5385 90.916
21.805 4.2587 89.923
19.027 3.8309 88.832
15.780 3.3099 87.856
12.197 2.8163 86.966
8.2371 2.2404 86.044
4.1145 1.5273 85.106
-0.405 1.1873 84.762
-5.420 0.9460 84.370
-10.43 0.3975 84.037
-15.20 0.0355 83.900
-19.25 -0.211 83.769
-22.30 -0.529 83.791
-24.35 -0.776 83.644
-25.54 -0.891 83.360
-26.24 -0.935 83.164
-27.17 -0.545 82.684
-28.03 0.3317 81.751
-28.94 1.2257 80.845
-29.38 2.1526 79.880
-28.39 2.8437 78.980
-25.96 3.1728 78.303
-23.07 3.2715 77.812
-19.46 2.9918 77.714
-15.59 1.9497 78.243
-11.03 1.2751 78.652
-4.806 3.2879 79.230
-1.674 -0.820 80.120
1.8561 -3.787 80.213
7.3615 -2.690 81.576
11.597 -3.326 83.017
15.209 -4.352 82.989
17.940 -5.279 83.268
20.080 -6.019 84.091
21.929 -6.809 84.588
23.518 -7.588 84.942
25.194 -8.312 85.324
